編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLKKJIIGFDD07DA,31,90.32,住家用,鋼筋混凝土造,82年1月14日,五層,五層 陽台,全筆移轉
RPPNMLKKJIIGFDD07DA,31,14.38,共有部分,鋼筋混凝土造,82年1月14日,五層,,持分移轉
RPWOMLSJJIIGFBD38DA,25,155.35,住商用,鋼筋混凝土造,87年8月21日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPPNMLKKJIIGFHD57EA,22,203.94,農舍,鋼筋混凝土造,91年3月15日,二層,一層 二層 屋頂突出物,全筆移轉
RPQNMLSJJIIGFDD97EA,41,62.28,住商用,加強磚造,71年10月19日,二層,一層 二層,持分移轉
RPPNMLLKJIIGFAD86DA,34,174.75,住家用,鋼筋混凝土造,79年4月21日,四層,一層 二層 三層 四層 夾層,全筆移轉
RPPNMLLKJIIGFAD86DA,34,51.46,共有部分,鋼筋混凝土造,79年4月21日,,,持分移轉
RPSNMLNJJIIGFCD47DA,33,16.74,住家用,鋼筋混凝土造,79年9月26日,十二層,二層 陽台,全筆移轉
RPSNMLNJJIIGFCD47DA,33,8.86,共有部分,鋼筋混凝土造,79年9月26日,十二層,,持分移轉
RPQOMLMJJIIGFFD57DA,30,150.39,住家用,鋼筋混凝土造,82年5月21日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPQNMLKKJIIGFID67DA,1,205.91,集合住宅,鋼筋混凝土構造,111年12月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLNKJIIGFDD67EA,30,29.75,共有部分,鋼筋混凝土造,82年12月21日,十六層,,持分移轉
RPRNMLNKJIIGFDD67EA,30,96.69,住家用,鋼筋混凝土造,82年12月21日,十六層,五層 陽台,全筆移轉
RPRNMLTJJIIGFDD08DA,25,85.92,住家用,鋼筋混凝土造,87年9月4日,三層,一層 二層 三層,全筆移轉
RPPNMLNKJIIGFKD08DA,43,103.18,住家用,加強磚造,69年10月20日,二層,一層 二層,全筆移轉
RPRWMLTJJIIGFKD07DA,32,91.72,住家用,鋼筋混凝土造,81年4月30日,五層,二層 陽台 花台,全筆移轉
RPRWMLTJJIIGFKD07DA,32,13.66,共有部分,鋼筋混凝土造,81年4月30日,五層,,持分移轉
RPTOMLKKJIIGFAD27DA,19,42.51,集合住宅,鋼筋混凝土造,93年12月3日,八層,五層 陽台,全筆移轉
RPTOMLKKJIIGFAD27DA,19,8.79,共有部分,鋼筋混凝土造,93年12月3日,八層,,持分移轉
RPTOMLKKJIIGFAD27DA,19,8.16,共有部分,鋼筋混凝土造,93年12月3日,八層,,持分移轉
RPXNMLTJJIIGFFD88DA,33,134.64,住家用,鋼筋混凝土造,80年5月4日,二層,一層 二層 陽台 屋頂突出物 騎樓,全筆移轉
RPQNMLPKJIIGFDD77EA,,113.79,住家用,鋼筋混凝土造,,二層,一層 二層 騎樓,全筆移轉
RPQPMLOKJIIGFKD48DA,31,5.50,共有部分,鋼筋混凝土造,81年7月23日,十七層,,持分移轉
RPQPMLOKJIIGFKD48DA,31,27.68,住家用,鋼筋混凝土造,81年7月23日,十七層,三層,全筆移轉
RPQPMLOKJIIGFKD48DA,31,.70,共有部分,鋼筋混凝土造,81年7月23日,十九層,,持分移轉
RPQPMLOKJIIGFKD48DA,31,1.53,共有部分,鋼筋混凝土造,81年7月23日,十九層,,持分移轉
RPOOMLQJJIIGFHD97DA,1,18.84,本共有部分之項目有停車空間、電梯間、樓梯間、水箱等４項,鋼筋混凝土造,112年5月1日,七層,,持分移轉
RPTOMLOKJIIGFKD68DA,31,16.64,住家用,鋼筋混凝土造,81年5月11日,七層,二層 陽台,持分移轉
RPTOMLOKJIIGFKD68DA,31,5.76,共有部分,鋼筋混凝土造,81年5月11日,七層,,持分移轉
