編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLQJJIIGFHD97DA,坡道平面,800000,18.84,地下一樓
RPROMLQKJIIGFCD87DA,坡道平面,0,22.78,地下二樓
RPUOMLOKJIIGFAD77DA,坡道平面,0,25.11,地下二樓
RPSSNLKKJIIGFKD68DA,坡道平面,800000,,地下四樓
RPUOMLKLJIIGFBD57DA,坡道平面,0,15.15,地下一樓
RPPOMLRKJIIGFAD57DA,坡道平面,2000000,23.58,地下三樓
RPWSMLKLJIIGFAD08DA,坡道機械,0,,地下一樓
RPXNMLNLJIIGFCD18DA,升降平面,0,,地下一樓
RPQNMLKLJIIGFKD97DA,坡道平面,0,,地下一樓
RPTOMLRKJIIGFCD18DA,坡道平面,0,40.68,一樓
RPVNMLRLJIIGFAD18DA,坡道機械,0,,地下一樓
RPQOMLRKJIIGFCD87DA,坡道平面,0,41.41,地下二樓
RPTOMLTLJIIGFAD28DA,坡道平面,0,,地下一樓
RPQNMLTLJIIGFAD87DA,坡道機械,0,,地下二樓
RPXNMLOLJIIGFBD18DA,坡道平面,0,25.44,地下一樓
RPQNMLLJKIIGFGD57DA,坡道機械,0,18.16,地下一樓
RPWOMLTLJIIGFKD96DA,坡道平面,0,28.27,地下二樓
RPTNMLKMJIIGFAD37DA,坡道平面,1550000,35.34,地下二樓
RPQNMLKMJIIGFAD07DA,坡道平面,0,35.34,地下三樓
RPXNMLLJKIIGFAD67DA,坡道平面,0,32.55,地下三樓
RPQNMLOJKIIGFAD27DA,坡道平面,0,,地下三樓
RPQOMLSLJIIGFAD87DA,坡道平面,0,,地下一樓
RPVOMLSLJIIGFKD76DA,坡道平面,0,28.08,地下二樓
RPRQMLTJJIIGFHD78DA,一樓平面,0,6.92,一樓
RPOOMLTLJIIGFKD78DA,坡道機械,0,,地下二樓
RPRNMLNLJIIGFKD38DA,坡道平面,0,38.07,地下一樓
RPSOMLRKJIIGFCD08DA,其他,0,,一樓
RPOOMLTLJIIGFCD97DA,坡道平面,0,19.86,地下一樓
RPPOMLPKJIIGFGD97DA,一樓平面,0,,一樓
RPWNMLMLJIIGFKD78DA,坡道平面,650000,15.50,地下二樓
RPPNMLLJKIIGFBD07EA,坡道平面,880000,31.52,地下一樓
RPPOMLTLJIIGFAD87DA,坡道平面,0,26.53,地下三樓
RPOPMLLLJIIGFBD17DA,一樓平面,0,24.38,一樓
RPUNMLOJKIIGFCD87DA,坡道平面,0,24.43,地下一樓
RPXNMLOJKIIGFCD18DA,坡道平面,0,31.21,地下二樓
RPPPMLSJJIIGFKD68DA,坡道平面,0,27.73,地下一樓
RPSNMLSLJIIGFHD68DA,坡道平面,0,,地下一樓
RPRNMLOJJIIGFKD28DA,坡道平面,1200000,,地下一樓
RPTOMLNLJIIGFAD67DA,坡道平面,0,27.73,地下三樓
RPSOMLLJKIIGFAD27DA,坡道平面,0,,地下一樓
RPTOMLOJKIIGFAD67DA,坡道平面,1300000,27.07,地下二樓
RPROMLPJKIIGFAD57DA,坡道機械,0,22.48,地下三樓
RPPNMLPJJIIGFCD37DA,坡道平面,1000000,,地下一樓
RPTNMLPJKIIGFCD87DA,升降機械,600000,11.24,一樓
RPUNMLPJKIIGFCD97DA,坡道機械,0,,地下二樓
RPUNMLPJKIIGFCD97DA,坡道機械,0,,地下二樓
RPSNMLOJKIIGFCD67DA,坡道平面,0,,地下三樓
RPSNMLOJKIIGFCD67DA,坡道平面,0,,地下三樓
RPTNMLPJKIIGFHD38DA,坡道機械,0,,地下二樓
RPQNMLMLJIIGFAD17DA,坡道平面,0,32.55,地下二樓
RPQNMLQJKIIGFGD18EA,坡道平面,0,,地下一樓
RPQNMLQJKIIGFGD18EA,坡道平面,0,,地下一樓
RPUNMLRKIIIGFAD87DA,坡道平面,0,,地下一樓
RPUQMLLKIIIGFAD57DA,坡道平面,1360000,40.18,地下一樓
RPUNMLLLIIIGFCD57DA,坡道平面,0,,地下一樓
RPVOMLLKIIIGFKD48DA,坡道平面,0,36.34,地下一樓
RPQNMLNKIIIGFHD77DA,坡道平面,600000,17.78,地下二樓
RPUOMLQJIIIGFHD48DA,一樓平面,0,,一樓
RPSNMLOKIIIGFHD08DA,坡道平面,700000,17.78,地下一樓
RPQOMLQKIIIGFKD48DA,坡道平面,0,24.84,地下一樓
RPUNMLPLIIIGFAD77DA,坡道平面,0,28.10,地下一樓
RPUNMLPLIIIGFAD77DA,坡道平面,0,28.10,地下一樓
RPTNMLPLIIIGFAD67DA,坡道機械,0,28.37,地下五樓含以下
RPPNMLPLIIIGFCD47DA,坡道平面,0,23.95,地下一樓
RPXOMLOLIIIGFBD18DA,坡道平面,0,11.79,地下二樓
RPRNMLRLIIIGFAD67DA,坡道平面,0,,地下一樓
RPVOMLNKIIIGFCD87DA,坡道平面,0,,地下三樓
