鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安南區,房地(土地+建物),臺南市安南區樂活二街,93.61,住,,,1120811,土地5建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,231.85,3,2,5,有,無,26500000,114298,,0.0,0,內含停車位1個,RPSNMLLKQHIGFBD87CB,邰欣地堡100期,A棟3號,
安南區,房地(土地+建物),臺南市安南區樂活二街,93.61,住,,,1120812,土地5建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,231.85,3,2,5,有,無,26500000,114298,,0.0,0,內含停車位1個,RPPNMLMKQHIGFBD67CB,邰欣地堡100期,A棟6號,
安定區,房地(土地+建物)+車位,臺南市安定區許中營,21.84,,特定農業區,甲種建築用地,1120812,土地2建物1車位1,七層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,97.72,2,2,2,有,無,8230000,84761,坡道平面,18.32,1500000,,RPQNMLMKQHIGFHD38CB,邰欣地堡91期,B棟8號,
善化區,房地(土地+建物)+車位,臺南市善化區中山路528號對面,19.81,住,,,1120813,土地3建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.27,2,2,2,有,無,12030000,120092,坡道平面,32.42,1600000,,RPRNMLOKQHIGFHD68CB,閤冠晶硯,A棟8號,
安南區,房地(土地+建物),臺南市安南區宜居路,199.67,住,,,1120812,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,342.8,4,2,6,有,無,39280000,114586,,0.0,0,內含停車位1個,RPPNMLPKQHIGFBD97CB,邰欣地堡83期,S棟1號,
麻豆區,房地(土地+建物),臺南市麻豆區溝子墘63-37號,96.43,住,,,1120812,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,183.5,5,2,3,有,無,16000000,87193,,0.0,0,,RPPNMLPKQHIGFFD38CB,吉億擁恆5,B棟5號,
安南區,房地(土地+建物)+車位,臺南市安南區北安路四段302巷27號對面,31.2,住,,,1120813,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,86.08,2,2,2,有,無,8600000,96779,一樓平面,13.75,1600000,,RPPNMLPKQHIGFBD08DB,小王子8,B棟5號,
安南區,房地(土地+建物)+車位,臺南市安南區北安路四段302巷27號對面,48.09,住,,,1120813,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,118.93,3,2,2,有,無,11600000,91537,一樓平面,7.5,1400000,,RPQNMLPKQHIGFBD18DB,小王子8,B棟6號,
安南區,房地(土地+建物)+車位,臺南市安南區北安路四段302巷27號對面,31.2,住,,,1120811,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,86.08,2,2,2,有,無,8500000,95396,一樓平面,13.75,1600000,,RPSNMLPKQHIGFBD38DB,小王子8,A棟3號,
