編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPKQHIGFBD18DB,中洲段,48.09,都市：住,100000,2102,持分移轉,01170000
RPSNMLPKQHIGFBD38DB,中洲段,31.20,都市：住,100000,1364,持分移轉,01170000
RPPNMLPKQHIGFFD38CB,龍泉段,96.43,都市：住,1,1,全筆移轉,04470011
RPPNMLPKQHIGFBD08DB,中洲段,31.20,都市：住,100000,1364,持分移轉,01170000
RPQNMLMKQHIGFHD38CB,光榮段,10.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1384,持分移轉,01440000
RPQNMLMKQHIGFHD38CB,光榮段,11.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1384,持分移轉,01470000
RPRNMLOKQHIGFHD68CB,善西段,5.59,都市：住,100000,840,持分移轉,00070000
RPRNMLOKQHIGFHD68CB,善西段,10.33,都市：住,100000,840,持分移轉,00990000
RPRNMLOKQHIGFHD68CB,善西段,3.88,都市：住,100000,840,持分移轉,01000000
RPRNMLPKQHIGFID98DB,清王段,36.38,都市：住,100000,342,持分移轉,00970000
RPQNMLPKQHIGFID88DB,清王段,41.38,都市：住,100000,389,持分移轉,00970000
RPQNMLQKQHIGFHD78CB,番子寮段,15.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,322,持分移轉,07310065
RPQNMLQKQHIGFHD78CB,番子寮段,15.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,322,持分移轉,07310090
RPTNMLQKQHIGFBD48CB,安西段,29.02,都市：住,300000,1235,持分移轉,20220000
RPRNMLQKQHIGFBD28CB,安西段,28.99,都市：住,300000,1234,持分移轉,20220000
RPSNMLLKQHIGFBD87CB,國安段,.17,都市：住,94,1,持分移轉,16820004
RPSNMLLKQHIGFBD87CB,國安段,.09,都市：住,94,1,持分移轉,17170000
RPSNMLLKQHIGFBD87CB,國安段,.14,都市：住,94,1,持分移轉,17150028
RPSNMLLKQHIGFBD87CB,國安段,.13,都市：住,94,1,持分移轉,17150062
RPSNMLLKQHIGFBD87CB,國安段,93.08,都市：住,1,1,全筆移轉,17150005
RPQNMLQKQHIGFBD18CB,安西段,28.92,都市：住,300000,1231,持分移轉,20220000
RPPNMLMKQHIGFBD67CB,國安段,93.08,都市：住,1,1,全筆移轉,17150003
RPPNMLMKQHIGFBD67CB,國安段,.17,都市：住,94,1,持分移轉,16820004
RPPNMLMKQHIGFBD67CB,國安段,.09,都市：住,94,1,持分移轉,17170000
