鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
北區,建物,臺南市北區開元路４８５巷４１弄６號４樓之７,0.0,商,,,1120728,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0891120,89.73,3,2,2,有,有,有,16000,178,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPPNMLLKQHIGFAD57CC,,,,,,
北區,建物,臺南市北區開元路５１９號７樓之８,0.0,住,,,1120725,土地0建物1車位0,七層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1041105,125.05000000000001,3,2,2,有,有,有,22000,176,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPRNMLLKQHIGFAD77CC,,,,,,
北區,建物,臺南市北區北安路一段１７６巷１０號十二樓,0.0,住,,,1120808,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造,0951129,115.84,3,2,2,有,有,有,20500,177,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫。水電瓦斯費及每月管理費2300元皆由承租人負擔。,RPSNMLLKQHIGFAD87CC,,,,,,
北區,建物,臺南市北區長北街８０號,0.0,商,,,1120808,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0731224,43.3,2,1,2,有,無,有,16000,370,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫。水電瓦斯費由承租人負擔。,RPTNMLLKQHIGFAD97CC,,,,,,
中西區,建物,臺南市中西區信義街１０８巷４３號二樓之９,0.0,住,,,1120714,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0820327,22.740000000000002,1,0,1,有,有,有,5800,255,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPUNMLLKQHIGFAD08CC,,,,,,
中西區,建物,臺南市中西區南寧街８３巷１６之２號,0.0,住,,,1120715,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790410,21.62,1,0,1,有,有,有,6100,282,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPVNMLLKQHIGFAD18CC,,,,,,
北區,建物,臺南市北區成功路６８巷１４號五樓之２,0.0,商,,,1120715,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730509,86.83,3,2,2,有,無,有,13100,151,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPWNMLLKQHIGFAD28CC,,,,,,
中西區,建物,臺南市中西區友愛街３６３號六樓之１２,0.0,商,,,1120719,土地0建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851127,33.480000000000004,1,0,1,有,有,有,5000,149,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPOOMLLKQHIGFAD57CC,,,,,,
安南區,建物,臺南市安南區培安路３０５巷３號六樓之５,0.0,住,,,1120801,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1101207,72.72,2,1,1,有,有,有,18000,248,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLLKQHIGFBD67CC,,,,,,
安南區,建物,臺南市安南區本原街三段２３４巷１４１弄１４５號,0.0,住,,,1120801,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840612,123.99,4,2,3,有,無,有,22000,177,,0.0,0,台南市社會住宅包租代管第三期計畫。水電費、瓦斯費由承租人負擔。,RPQNMLLKQHIGFBD77CC,,,,,,
東區,建物,臺南市東區東和路１０９號,0.0,住,,,1120807,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830127,33.06,1,0,1,有,無,有,5900,178,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.此租賃物件為分租套房未分算建物共有部分面積,RPPNMLLKQHIGFCD77CC,,,,,,
東區,建物,臺南市東區東門路一段５８號,0.0,商,,,1120717,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0620628,71.73,1,0,1,有,無,有,11000,153,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.水費每月補貼100元。,RPRNMLLKQHIGFCD97CC,,,,,,
東區,建物,臺南市東區崇善路１７１號３樓,0.0,住,,,1120720,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800121,19.44,1,0,1,有,有,有,5000,257,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.管理費每月235元及水電費由承租人負擔。,RPSNMLLKQHIGFCD08CC,,,,,,
東區,房地(土地+建物),臺南市東區自由路二段９０號,81.0,住,,,1120805,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0671122,99.02,2,1,2,有,無,無,20000,202,,0.0,0,,RPTNMLLKQHIGFCD18CC,,,,,,
南區,建物,臺南市南區鹽埕路２９１巷６０弄１４號,0.0,住,,,1120801,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610906,76.6,4,2,2,有,無,有,18000,235,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPUNMLLKQHIGFCD28CC,,,,,,
南區,建物,臺南市南區金華路一段１５４巷３８號三樓之３,0.0,住,,,1120718,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710226,24.189999999999998,1,0,1,有,無,有,5000,207,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPVNMLLKQHIGFCD38CC,,,,,,
仁德區,建物,臺南市仁德區文心路７６號二樓之１１,0.0,商,,,1120801,土地0建物1車位0,二層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100315,81.53,2,2,1,有,有,有,18000,221,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLLKQHIGFID48CC,,,,,,
永康區,建物,臺南市永康區中華路３４９號１４樓之１１,0.0,住,,,1120731,土地0建物1車位0,十四層,17,住宅大樓(11層含以上有電梯),辦公室。,鋼筋混凝土造,0850129,33.25,1,0,1,有,有,有,5000,150,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLLKQHIGFKD58CC,,,,,,
永康區,建物,臺南市永康區成功路１８８巷２號五樓之３,0.0,住,,,1120801,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820716,32.56,1,0,1,有,有,有,5000,154,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLLKQHIGFKD68CC,,,,,,
永康區,建物,臺南市永康區中華路６６１巷１０５弄１８號,0.0,住,,,1120807,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0770415,152.86,4,2,3,有,無,有,22000,144,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPRNMLLKQHIGFKD78CC,,,,,,
永康區,建物,臺南市永康區大橋一街５７之５號十樓之２３,0.0,住,,,1120715,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880824,36.78,1,0,1,有,有,有,7500,204,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPSNMLLKQHIGFKD88CC,,,,,,
永康區,建物,臺南市永康區中正路２５６巷１３號之２,0.0,住,,,1120715,土地0建物1車位0,二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820824,129.53,3,2,2,有,有,有,8000,62,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPTNMLLKQHIGFKD98CC,,,,,,
永康區,建物,臺南市永康區中山南路１２３巷２６號之３,0.0,住,,,1120715,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701202,71.2,2,2,1,有,無,有,13000,183,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPUNMLLKQHIGFKD09CC,,,,,,
永康區,建物,臺南市永康區成功路１８８巷２號五樓之１,0.0,住,,,1120716,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820716,32.07,1,0,1,有,有,有,6000,187,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPVNMLLKQHIGFKD56CC,,,,,,
永康區,建物,臺南市永康區大橋一街５７之５號十三樓之１,0.0,住,,,1120718,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880824,38.650000000000006,1,0,1,有,有,有,6500,168,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPWNMLLKQHIGFKD66CC,,,,,,
永康區,建物,臺南市永康區復國路６２號七樓之１,0.0,住,,,1120724,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960920,156.21,3,2,2,有,有,有,15000,96,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折房東提供一個車位無收取任何車位租金,RPXNMLLKQHIGFKD76CC,,,,,,
中西區,建物,臺南市中西區正興街４０號二樓之２,0.0,商,,,1120725,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0761030,44.89,1,1,1,有,有,有,8500,189,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLMKQHIGFAD67CC,,,,,,
中西區,建物,臺南市中西區忠義路二段３２號八樓之３,0.0,商,,,1120726,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690507,36.46,1,1,1,有,有,有,11000,302,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLMKQHIGFAD77CC,,,,,,
北區,建物,臺南市北區忠義路三段２２號四樓之５,0.0,商,,,1120726,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850905,38.089999999999996,1,0,1,有,有,有,11000,289,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPRNMLMKQHIGFAD87CC,,,,,,
北區,建物,臺南市北區長榮路五段２９０號十樓之２,0.0,住,,,1120801,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0911227,143.63,3,2,2,有,有,有,15000,104,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPSNMLMKQHIGFAD97CC,,,,,,
安南區,建物,臺南市安南區安和路三段７３巷１６號,0.0,住,,,1120725,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0830422,176.88,3,2,3,有,無,有,14000,79,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLMKQHIGFBD77CC,,,,,,
南區,建物,臺南市南區大同路二段４３０巷１４號,0.0,住,,,1120728,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701218,126.44,4,2,2,有,無,有,15000,119,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLMKQHIGFCD87CC,,,,,,
東區,建物,臺南市東區長榮路二段３２巷１６２號二樓之１５,0.0,住,,,1120731,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790507,29.759999999999998,1,0,1,有,有,有,4500,151,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLMKQHIGFCD97CC,,,,,,
仁德區,建物,臺南市仁德區成功二街６巷３號,0.0,住,,,1120725,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0730524,114.19,2,2,2,有,無,有,10000,88,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLMKQHIGFID48CC,,,,,,
仁德區,建物,臺南市仁德區德崙路７７巷９０號四樓之１,0.0,住,,,1120725,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830625,70.81,2,1,1,有,有,有,13500,191,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLMKQHIGFID58CC,,,,,,
永康區,建物,臺南市永康區龍中街４８７巷３１號,0.0,住,,,1120725,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1000905,183.4,3,2,3,有,無,有,25000,136,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLMKQHIGFKD68CC,,,,,,
永康區,建物,臺南市永康區南工街２６７巷２７弄１號,0.0,住,,,1120727,土地0建物1車位0,全,1,透天厝,住家用,磚造、水泥瓦造。,0630610,61.36,3,2,1,有,無,有,8000,130,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLMKQHIGFKD78CC,,,,,,
永康區,建物,臺南市永康區新民街６６巷１號四樓之１２,0.0,住,,,1120728,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,35.54,1,1,1,有,有,有,8000,225,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPRNMLMKQHIGFKD88CC,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街９０號１２F-６,20.17,住,,,1120812,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111201,137.84,3,2,2,有,有,有,25000,181,坡道機械,20.84,0,含管理費、稅金或水電等費用。；,RPPNMLNKQHIGFBD87CC,,,,,,
中西區,建物,臺南市中西區金華路三段２５２號十五樓之５,0.0,商,,,1120801,土地0建物1車位0,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870219,112.37,3,2,2,有,有,有,13700,122,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPQNMLOKQHIGFAD97CC,,,,,,
中西區,建物,臺南市中西區金華路三段２１８號十五樓之１０,0.0,商,,,1120801,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,58.62,1,0,1,有,有,有,8500,145,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPRNMLOKQHIGFAD08CC,,,,,,
北區,建物,臺南市北區公園路５９７巷２號四樓之５,0.0,其他,,,1120718,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701027,117.25,3,2,1,有,無,有,9000,77,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPSNMLOKQHIGFAD18CC,,,,,,
安平區,建物,臺南市安平區健康三街１４６號六樓之２,0.0,住,,,1120802,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造,0950822,173.60000000000002,3,2,2,有,有,有,22000,127,,0.0,0,公會版第4期，租金市價9折,RPTNMLOKQHIGFAD28CC,,,,,,
中西區,建物,臺南市中西區青年路１４７號六樓之４,0.0,商,,,1120731,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811215,125.44,3,2,2,有,有,有,15000,120,,0.0,0,公會版第4期，市場租金8折,RPUNMLOKQHIGFAD38CC,,,,,,
北區,建物,臺南市北區開元路９０巷２３號,0.0,住,,,1120724,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720817,87.25,3,1,2,有,無,有,13500,155,,0.0,0,,RPOOMLOKQHIGFAD87CC,,,,,,
中西區,建物,臺南市中西區樹林街二段１４９號３樓,0.0,住,,,1120807,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700630,113.44999999999999,2,2,2,有,無,有,15000,132,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPROMLOKQHIGFAD18CC,,,,,,
北區,建物,臺南市北區中華北路一段１８１巷２１號２F-A室,0.0,住,,,1120809,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0810522,36.36,1,1,1,有,無,有,9000,248,,0.0,0,部份出租，租金含水不含電,RPSOMLOKQHIGFAD28CC,,,,,,
中西區,建物,臺南市中西區西門路一段７０３巷６號,0.0,商,,,1120729,土地0建物1車位0,見其他登記事項,4,店面(店鋪),店舖、住宅,鋼筋混凝土造,0970909,48.14,0,1,1,有,無,有,22000,457,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.裝潢期1120801~1120831免租金。4.每期水費，出租方固定補貼500元。,RPTOMLOKQHIGFAD38CC,,,,,,
中西區,建物,臺南市中西區金華路三段２１８號十五樓之７,0.0,商,,,1120801,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,38.41,1,1,1,有,有,有,8500,221,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPWOMLOKQHIGFAD68CC,,,,,,
東區,建物,臺南市東區裕農一街１８６號５樓之２１,0.0,住,,,1120720,土地0建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850409,172.31,3,1,2,有,有,有,26000,151,坡道平面,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.租金包含管理費。4.水電費、天然瓦斯費及網路費由承租人負擔。,RPPNMLOKQHIGFCD08CC,,,,,,
東區,建物,臺南市東區中華東路二段１９３號８樓之８,0.0,住,,,1120802,土地0建物1車位0,八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841106,44.47,1,1,1,有,有,有,9500,214,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.租金包含管理費。4.水電費由承租人負擔。,RPQNMLOKQHIGFCD18CC,,,,,,
東區,建物,臺南市東區小東路２５４巷２弄１３號,0.0,住,,,1120810,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0681022,94.24,2,1,2,有,無,有,11800,125,,0.0,0,台南市不動產租賃公會民間住宅包租代管第四期計畫。水電瓦斯費由承租人負擔。,RPRNMLOKQHIGFCD28CC,,,,,,
東區,建物,臺南市東區林森路一段１３２號７樓之８,0.0,住,,,1120726,土地0建物1車位0,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,116.57000000000001,3,2,2,有,有,有,12000,103,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPSNMLOKQHIGFCD38CC,,,,,,
東區,建物,臺南市東區衛國街１１４巷２０之５號,0.0,住,,,1120803,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0690522,72.47,2,1,1,有,有,有,14000,193,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.租金包含管理費。4.水電費由承租人負擔。,RPUNMLOKQHIGFCD58CC,,,,,,
