編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKQHIGFBD67CC,2,49.10,集合住宅,鋼筋混凝土造,110年12月7日,十五層,,
RPPNMLLKQHIGFBD67CC,2,23.62,本共有部份之項目有：防空避難室兼停車空間、樓梯間、梯廳、排煙管道、機械室、水箱、公共服務空間、車道、管委會空間、資源回收區、陽台、停車空間共１２項,鋼筋混凝土造,110年12月7日,十五層,,
RPQNMLLKQHIGFBD77CC,28,123.99,住家用,鋼筋混凝土造,84年6月12日,三層,,
RPPNMLLKQHIGFAD57CC,23,69.51,集合住宅,鋼筋混凝土造,89年11月20日,十四層,,
RPPNMLLKQHIGFAD57CC,23,20.22,共有部分,鋼筋混凝土造,89年11月20日,十四層,,
RPTNMLLKQHIGFAD97CC,39,43.30,住商用,加強磚造,73年12月24日,二層,,
RPSNMLLKQHIGFAD87CC,17,92.74,集合住宅,ＲＣ造,95年11月29日,十三層,,
RPSNMLLKQHIGFAD87CC,17,13.52,共有部分,ＲＣ造,95年11月29日,十三層,,
RPSNMLLKQHIGFAD87CC,17,9.58,共有部分,ＲＣ造,95年11月29日,十三層,,
RPRNMLLKQHIGFAD77CC,8,87.67,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,,
RPRNMLLKQHIGFAD77CC,8,37.38,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,,
RPUNMLLKQHIGFAD08CC,30,15.74,商業用,鋼筋混凝土造,82年3月27日,六層,,
RPUNMLLKQHIGFAD08CC,30,7.00,共有部分,鋼筋混凝土造,82年3月27日,六層,,
RPVNMLLKQHIGFAD18CC,33,16.14,住家用,鋼筋混凝土造,79年4月10日,五層,,
RPVNMLLKQHIGFAD18CC,33,5.48,共有部分,鋼筋混凝土造,79年4月10日,五層,,
RPWNMLLKQHIGFAD28CC,39,73.55,住家用,鋼筋混凝土造,73年5月9日,五層,,
RPWNMLLKQHIGFAD28CC,39,7.31,共有部分,鋼筋混凝土造,73年5月9日,,,
RPWNMLLKQHIGFAD28CC,39,5.97,共有部分,鋼筋混凝土造,73年5月9日,五層,,
RPOOMLLKQHIGFAD57CC,27,24.32,住家用,鋼筋混凝土造,85年11月27日,十一層,,
RPOOMLLKQHIGFAD57CC,27,6.29,共有部分,鋼筋混凝土造,85年11月27日,十一層,,
RPOOMLLKQHIGFAD57CC,27,2.87,共有部分,鋼筋混凝土造,85年11月27日,十一層,,
RPQNMLLKQHIGFID48CC,2,53.95,集合住宅,鋼筋混凝土構造,110年3月15日,二十四層,,
RPQNMLLKQHIGFID48CC,2,27.58,本共有部分之項目有管委會使用空間、停車空間、機電設備空間、防空避難室兼停車空間、台電配電場所、自來水箱、車道、門廳、儲藏室、機房、樓梯間、消防水箱等１２項,鋼筋混凝土構造,110年3月15日,二十四層,,
RPTNMLLKQHIGFCD18CC,45,99.02,住商用,加強磚造,67年11月22日,二層,,
RPUNMLLKQHIGFCD28CC,51,76.60,住家用,加強磚造,61年9月6日,二層,,
RPRNMLLKQHIGFCD97CC,50,71.73,住商用,加強磚造,62年6月28日,三層,,
RPPNMLLKQHIGFCD77CC,30,33.06,住商用,鋼筋混凝土造,83年1月27日,七層,,
RPSNMLLKQHIGFCD08CC,32,12.23,住家用,鋼筋混凝土造,80年1月21日,七層,,
RPSNMLLKQHIGFCD08CC,32,7.21,共有部分,鋼筋混凝土造,80年1月21日,七層,,
RPVNMLLKQHIGFCD38CC,41,21.72,住家用,鋼筋混凝土造,71年2月26日,五層,,
RPVNMLLKQHIGFCD38CC,41,2.47,共有部分,鋼筋混凝土造,71年2月26日,三層,,
RPPNMLMKQHIGFAD67CC,36,34.26,住商用,鋼筋混凝土造,76年10月30日,七層,,
RPPNMLMKQHIGFAD67CC,36,10.63,共有部分,鋼筋混凝土造,76年10月30日,七層,,
RPQNMLMKQHIGFAD77CC,43,28.11,住家用,鋼筋混凝土造,69年5月7日,八層,,
RPQNMLMKQHIGFAD77CC,43,8.35,共有部分,鋼筋混凝土造,69年5月7日,八層,,
RPRNMLMKQHIGFAD87CC,27,29.58,住家用,鋼筋混凝土造,85年9月5日,十二層,,
RPRNMLMKQHIGFAD87CC,27,6.46,共有部分,鋼筋混凝土造,85年9月5日,十二層,,
RPRNMLMKQHIGFAD87CC,27,2.05,避難室、停車空間,鋼筋混凝土造,85年9月5日,十二層,,
RPSNMLMKQHIGFAD97CC,21,98.35,集合住宅,鋼筋混凝土造,91年12月27日,十二層,,
RPSNMLMKQHIGFAD97CC,21,45.28,共有部分,鋼筋混凝土造,91年12月27日,十二層,,
RPPNMLMKQHIGFBD77CC,29,176.88,住商用,鋼筋混凝土造,83年4月22日,四層,,
