編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKQHIGFBD67CC,怡安段,.00,都市：住,,,,09230000
RPQNMLLKQHIGFBD77CC,本淵段,.00,都市：住,,,,02210016
RPPNMLLKQHIGFAD57CC,開元段,.00,都市：商,,,,03610005
RPTNMLLKQHIGFAD97CC,北華段,.00,都市：商,,,,07910000
RPSNMLLKQHIGFAD87CC,北安段,.00,都市：住,,,,00560108
RPRNMLLKQHIGFAD77CC,開元段,.00,都市：商,,,,05970000
RPRNMLLKQHIGFAD77CC,開元段,.00,都市：住,,,,06180000
RPUNMLLKQHIGFAD08CC,老古石段,.00,都市：住,,,,15130000
RPVNMLLKQHIGFAD18CC,南門段,.00,都市：住,,,,14880000
RPWNMLLKQHIGFAD28CC,忠義段,.00,都市：商,,,,09010000
RPOOMLLKQHIGFAD57CC,星鑽段,.00,都市：商,,,,20750000
RPOOMLLKQHIGFAD57CC,星鑽段,.00,都市：商,,,,21080000
RPOOMLLKQHIGFAD57CC,星鑽段,.00,都市：商,,,,21110000
RPQNMLLKQHIGFID48CC,白崙段,.00,都市：商,,,,00720000
RPTNMLLKQHIGFCD18CC,仁和段,81.00,都市：住,,,,05260013
RPUNMLLKQHIGFCD28CC,白雪段,.00,都市：住,,,,02340000
RPRNMLLKQHIGFCD97CC,龍山段,.00,都市：其他:公園道用地(兼供鐵路使用),,,,11360001
RPRNMLLKQHIGFCD97CC,龍山段,.00,都市：其他:公園道用地(兼供鐵路使用),,,,11370001
RPPNMLLKQHIGFCD77CC,光明段,.00,都市：住,,,,07890000
RPRNMLLKQHIGFCD97CC,龍泉段,.00,都市：商,,,,13180000
RPSNMLLKQHIGFCD08CC,竹篙厝段,.00,都市：住,,,,09100000
RPRNMLLKQHIGFCD97CC,龍泉段,.00,都市：商,,,,13190000
RPRNMLLKQHIGFCD97CC,龍泉段,.00,都市：商,,,,13200000
RPRNMLLKQHIGFCD97CC,龍泉段,.00,都市：商,,,,13210000
RPRNMLLKQHIGFCD97CC,龍泉段,.00,都市：商,,,,13220000
RPVNMLLKQHIGFCD38CC,鹽埕段,.00,都市：住,,,,20140000
RPPNMLMKQHIGFAD67CC,中正段,.00,都市：商,,,,00720000
RPPNMLMKQHIGFAD67CC,中正段,.00,都市：商,,,,00770000
RPQNMLMKQHIGFAD77CC,孔廟段,.00,都市：商,,,,01820000
RPQNMLMKQHIGFAD77CC,孔廟段,.00,都市：商,,,,01830000
RPRNMLMKQHIGFAD87CC,忠義段,.00,都市：商,,,,06810000
RPSNMLMKQHIGFAD97CC,康祥段,.00,都市：住,,,,07290000
RPPNMLMKQHIGFBD77CC,新順段,.00,都市：住,,,,10200015
RPPNMLMKQHIGFCD87CC,公英段,.00,都市：住,,,,01760000
RPQNMLMKQHIGFCD97CC,東安段,.00,都市：住,,,,05020000
RPPNMLMKQHIGFID48CC,牛稠段,.00,都市：住,,,,08560000
RPQNMLMKQHIGFID58CC,德崙段,.00,都市：住,,,,05240000
RPPNMLMKQHIGFKD68CC,龍安段,.00,都市：住,,,,06820000
RPXNMLLKQHIGFKD76CC,永興段,.00,都市：住,,,,00130000
RPPNMLLKQHIGFKD58CC,兵北段,.00,都市：住,,,,01350000
RPVNMLLKQHIGFKD56CC,南工段,.00,都市：住,,,,09670000
RPVNMLLKQHIGFKD56CC,南工段,.00,都市：住,,,,09680000
RPVNMLLKQHIGFKD56CC,南工段,.00,都市：住,,,,09690000
RPUNMLLKQHIGFKD09CC,永康段,.00,都市：住,,,,15490000
RPSNMLLKQHIGFKD88CC,六甲頂段,.00,都市：住,,,,10910000
RPQNMLLKQHIGFKD68CC,南工段,.00,都市：住,,,,09670000
RPQNMLLKQHIGFKD68CC,南工段,.00,都市：住,,,,09680000
RPQNMLLKQHIGFKD68CC,南工段,.00,都市：住,,,,09690000
RPWNMLLKQHIGFKD66CC,六甲頂段,.00,都市：住,,,,10910000
RPTNMLLKQHIGFKD98CC,永強段,.00,都市：住,,,,06080000
RPRNMLLKQHIGFKD78CC,六甲頂段,.00,都市：住,,,,13100001
RPRNMLMKQHIGFKD88CC,鹽東段,.00,都市：住,,,,16130000
RPQNMLMKQHIGFKD78CC,仁愛段,.00,都市：住,,,,04390000
RPQNMLOKQHIGFAD97CC,星鑽段,.00,都市：商,,,,18300000
RPPNMLNKQHIGFBD87CC,國安段,20.17,都市：住,,,,16150000
RPQNMLOKQHIGFAD97CC,星鑽段,.00,都市：商,,,,18400000
RPSNMLOKQHIGFAD18CC,正興段,.00,都市：其他:部分住宅部分廣場用地,,,,04960008
RPTNMLOKQHIGFAD28CC,金華段,.00,都市：住,,,,00980000
RPOOMLOKQHIGFAD87CC,東豐段,.00,都市：住,,,,04660000
RPUNMLOKQHIGFAD38CC,青年段,.00,都市：商,,,,06810000
RPRNMLOKQHIGFAD08CC,星鑽段,.00,都市：商,,,,18530000
RPSOMLOKQHIGFAD28CC,光賢段,.00,都市：住,,,,02440000
RPROMLOKQHIGFAD18CC,南門段,.00,都市：住,,,,11520000
RPTOMLOKQHIGFAD38CC,南廠段,.00,都市：商,,,,01800000
RPTOMLOKQHIGFAD38CC,南廠段,.00,都市：商,,,,01810000
RPWOMLOKQHIGFAD68CC,星鑽段,.00,都市：商,,,,18530000
RPQNMLOKQHIGFID78CC,歸仁北段,.00,都市：住,,,,03930000
RPPNMLOKQHIGFID68CC,後壁段,.00,都市：住,,,,00940000
RPPNMLOKQHIGFKD88CC,六甲頂段,.00,都市：住,,,,13730000
RPSNMLOKQHIGFCD38CC,路東段,.00,都市：住,,,,09530000
RPUNMLOKQHIGFCD58CC,新東段,.00,都市：住,,,,15510017
RPQNMLOKQHIGFCD18CC,富農段,.00,都市：住,,,,00480000
RPSNMLOKQHIGFCD38CC,路東段,.00,都市：住,,,,09530001
RPQNMLOKQHIGFCD18CC,富農段,.00,都市：住,,,,00480001
RPPNMLOKQHIGFCD08CC,虎尾寮段,.00,都市：住,,,,04810133
RPRNMLOKQHIGFCD28CC,東光段,.00,都市：住,,,,02300004
RPQNMLOKQHIGFKD98CC,蜈蜞潭段,152.00,都市：住,,,,12920000
RPQNMLOKQHIGFKD98CC,蜈蜞潭段,1906.00,都市：住,,,,12930000
RPQNMLOKQHIGFKD98CC,蜈蜞潭段,1852.00,都市：住,,,,12940000
RPQNMLOKQHIGFKD98CC,蜈蜞潭段,260.00,都市：住,,,,12950002
