編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNKQHIGFBD87CC,坡道機械,0,20.84,地下三樓
RPPNMLOKQHIGFCD08CC,坡道平面,0,,地下一樓
RPWNMLQKQHIGFAD78CC,坡道平面,0,29.25,地下二樓
RPWNMLQKQHIGFAD78CC,坡道平面,0,29.25,地下二樓
RPPNMLQKQHIGFBD18CC,坡道平面,0,22.62,地下二樓
RPOOMLRKQHIGFAD18CC,坡道平面,0,29.75,地下一樓
RPRNMLSKQHIGFAD48CC,升降機械,0,,地下一樓
RPVNMLSKQHIGFAD88CC,升降機械,0,,地下一樓
RPVNMLSKQHIGFAD88CC,其他,0,,地下一樓
RPPOMLSKQHIGFCD58CC,坡道平面,0,,地下一樓
RPQNMLLLQHIGFAD77CC,坡道平面,0,,地下二樓
RPWNMLLLQHIGFAD38CC,坡道平面,0,33.38,地下二樓
RPSNMLLLQHIGFAD97CC,坡道平面,0,34.19,地下三樓
RPPNMLLLQHIGFBD77CC,坡道機械,0,20.85,地下三樓
RPUNMLLLQHIGFID98CC,坡道平面,0,16.89,地下三樓
RPQNMLMLQHIGFAD87CC,坡道平面,0,33.38,地下二樓
RPPNMLMLQHIGFID58CC,坡道平面,2000,17.45,地下四樓
RPPNMLMLQHIGFKD78CC,坡道平面,0,30.68,地下二樓
RPXOMLNLQHIGFAD78CC,坡道平面,0,33.38,地下二樓
RPPNMLPLQHIGFAD08CC,坡道平面,0,,地下一樓
RPPNMLPLQHIGFBD18CC,坡道平面,0,29.94,地下二樓
RPPNMLPLQHIGFBD18CC,坡道平面,0,29.94,地下二樓
RPRNMLPLQHIGFKD66CC,坡道平面,0,,地下一樓
RPQNMLQLQHIGFKD66CC,坡道平面,0,,地下二樓
RPPOMLSLQHIGFAD48CC,坡道平面,0,,地下一樓
RPPNMLSLQHIGFBD48CC,坡道平面,0,29.94,地下三樓
RPPNMLSLQHIGFCD58CC,坡道平面,0,,地下三樓
RPPNMLSLQHIGFDD68CC,坡道平面,0,,地下二樓
RPVNMLSLQHIGFKD37CC,其他,0,,地下一樓
RPQNMLTLQHIGFKD96CC,坡道平面,0,,地下二樓
RPVNMLKMQHIGFAD28CC,坡道平面,0,,地下二樓
RPOOMLKMQHIGFCD87CC,坡道平面,0,40.00,地下二樓
RPOOMLKMQHIGFCD87CC,其他,0,,
RPPNMLKMQHIGFDD97CC,坡道平面,0,29.14,地下一樓
RPQNMLLMQHIGFBD97CC,坡道機械,500,20.85,地下三樓
RPPNMLLMQHIGFBD87CC,一樓平面,0,15.10,一樓
RPQNMLLMQHIGFID68CC,坡道平面,0,,地下一樓
RPUNMLLJRHIGFAD08CC,坡道機械,0,23.36,地下三樓
RPQOMLLJRHIGFHD48CC,其他,0,,一樓
RPQNMLPJRHIGFHD78CC,一樓平面,1800,,一樓
RPRNMLPJRHIGFHD88CC,坡道平面,0,,地下一樓
RPROMLQJRHIGFAD38CC,坡道平面,0,,地下一樓
RPSNMLRJRHIGFCD68CC,坡道平面,0,15.13,地下二樓
RPPNMLTJRHIGFAD38CC,坡道平面,0,30.89,地下一樓
RPPNMLTJRHIGFAD38CC,坡道平面,0,30.89,地下二樓
RPOOMLMKRHIGFAD77CC,坡道平面,0,24.91,地下三樓
RPPNMLMKRHIGFHD48CC,坡道平面,0,,地下二樓
RPSNMLNKRHIGFCD38CC,坡道平面,0,,地下一樓
RPPNMLPKRHIGFKD09CC,坡道平面,0,,地下一樓
RPPNMLPKRHIGFHD78CC,坡道平面,0,,地下一樓
RPUNMLPKRHIGFKD96CC,坡道平面,0,,地下二樓
RPQNMLPKRHIGFKD56CC,坡道平面,0,37.35,地下四樓
RPRNMLQKRHIGFAD38CC,坡道平面,0,,地下一樓
RPSNMLQKRHIGFAD48CC,坡道平面,0,,地下一樓
RPPNMLSKRHIGFHD09CC,其他,0,,一樓
RPRNMLSKRHIGFHD66CC,一樓平面,0,,一樓
RPSNMLTKRHIGFHD86CC,坡道機械,0,16.23,地下二樓
RPQNMLTKRHIGFCD78CC,坡道平面,0,,地下二樓
RPRNMLKLRHIGFCD08CC,坡道平面,0,25.33,地下三樓
RPTNMLLLRHIGFAD18CC,坡道平面,0,33.40,地下二樓
RPWNMLLLRHIGFAD48CC,坡道機械,0,23.35,地下三樓
RPQOMLLLRHIGFAD97CC,一樓平面,0,,一樓
RPUOMLLLRHIGFAD38CC,坡道機械,0,,地下四樓
RPSNMLLLRHIGFBD18CC,坡道平面,2500,29.08,地下二樓
RPQNMLLLRHIGFHD58CC,坡道平面,3500,35.21,地下一樓
RPXNMLLLRHIGFKD96CC,一樓平面,0,,一樓
RPOOMLLLRHIGFKD78CC,其他,0,,地下一樓
RPTOMLLLRHIGFKD66CC,坡道平面,0,37.35,地下四樓
RPPNMLNLRHIGFGD58CC,坡道平面,2000,10.17,一樓
RPTNMLPLRHIGFAD58CC,坡道平面,0,32.55,地下四樓
RPPNMLPLRHIGFCD38CC,坡道機械,0,,地下二樓
RPPOMLPLRHIGFCD48CC,坡道平面,3300,,地下一樓
RPOOMLPLRHIGFCD38CC,坡道平面,3300,,地下一樓
RPSNMLQLRHIGFAD58CC,坡道平面,0,,地下一樓
RPPNMLRLRHIGFCD58CC,坡道平面,0,25.33,地下二樓
RPPNMLRLRHIGFBD48CC,坡道平面,0,25.60,地下一樓
RPSNMLRLRHIGFID86CC,坡道平面,0,17.45,地下二樓
RPPNMLRLRHIGFID56CC,坡道平面,0,23.08,地下一樓
RPOOMLSLRHIGFAD48CC,坡道平面,0,,地下一樓
RPSPMLSLRHIGFAD98CC,坡道平面,0,31.89,地下三樓
RPRPMLSLRHIGFAD88CC,坡道平面,0,33.38,地下二樓
RPQPMLSLRHIGFAD78CC,坡道平面,0,,地下一樓
RPPNMLSLRHIGFBD58CC,坡道機械,2000,20.96,地下二樓
RPPNMLSLRHIGFCD68CC,坡道平面,2500,,地下一樓
RPOOMLSLRHIGFCD68CC,坡道平面,0,25.79,地下三樓
RPROMLSLRHIGFCD98CC,坡道平面,0,,地下一樓
RPPNMLSLRHIGFID66CC,坡道平面,0,20.27,地下一樓
RPRNMLSLRHIGFID86CC,坡道平面,3000,16.89,地下四樓
RPSNMLSLRHIGFID96CC,坡道平面,0,17.45,地下三樓
RPQOMLSLRHIGFKD07CC,坡道平面,0,37.35,地下五樓含以下
RPPNMLMJIIIGFCD07CC,坡道平面,0,,地下一樓
RPPNMLMJIIIGFHD57CC,坡道機械,0,,地下二樓
RPQNMLNJIIIGFHD77CC,坡道平面,0,12.94,一樓
RPSNMLNJIIIGFAD27CC,升降機械,0,,地下一樓
RPTNMLOJIIIGFAD47CC,坡道機械,1600,11.17,地下三樓
RPUNMLOJIIIGFAD57CC,升降機械,0,16.66,地下四樓
RPWNMLOJIIIGFAD77CC,坡道平面,0,,地下二樓
RPUNMLOJIIIGFCD77CC,坡道平面,0,,地下一樓
RPVNMLOJIIIGFCD87CC,坡道平面,1800,,地下二樓
RPPNMLPJIIIGFCD37CC,其他,0,,地下一樓
RPQNMLPJIIIGFCD47CC,坡道平面,0,,地下一樓
RPQNMLOJIIIGFKD18CC,坡道平面,0,,地下一樓
RPRNMLRJIIIGFBD67CC,坡道平面,0,25.44,地下一樓
RPRNMLRJIIIGFCD77CC,坡道平面,0,,地下二樓
RPPNMLRJIIIGFID18CC,坡道平面,0,17.45,地下四樓
RPRNMLTJIIIGFAD77CC,坡道平面,0,,地下一樓
RPQNMLTJIIIGFBD77CC,坡道平面,0,35.04,地下二樓
RPRNMLTJIIIGFCD97CC,坡道平面,1500,24.43,地下一樓
RPVNMLTJIIIGFCD38CC,坡道機械,0,,地下一樓
RPUNMLLKIIIGFKD38CC,坡道平面,0,14.41,地下二樓
RPVNMLLKIIIGFKD48CC,坡道平面,2000,37.35,地下二樓
RPQOMLLKIIIGFKD08CC,坡道機械,0,,地下二樓
RPRNMLMKIIIGFCD37CC,坡道機械,0,,地下一樓
RPVNMLMKIIIGFKD58CC,一樓平面,0,,一樓
RPPNMLNKIIIGFHD77CC,坡道平面,0,27.88,地下一樓
RPQNMLNKIIIGFHD87CC,坡道平面,0,12.94,地下一樓
RPSNMLOKIIIGFAD47CC,坡道平面,0,16.55,地下一樓
RPPNMLPKIIIGFID08CC,坡道平面,0,22.27,地下二樓
RPVNMLQKIIIGFAD97CC,坡道機械,0,23.36,地下四樓
RPPNMLPKIIIGFBD37CC,坡道平面,0,26.87,地下二樓
RPSNMLMKIIIGFCD47CC,坡道平面,0,,地下一樓
RPPNMLQKIIIGFGD97CC,一樓平面,0,,一樓
RPPNMLQKIIIGFID18CC,坡道平面,0,17.45,地下四樓
RPPNMLQKIIIGFKD38CC,一樓平面,0,,一樓
RPSNMLRKIIIGFBD87CC,坡道平面,2500,34.87,地下一樓
RPRNMLRKIIIGFCD87CC,坡道平面,0,,地下一樓
RPXOMLRKIIIGFCD58CC,坡道平面,0,24.43,地下二樓
