編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTJJIIGFHE48DA,30,294.62,住商用,鋼筋混凝土造,83年4月22日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 騎樓,持分移轉
RPUNMLNJJIIGFAE57DA,25,24.77,共有部分,鋼筋混凝土造,87年10月27日,十四層,,持分移轉
RPRNMLMJJIIGFLE28DA,4,292.29,住宅,鋼筋混凝土造,109年3月17日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物,全筆移轉
RPQNMLSJJIIGFHE38DA,30,139.28,住家用,鋼筋混凝土造,82年12月3日,三層,一層,全筆移轉
RPVNMLSJJIIGFAE18DA,28,.19,住家用,鋼筋混凝土造,84年11月29日,十九層,二層,持分移轉
RPVNMLSJJIIGFAE18DA,28,.19,住家用,鋼筋混凝土造,84年11月29日,十九層,三層,持分移轉
RPVNMLSJJIIGFAE18DA,28,51.11,住家用,鋼筋混凝土造,84年11月29日,十九層,十八層 陽台 花台,持分移轉
RPVNMLSJJIIGFAE18DA,28,30.91,見使用執照,鋼筋混凝土造,84年11月29日,十九層,,持分移轉
RPVNMLSJJIIGFAE18DA,28,.07,見使用執照,鋼筋混凝土造,84年11月29日,十九層,,持分移轉
RPVNMLSJJIIGFAE18DA,28,.07,見使用執照,鋼筋混凝土造,84年11月29日,十九層,,持分移轉
RPRPMLSKIIIGFAE97DA,44,23.32,,鋼筋混凝土造,69年6月18日,十二層,十層,全筆移轉
RPRPMLSKIIIGFAE97DA,44,11.42,,鋼筋混凝土造,69年6月18日,十二層,,持分移轉
RPWOMLTJJIIGFEE88DA,41,6.55,,鋼筋混凝土造,71年11月9日,五層,一層,持分移轉
RPSNMLTJJIIGFCE18DA,29,58.81,住家用,鋼筋混凝土造,83年6月28日,十二層,三層 陽台,全筆移轉
RPSNMLTJJIIGFCE18DA,29,14.39,見使用執照,鋼筋混凝土造,83年6月28日,十二層,,持分移轉
RPPNMLNKJIIGFIE08EA,45,86.75,住家用,鋼筋混凝土造,68年4月20日,四層,四層,全筆移轉
RPOOMLNKJIIGFAE17DA,29,89.75,住家用,鋼筋混凝土造,84年5月6日,十二層,七層 陽台,全筆移轉
RPOOMLNKJIIGFAE17DA,29,23.41,見使用執照,鋼筋混凝土造,84年5月6日,十二層,,持分移轉
RPWQMLKKJIIGFFE38DA,34,23.53,住家用,鋼筋混凝土造,79年2月16日,六層,四層,全筆移轉
RPPNMLLKJIIGFCE17DA,7,53.03,集合住宅,鋼筋混凝土造,105年10月17日,十五層,六層 陽台,全筆移轉
RPPNMLLKJIIGFCE17DA,7,25.99,本共有部分之項目有防空避難室兼停車空間、車道、門廳兼梯廳、門廊、樓梯間、無障礙廁所盥洗室、儲藏室、管委會使用空間、垃圾儲存空間、機械室及水箱等１１項。,鋼筋混凝土造,105年10月17日,十五層,,持分移轉
RPPNMLOKJIIGFGE87DA,27,78.03,住家用,鋼筋混凝土造,85年6月20日,十一層,,全筆移轉
RPPNMLOKJIIGFGE87DA,27,20.53,共有部分,鋼筋混凝土造,85年6月20日,十一層,,持分移轉
RPWNMLRJJIIGFLE66DA,43,92.78,住宅、店鋪、儲藏室、梯間,加強磚造,69年7月11日,二層,,全筆移轉
RPPNMLPKJIIGFFE97EA,40,7.05,住家用,鋼筋混凝土造,72年5月13日,五層,,持分移轉
RPPNMLPKJIIGFFE97EA,40,83.08,住家用,鋼筋混凝土造,72年5月13日,五層,四層,全筆移轉
RPSNMLNKJIIGFGE18EA,41,78.63,住家用,加強磚造,72年1月27日,二層,,全筆移轉
RPRNMLNKJIIGFGE08EA,43,39.86,住家用,加強磚造,69年8月2日,二層,一層 二層,全筆移轉
RPVNMLQJJIIGFCE18DA,29,75.13,住家用,鋼筋混凝土造,84年1月26日,十六層,四層 陽台,全筆移轉
RPVNMLQJJIIGFCE18DA,29,22.46,見使用執照,鋼筋混凝土造,84年1月26日,十六層,,持分移轉
RPTNMLQJJIIGFFE28DA,29,66.46,住家用,鋼筋混凝土造,84年1月16日,七層,七層 陽台 花台,全筆移轉
