編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKQHIGFJE78CB,白雲段,4.07,都市：商,10000,170,持分移轉,02460000
RPPNMLOKQHIGFJE78CB,白雲段,8.45,都市：商,10000,170,持分移轉,02470000
RPPNMLMKQHIGFCE87CB,港墘段,26.20,都市：住,10000,888,持分移轉,01410000
RPPNMLNKQHIGFEE18CB,左屏段,8.12,都市：住,100000,281,持分移轉,00020000
RPRNMLPKQHIGFDE48CB,凱歌段,6.29,都市：其他:市場用地,1000000,2361,持分移轉,07750000
RPPNMLOKQHIGFEE28CB,左屏段,8.09,都市：住,100000,280,持分移轉,00020000
RPQNMLPKQHIGFDE38CB,凱歌段,8.61,都市：其他:市場用地,1000000,3232,持分移轉,07750000
RPPNMLPKQHIGFDE28CB,凱歌段,8.61,都市：其他:市場用地,1000000,3232,持分移轉,07750000
RPSNMLPKQHIGFEE68CB,芎蕉段,31.69,都市：住,100000,1668,持分移轉,02280000
RPUNMLPKQHIGFEE88CB,左屏段,9.01,都市：住,100000,312,持分移轉,00020000
RPRNMLPKQHIGFEE58CB,芎蕉段,21.92,都市：住,100000,1154,持分移轉,02280000
RPTNMLPKQHIGFEE78CB,楠都段四小段,9.50,都市：住,100000,193,持分移轉,00070000
RPSNMLPKQHIGFDE58CB,凱歌段,10.55,都市：其他:市場用地,1000000,3959,持分移轉,07750000
RPWNMLQKQHIGFEE56CB,援中段一小段,11.75,都市：住,100000,510,持分移轉,02700000
RPVNMLQKQHIGFEE09CB,援中段一小段,17.55,都市：住,100000,762,持分移轉,02700000
RPXNMLQKQHIGFEE66CB,援中段一小段,17.55,都市：住,100000,762,持分移轉,02700000
RPPOMLQKQHIGFEE58CB,援中段一小段,11.75,都市：住,100000,510,持分移轉,02700000
RPQOMLQKQHIGFEE68CB,援中段一小段,11.80,都市：住,100000,512,持分移轉,02700000
RPWNMLQKQHIGFFE66CB,後壁田段,11.58,都市：住,10000,11,持分移轉,03660000
RPQNMLPKQHIGFJE98CB,阿蓮段,83.00,都市：農,1,1,全筆移轉,24580002
RPQNMLPKQHIGFJE98CB,阿蓮段,35.86,都市：農,21,1,持分移轉,24580000
RPRNMLOKQHIGFGE68CB,過埤段,40.60,都市：住,100000,3083,持分移轉,08410000
RPQNMLOKQHIGFGE58CB,過埤段,40.60,都市：住,100000,3083,持分移轉,08410000
RPPNMLPKQHIGFBE08CB,林德官段一小段,2.36,都市：商,10000,176,持分移轉,25230000
RPPNMLPKQHIGFBE08CB,林德官段一小段,4.77,都市：商,10000,176,持分移轉,25250000
RPQNMLQKQHIGFIE98CB,澄觀段,24.27,都市：住,100000,799,持分移轉,01910000
RPQNMLPKQHIGFIE88CB,八德段,15.50,都市：住,100000,218,持分移轉,12520000
