鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路８５３號８樓,18.06,商,,,1120803,土地1建物1車位1,八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,178.14,4,2,2,有,有,有,40000,225,坡道平面,26.87,0,租賃範圍不含車位，且無法區分車位面積。；,RPPNMLLKQHIGFAE67CC,,,,,,
鼓山區,建物,高雄市鼓山區南屏路８５５號十三樓之２,0.0,商,,,1120730,土地0建物1車位1,十三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,165.13,3,2,2,有,有,有,30000,182,坡道平面,20.93,0,租金含管理費。,RPQNMLLKQHIGFAE77CC,,,,,,
鼓山區,房地(土地+建物),高雄市鼓山區明倫路１５５號四樓,8.09,商,,,1120804,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960131,91.9,2,1,1,有,有,有,16000,174,,0.0,0,,RPRNMLLKQHIGFAE87CC,,,,,,
鼓山區,建物,高雄市鼓山區龍勝路１４８號十一樓,0.0,商,,,1120730,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950809,96.49,2,1,1,有,有,有,15000,155,,0.0,0,,RPSNMLLKQHIGFAE97CC,,,,,,
鼓山區,建物,高雄市鼓山區華榮路２０１號四樓之１０,0.0,商,,,1120726,土地0建物1車位0,四層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850313,40.239999999999995,1,0,1,有,有,有,8500,211,,0.0,0,此為住宅及都市更新中心社會住宅包租代管計畫之物件，評定市價租金為9445元，選擇代管方案需打9折，實際租賃契約金額為8500元。水電費、瓦斯費由承租人負擔。,RPTNMLLKQHIGFAE08CC,,,,,,
鼓山區,建物,高雄市鼓山區昌盛路１０號五樓之２,0.0,商,,,1120801,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,92.53999999999999,3,2,2,有,有,有,19500,211,,0.0,0,此為住宅及都市更新中心社會住宅包租代管計畫之物件，評定市價租金為21667元，選擇代管方案需打9折，實際租賃契約金額為19500元。水電費、瓦斯費由承租人負擔。,RPUNMLLKQHIGFAE18CC,,,,,,
前金區,房地(土地+建物),高雄市前金區六合二路１０６號６樓之７,3.56,商,,,1120718,土地1建物1車位0,六層,26,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100702,68.32,2,2,1,有,有,有,21000,307,,0.0,0,,RPVNMLLKQHIGFAE28CC,,,,,,
前金區,房地(土地+建物),高雄市前金區自強二路３號１１樓之１,9.47,商,,,1120717,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960208,123.34,3,2,2,有,有,有,30000,243,,0.0,0,,RPWNMLLKQHIGFAE38CC,,,,,,
苓雅區,房地(土地+建物),高雄市苓雅區六合路１３７號,243.0,商,,,1120810,土地2建物1車位0,全,4,透天厝,商業用,鋼筋混凝土造,0860804,740.01,0,0,0,無,無,無,90000,122,,0.0,0,第四年調幅租金，每月94500元。,RPPNMLLKQHIGFBE77CC,,,,,,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區和平一路２９５號１１樓之１,8.2,商,,,1120718,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061110,124.46000000000001,3,2,2,有,有,有,30000,241,升降平面,8.2,0,,RPQNMLLKQHIGFBE87CC,,,,,,
苓雅區,建物,高雄市苓雅區四維三路２６３號９樓L室１-１６桌,0.0,商,,,1120803,土地0建物1車位0,九層,12,辦公商業大樓,,鋼筋混凝土造,0781109,7.87,0,0,0,無,有,無,2400,305,,0.0,0,9樓為整層屋主自行隔間出租續租。；,RPRNMLLKQHIGFBE97CC,,,,,,
