編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVPMLRJJIIGFBF48DA,嘉寶三段,217.89,都市：其他:保護區,104,6,持分移轉,05100000
RPVPMLRJJIIGFBF48DA,嘉寶三段,239.37,都市：其他:保護區,104,6,持分移轉,05110000
RPVPMLRJJIIGFBF48DA,嘉寶三段,239.40,都市：其他:保護區,104,6,持分移轉,05120000
RPQNMLSJJIIGFCF08EA,安和段,8.75,都市：其他:第三種住宅區。,15670,84,持分移轉,03750000
RPUOMLQJJIIGFHF78DA,中安段,10.32,都市：其他:住宅區,40,1,持分移轉,07180000
RPQOMLNJJIIGFDF67DA,汐碇段,609.72,非都市：山坡地保育區 ; 非都市編定：農牧用地,28,16,持分移轉,05640000
RPTNMLQJJIIGFAF97EA,府中段,5.20,都市：其他:道路用地,15000,2000,持分移轉,15130000
RPROMLQJJIIGFHF58EA,國道段,48.05,都市：其他:農業區,480,51,持分移轉,06030000
RPROMLQJJIIGFHF58EA,國道段,2.13,都市：其他:農業區,360,17,持分移轉,06040000
RPROMLQJJIIGFHF58EA,灰磘段,12.33,都市：其他:農業區,600,30,持分移轉,06930000
RPROMLQJJIIGFHF58EA,灰磘段,.31,都市：其他:農業區,200,10,持分移轉,06980000
RPROMLQJJIIGFHF58EA,灰磘段,2.91,都市：其他:農業區,200,10,持分移轉,07100000
RPROMLQJJIIGFHF58EA,灰磘段,154.49,都市：其他:農業區,40,2,持分移轉,07140000
RPROMLQJJIIGFHF58EA,灰磘段,4.85,都市：其他:農業區,40,2,持分移轉,07230000
RPROMLQJJIIGFHF58EA,灰磘段,12.98,都市：其他:農業區,360,17,持分移轉,07370000
RPQTMLLJJIIGFAF67DA,光仁段,6.83,都市：其他:住宅區,12000,999,持分移轉,17730000
RPPNMLTJJIIGFFF28DA,十分寮段五分寮小段,170.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01790000
RPPNMLLKJIIGFBF17DA,湖北段,90.98,都市：其他:農業區,1,1,全筆移轉,11200000
RPPNMLLKJIIGFBF17DA,湖北段,7.93,都市：其他:農業區,187600,3260,持分移轉,11260000
RPUNMLKKJIIGFCF67DA,莊敬段,.53,都市：其他:市場用地,10000,1,持分移轉,07850000
RPUNMLKKJIIGFCF67DA,莊敬段,.00,都市：其他:市場用地,10000,1,持分移轉,07850002
RPQOMLRJJIIGFIF58DA,國姓段,4.01,都市：其他:第一種住宅區,1,1,全筆移轉,09650000
RPXOMLSJJIIGFGF66EA,民權段,32.79,都市：其他:住宅區,100000,1484,持分移轉,04450000
RPOPMLSJJIIGFGF48EA,民權段,25.19,都市：其他:住宅區,100000,1140,持分移轉,04450000
RPRNMLTJJIIGFDF38EA,海洋段,47.53,都市：其他:住宅區,1,1,全筆移轉,05500000
RPUOMLSJJIIGFIF09DA,福德坑段,4.15,非都市：山坡地保育區 ; 非都市編定：農牧用地,48,1,持分移轉,06380001
RPUOMLSJJIIGFIF09DA,福德坑段,7.17,非都市：山坡地保育區 ; 非都市編定：農牧用地,48,1,持分移轉,06380002
RPUOMLSJJIIGFIF09DA,福德坑段,29.44,非都市：山坡地保育區 ; 非都市編定：農牧用地,48,1,持分移轉,06380003
RPUOMLSJJIIGFIF09DA,福德坑段,.44,非都市：山坡地保育區 ; 非都市編定：交通用地,48,1,持分移轉,06380005
RPUOMLSJJIIGFIF09DA,福德坑段,1.79,非都市：山坡地保育區 ; 非都市編定：農牧用地,48,1,持分移轉,06380009
RPUOMLSJJIIGFIF09DA,福德坑段,96.86,非都市：山坡地保育區 ; 非都市編定：農牧用地,96,1,持分移轉,11830002
RPUOMLSJJIIGFIF09DA,福德坑段,104.79,非都市：山坡地保育區 ; 非都市編定：農牧用地,48,1,持分移轉,12200000
RPUOMLSJJIIGFIF09DA,福德坑段,3.96,非都市：山坡地保育區 ; 非都市編定：交通用地,48,1,持分移轉,12200001
RPUOMLSJJIIGFIF09DA,福德坑段,.17,非都市：山坡地保育區 ; 非都市編定：農牧用地,48,1,持分移轉,12200002
RPQNMLTJJIIGFFF38DA,瑞芳段,19.90,都市：其他:乙種工業區,110,1,持分移轉,09650000
RPPNMLKKJIIGFFF47DA,朝陽段,434.93,都市：其他:農業區,1,1,全筆移轉,18310000
RPQNMLKKJIIGFFF57DA,朝陽段,996.75,都市：其他:農業區,1,1,全筆移轉,18190000
RPQNMLTJJIIGFFF38DA,瑞芳段,15.90,都市：其他:乙種工業區,110,1,持分移轉,09660000
RPPNMLOJJIIGFEF67DA,興仁段,13.45,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,105,1,持分移轉,06350000
RPWNMLNJJIIGFEF28DA,大湖段,1295.58,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10410000
RPWNMLNJJIIGFEF28DA,大湖段,1210.69,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10420000
RPWNMLNJJIIGFEF28DA,大湖段,240.30,非都市：山坡地保育區 ; 非都市編定：農牧用地,80,8,持分移轉,10600000
RPSOMLNKJIIGFHF38DA,華新段,6.78,都市：其他:住宅區,10000,70,持分移轉,06410000
RPQSMLRJJIIGFBF28DA,海山頭段三角子小段,6.61,都市：其他:第三種住宅區。,1800000,4288,持分移轉,00450004
RPRNMLOKJIIGFCF77DA,萬順寮段大坑外股小段,85.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,483,持分移轉,00730000
RPPNMLNKJIIGFDF67EA,福興段,.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1,持分移轉,13500000
RPPNMLNKJIIGFDF67EA,福興段,.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1,持分移轉,14680000
RPPNMLNKJIIGFDF67EA,福興段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1,持分移轉,15000000
RPSOMLRJJIIGFHF68DA,秀山段,2.29,都市：其他:住宅區,10000,159,持分移轉,01360001
RPUNMLRJJIIGFDF38DA,北山段,4.23,都市：其他:第二種住宅區,10000,66,持分移轉,00790000
RPTNMLNKJIIGFEF18EA,中興段,5.51,都市：其他:住宅區,100000,161,持分移轉,01730000
RPSNMLNKJIIGFEF08EA,下角段阿里磅小段,.10,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,18,持分移轉,08860002
RPRNMLRJJIIGFFF28DA,金瓜石段,90.00,非都市：特定專用區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,00010085
RPTOMLOKJIIGFDF18DA,江北段,24.87,都市：其他:第二種住宅區,10000,71,持分移轉,09130000
RPTQMLKKJIIGFBF77DA,富國段,4.97,都市：其他:住宅區,10000,17,持分移轉,05570000
RPPOMLNKJIIGFHF18EA,頂溪段,4.64,都市：其他:道路用地,288,5,持分移轉,06940000
RPPOMLNKJIIGFHF18EA,林森段,8.59,都市：其他:道路用地,1,1,全筆移轉,07250002
RPPOMLNKJIIGFHF18EA,林森段,10.19,都市：其他:道路用地,5,2,持分移轉,07350002
RPROMLNKJIIGFHF38EA,水源段,3.75,都市：其他:商業區,40,1,持分移轉,02260000
RPQOMLNKJIIGFHF28EA,安樂段,8.23,都市：其他:道路用地,5,2,持分移轉,10190000
RPXNMLOKJIIGFHF98EA,大新段,15.58,都市：其他:道路用地,1,1,全筆移轉,03180001
RPQNMLOKJIIGFHF28EA,安平段,.08,都市：其他:住宅區,1000000,100,持分移轉,08410000
RPOOMLOKJIIGFCF57DA,達觀段,.72,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,00500000
RPROMLNKJIIGFDF87DA,秀山段,12.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,392,1,持分移轉,02120000
RPSOMLPKJIIGFDF18DA,拱北段,24.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,417,持分移轉,13910000
RPSOMLPKJIIGFDF18DA,拱北段,1.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,417,持分移轉,13920000
RPVOMLNKJIIGFHF68DA,三民段,30.32,都市：其他:道路用地,100000,7660,持分移轉,09510001
RPOOMLOKJIIGFDF67DA,大同段,129.31,都市：其他:保護區,4,1,持分移轉,04820001
RPOOMLOKJIIGFDF67DA,大同段,14.94,都市：其他:保護區,4,1,持分移轉,04820002
RPSOMLOJJIIGFEF08DA,興化店段下田寮小段,250.11,都市：其他:道路用地,35,6,持分移轉,00770001
RPSOMLOJJIIGFEF08DA,興化店段下田寮小段,278.57,都市：其他:公園用地,35,6,持分移轉,00770006
RPQNMLOKJIIGFEF87DA,滬尾段,26.35,都市：其他:道路用地,800,65,持分移轉,00680000
RPQNMLOKJIIGFEF87DA,天生段,108.32,都市：其他:道路用地,1,1,全筆移轉,04700000
RPQNMLOKJIIGFEF87DA,新興段,33.14,都市：其他:道路用地,1,1,全筆移轉,07520000
RPTNMLPKJIIGFEF28DA,商港段,14.65,都市：其他:第三種商業區,100000,309,持分移轉,00100000
RPROMLLJJIIGFHF97DA,頂溪段,16.50,都市：其他:住宅區,16,8,持分移轉,01390000
RPRNMLPKJIIGFHF38DA,大新段,6.68,都市：其他:商業區,11000,115,持分移轉,03010000
RPPNMLPKJIIGFCF77EA,厚德岡坑段籐寮坑小段,905.00,都市：其他:保安保護區,1,1,全筆移轉,00270011
RPQNMLPKJIIGFCF87EA,崩山段崩山小段,9421.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,07980000
RPPTMLLJJIIGFAF57DA,大巒段,53.06,都市：其他:道路用地,3000,296,持分移轉,01430000
RPWOMLQJJIIGFAF38EA,江子翠段第二崁小段,.13,都市：其他:市場用地,10000,1,持分移轉,01040000
RPWOMLQJJIIGFAF38EA,江子翠段第三崁小段,.04,都市：其他:市場用地,14555,1,持分移轉,02090011
RPSPMLRJJIIGFBF18DA,力行段,19.63,都市：其他:第五種住宅區,10000,63,持分移轉,05100000
RPXNMLNKJIIGFEF48DA,鄧公段,4.69,都市：其他:住宅區,308100,482,持分移轉,06300000
RPQNMLNKJIIGFEF77DA,下罟段,13.24,都市：其他:農業區,45,1,持分移轉,01050000
RPQNMLNKJIIGFEF77DA,下罟段,95.38,都市：其他:農業區,6,1,持分移轉,01110000
RPWNMLOKJIIGFBF28EA,光華段,4.94,都市：其他:住宅區,100000,38,持分移轉,02270000
