編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLKKJIIGFCF67DA,坡道平面,2500000,45.74,地下二樓
RPXOMLSJJIIGFGF66EA,坡道平面,2200000,35.80,地下二樓
RPXOMLSJJIIGFGF66EA,坡道平面,2200000,35.80,地下二樓
RPXOMLSJJIIGFGF66EA,坡道平面,2200000,35.80,地下二樓
RPOPMLSJJIIGFGF48EA,坡道平面,0,35.80,地下三樓
RPPNMLNKJIIGFDF67EA,坡道平面,2000000,68.55,地下四樓
RPUNMLRJJIIGFDF38DA,升降平面,800000,21.30,地下一樓
RPTOMLOKJIIGFDF18DA,坡道平面,0,,地下三樓
RPQNMLOKJIIGFHF28EA,其他,1600000,15.95,無固定樓層
RPQPMLMJJIIGFAF37DA,坡道平面,3800000,53.44,地下四樓
RPOOMLOKJIIGFCF57DA,坡道平面,1000000,38.30,地下三樓
RPTNMLPKJIIGFEF28DA,坡道平面,1600000,33.06,地下二樓
RPWOMLQJJIIGFAF38EA,坡道平面,2000000,35.09,地下一樓
RPSPMLRJJIIGFBF18DA,坡道平面,0,15.25,地下二樓
RPPNMLPKJIIGFBF67EA,坡道平面,0,,地下三樓
RPTOMLNKJIIGFGF38DA,坡道平面,0,37.98,地下三樓
RPTOMLQKJIIGFEF48DA,坡道平面,0,35.74,地下二樓
RPTOMLQKJIIGFEF48DA,坡道平面,0,35.74,地下二樓
RPPNMLQKJIIGFDF97EA,坡道平面,1800000,64.96,地下四樓
RPUQMLLKJIIGFEF28DA,坡道平面,0,30.84,地下四樓
RPROMLQKJIIGFEF38EA,坡道平面,1650000,34.31,地下三樓
RPXPMLRKJIIGFBF78DA,坡道平面,1350000,48.15,地下二樓
RPQNMLQKJIIGFEF18EA,坡道平面,980000,22.11,地下二樓
RPRNMLRKJIIGFCF08DA,坡道平面,2100000,44.86,地下二樓
RPPOMLRKJIIGFCF97DA,坡道平面,2570000,31.37,地下一樓
RPXOMLLLJIIGFAF08DA,坡道機械,580000,20.51,地下一樓
RPQNMLQKJIIGFIF48DA,坡道平面,1565000,40.44,地下一樓
RPPNMLKLJIIGFGF77EA,坡道平面,0,15.52,地下二樓
RPXOMLKLJIIGFBF08DA,坡道平面,0,26.94,地下五樓含以下
