鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
林口區,房地(土地+建物)+車位,新北市林口區興林路151巷10號旁,20.56,商,,,1120811,土地1建物1車位2,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.06,2,2,2,有,無,14110000,142279,其他,31.46,2500000,,RPPNMLLKQHIGFBF77CB,川弘INSIGHT,A棟0號,
林口區,房地(土地+建物)+車位,新北市林口區忠孝路與民族路口,16.13,住,,,1120811,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.89,3,1,2,有,無,23330000,172714,坡道平面,24.97,2100000,,RPUOMLMKQHIGFBF48CB,CLASSY HOME,C6棟15號,
林口區,房地(土地+建物)+車位,新北市林口區忠孝路與民族路口,14.73,住,,,1120812,土地1建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.48,3,1,2,有,無,21020000,168163,坡道平面,24.97,2100000,,RPVOMLMKQHIGFBF58CB,CLASSY HOME,C9棟12號,
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段公司田段75.76.77號家樂福旁,15.07,住,,,1120812,土地3建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.41,2,2,1,有,無,10900000,106281,坡道平面,27.67,2000000,,RPRNMLMKQHIGFEF38CB,鉅陞ONE,C7棟02號,
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段公司田段75.76.77號家樂福旁,15.77,住,,,1120812,土地3建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.32,2,2,2,有,無,11690000,110553,坡道平面,27.67,2000000,,RPVNMLMKQHIGFEF78CB,鉅陞ONE,G1棟12號,
土城區,房地(土地+建物)+車位,新北市土城區中州路27巷,22.64,住,,,1120812,土地8建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.69,3,2,2,有,無,13860000,122577,塔式車位,10.04,1400000,,RPSNMLNKQHIGFAF18CB,頂埔綻,B棟4號,
土城區,房地(土地+建物)+車位,新北市土城區中州路27巷,22.68,住,,,1120813,土地8建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.74,3,2,2,有,無,14100000,124877,塔式車位,10.04,1400000,,RPTNMLNKQHIGFAF28CB,頂埔綻,A棟4號,
林口區,房地(土地+建物)+車位,新北市林口區忠孝路與民族路口,14.73,住,,,1120813,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.48,3,1,2,有,無,21170000,168163,坡道平面,24.97,2250000,,RPQNMLNKQHIGFBF08CB,CLASSY HOME,C9棟14號,
林口區,房地(土地+建物)+車位,新北市林口區南勢一街,24.95,住,,,1120812,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.26,2,2,1,有,無,12310000,137462,坡道平面,35.53,1900000,,RPUNMLNKQHIGFBF48CB,森鉅旭,A2棟5號,
林口區,房地(土地+建物)+車位,新北市林口區南勢一街,19.78,住,,,1120811,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.76,2,2,1,有,無,9970000,133986,坡道平面,35.53,1900000,,RPVNMLNKQHIGFBF58CB,森鉅旭,B5棟3號,
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路四段,17.06,商,,,1120813,土地5建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.5,3,2,2,有,無,35030000,223579,坡道平面,24.78,2450000,,RPVNMLOKQHIGFAF58CB,新潤River One,A5棟9F號,1121123全部解約
板橋區,房地(土地+建物),新北市板橋區環河西路四段,6.85,商,,,1120812,土地5建物1車位0,三層,24,辦公商業大樓,商業用,鋼筋混凝土造,,61.08,0,0,0,無,無,11880000,194499,,0.0,0,,RPXNMLOKQHIGFAF78CB,新潤River One,B15棟3F號,
新店區,房地(土地+建物)+車位,新北市新店區中山路,20.27,住,,,1120811,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.36,3,2,2,有,無,22500000,208592,坡道平面,25.76,2350000,此戶為漢吉建設股份有限公司出售本戶含露台約3.87坪,RPSNMLOKQHIGFCF48CB,漢皇吾岳,B棟C2/2F號,
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段公司田段75.76.77號家樂福旁,22.01,住,,,1120812,土地3建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.88,3,2,2,有,無,15800000,113646,坡道平面,26.57,1900000,,RPRNMLOKQHIGFEF58CB,鉅陞ONE,A3棟15號,
