編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNKQHIGFAF28CB,頂福段,2.98,都市：住,100000,6150,持分移轉,04940000
RPSNMLNKQHIGFAF18CB,頂福段,2.98,都市：住,100000,6140,持分移轉,04940000
RPTNMLNKQHIGFAF28CB,頂福段,2.85,都市：住,100000,6150,持分移轉,04950000
RPSNMLNKQHIGFAF18CB,頂福段,2.85,都市：住,100000,6140,持分移轉,04950000
RPTNMLNKQHIGFAF28CB,頂福段,3.00,都市：住,100000,6150,持分移轉,04960000
RPSNMLNKQHIGFAF18CB,頂福段,3.00,都市：住,100000,6140,持分移轉,04960000
RPTNMLNKQHIGFAF28CB,頂福段,1.69,都市：住,100000,6150,持分移轉,04970000
RPSNMLNKQHIGFAF18CB,頂福段,1.69,都市：住,100000,6140,持分移轉,04970000
RPTNMLNKQHIGFAF28CB,頂福段,2.98,都市：住,100000,6150,持分移轉,04980000
RPSNMLNKQHIGFAF18CB,頂福段,2.97,都市：住,100000,6140,持分移轉,04980000
RPTNMLNKQHIGFAF28CB,頂福段,5.79,都市：住,100000,6150,持分移轉,05010000
RPSNMLNKQHIGFAF18CB,頂福段,5.78,都市：住,100000,6140,持分移轉,05010000
RPTNMLNKQHIGFAF28CB,頂福段,2.60,都市：住,100000,6150,持分移轉,05020000
RPSNMLNKQHIGFAF18CB,頂福段,2.59,都市：住,100000,6140,持分移轉,05020000
RPTNMLNKQHIGFAF28CB,頂福段,.79,都市：住,100000,6150,持分移轉,01280010
RPSNMLNKQHIGFAF18CB,頂福段,.79,都市：住,100000,6140,持分移轉,01280010
RPVNMLOKQHIGFAF58CB,江翠段,3.35,都市：商,100000,615,持分移轉,01600000
RPVNMLOKQHIGFAF58CB,江翠段,3.26,都市：商,100000,615,持分移轉,01610000
RPVNMLOKQHIGFAF58CB,江翠段,4.34,都市：商,100000,615,持分移轉,01620000
RPVNMLOKQHIGFAF58CB,江翠段,1.81,都市：商,100000,615,持分移轉,01630000
RPVNMLOKQHIGFAF58CB,江翠段,4.31,都市：商,100000,615,持分移轉,01650000
RPVNMLMKQHIGFEF78CB,公司田段,10.40,都市：住,1000000,1665,持分移轉,00750000
