鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
板橋區,建物,新北市板橋區華江一路２９２號十七樓,0.0,住,,,1120731,土地0建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110914,151.09,3,2,2,有,有,有,40000,265,坡道平面,30.96,0,租金含管理費。,RPPNMLLKQHIGFAF77CC,,,,,,
板橋區,建物,新北市板橋區金門街３１巷１８號六樓,0.0,住,,,1120805,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871120,129.13,3,2,1,有,有,有,24700,191,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件，評定市價租金為27445元，選擇代管方案須打9折，實際租賃契約金額為24700元。水電瓦斯費及每月管理費1100元皆由承租人負擔。,RPQNMLLKQHIGFAF87CC,,,,,,
土城區,建物,新北市土城區中正路６８號五樓,0.0,住,,,1120811,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770106,104.79,4,2,2,有,無,有,23000,219,,0.0,0,,RPRNMLLKQHIGFAF97CC,,,,,,
板橋區,建物,新北市板橋區中正路３３０號１３樓,0.0,住,,,1120801,土地0建物1車位1,十三層,16,辦公商業大樓,辦公室,鋼筋混凝土造,0870121,546.43,0,0,0,無,有,無,157500,288,坡道平面,2.75,0,租金含稅。,RPSNMLLKQHIGFAF08CC,,,,,,
板橋區,建物,新北市板橋區幸福路３２巷２弄２４號３樓,0.0,住,,,1120731,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.46,3,2,2,有,無,有,18000,176,,0.0,0,續約。此物件加入新北市社會住宅包租代管計畫，評定市價租金為22500元，包租包管方案打八折為18000元，以18000元為簽訂租賃契約租金。,RPTNMLLKQHIGFAF18CC,,,,,,
土城區,建物,新北市土城區中央路一段１５６巷１號五樓,0.0,住,,,1120802,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720818,17.12,1,0,1,有,無,有,6000,350,,0.0,0,此為分租套房，第 5 層共分成 5 間，一間面積約為 17.12 平方公尺。 每月電費由承租人負擔。,RPUNMLLKQHIGFAF28CC,,,,,,
板橋區,建物,新北市板橋區民生路三段１６８號３樓,0.0,住,,,1120727,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,72.09,3,2,1,有,無,有,20000,277,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為22300，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額20000。,RPVNMLLKQHIGFAF38CC,,,,,,
泰山區,建物,新北市泰山區明志路二段２９８巷８弄１６號,0.0,住,,,1120730,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690501,90.3,3,2,1,有,無,有,17000,188,,0.0,0,含增建或未登記建物。；,RPPNMLLKQHIGFBF87CC,,,,,,
泰山區,建物,新北市泰山區全興路１８巷２８號四樓,0.0,住,,,1120801,土地0建物1車位1,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0991210,184.11,4,2,2,有,有,有,27000,147,塔式車位,14.94,0,租金含管理費。,RPQNMLLKQHIGFBF97CC,,,,,,
五股區,建物,新北市五股區自強路１４０巷７號３樓,0.0,住,,,1120805,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0911105,151.76999999999998,3,2,2,有,有,有,25000,165,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為27800，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額25000。管理費租賃期間無償,RPTNMLLKQHIGFBF28CC,,,,,,
新莊區,建物,新北市新莊區復興路二段１７５巷２弄６號２樓,0.0,住,,,1120725,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670604,77.9,2,1,1,有,無,有,17500,225,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為21900，因新北市計劃租金上限為35000，選擇代租方案須打八折且簽約租金無條件捨去至百分位，實際租賃契約金額17500。,RPUNMLLKQHIGFBF38CC,,,,,,
五股區,建物,新北市五股區成泰路三段５７７巷８０弄８３號四樓,0.0,住,,,1120801,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760921,100.12,3,2,2,有,無,有,25000,250,,0.0,0,本案屬國家住宅及都市更新中心辦理社會住宅包租代管第3期計劃,RPVNMLLKQHIGFBF48CC,,,,,,
林口區,建物,新北市林口區忠孝三路４７號十一樓,0.0,住,,,1120731,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950530,105.91999999999999,3,2,2,有,有,有,23000,217,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為25556元，選擇代租方案須打九折，實際租賃契約金額為23000元。水電費、瓦斯費、網路費及每月管理費2062元皆由承租人負擔。,RPWNMLLKQHIGFBF58CC,,,,,,
新莊區,建物,新北市新莊區化成路３１４巷２６號,0.0,工,,,1120801,土地0建物0車位0,全,2,透天厝,住工用,鋼筋混凝土造,0751201,9.44,1,0,0,有,無,有,4900,519,,0.0,0,此為雅房，面積約為 9.44 平方公尺。 電費及每月公共清潔費300元由承租人負擔。,RPXNMLLKQHIGFBF68CC,,,,,,
新莊區,建物,新北市新莊區化成路３１４巷２６號,0.0,工,,,1120802,土地0建物0車位0,全,2,透天厝,住工用,鋼筋混凝土造,0751201,10.68,1,0,0,有,無,有,4800,449,,0.0,0,此為雅房，面積約為 10.68平方公尺。 電費及每月公共清潔費300元由承租人負擔。,RPOOMLLKQHIGFBF87CC,,,,,,
新店區,建物,新北市新店區永安街６８巷６號４樓,0.0,住,,,1120729,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680330,69.74,3,2,1,有,無,有,15500,222,,0.0,0,,RPPNMLLKQHIGFCF97CC,,,,,,
深坑區,建物,新北市深坑區北深路三段９３巷５０號,0.0,工,,,1120810,土地0建物1車位0,見其他登記事項,3,廠辦,住工用,鋼筋混凝土造,0781207,1492.12,0,0,4,有,無,無,230000,154,,0.0,0,含稅含增建或未登記建物。；,RPRNMLLKQHIGFCF18CC,,,,,,
新店區,房地(土地+建物),新北市新店區北新路二段２５８號１２樓之７,2.9,其他,,,1120811,土地8建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951109,38.21,1,1,1,有,有,有,19500,510,,0.0,0,,RPSNMLLKQHIGFCF28CC,,,,,,
汐止區,建物,新北市汐止區建成路５７巷９號七樓,0.0,住,,,1120722,土地0建物1車位0,七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851029,73.14,2,1,1,有,有,有,22000,301,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為24445元，選擇代管方案須打9折，實際租賃契約金額為22000元。水電瓦斯費及每月管理費995元由承租人負擔。,RPPNMLLKQHIGFDF08CC,,,,,,
汐止區,建物,新北市汐止區樟樹一路１５１巷６號,0.0,住,,,1120730,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831231,103.78,3,2,2,有,有,有,26000,251,,0.0,0,含增建或未登記建物。；,RPRNMLLKQHIGFDF28CC,,,,,,
淡水區,建物,新北市淡水區新市三路二段２０１號五樓,0.0,商,,,1120807,土地0建物1車位0,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,92.22,2,2,1,有,有,有,11100,120,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為12334元，選擇代管方案須打9折，實際租賃契約金額為11100元。水電瓦斯費及每月管理費1895元由承租人負擔。,RPPNMLLKQHIGFEF18CC,,,,,,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段１２５號十二樓之２,6.72,住,,,1120801,土地1建物1車位1,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900302,106.66,2,2,1,有,有,有,21500,202,坡道機械,0.0,0,,RPQNMLLKQHIGFEF28CC,,,,,,
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段２３２號五樓,21.87,商,,,1120801,土地1建物1車位1,五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,152.93,3,2,2,有,有,有,20000,131,坡道機械,0.0,0,租賃範圍不含車位，且無法區分車位面積。；,RPRNMLLKQHIGFEF38CC,,,,,,
八里區,房地(土地+建物),新北市八里區中華路２段５３８-６號９樓,4.77,住,,,1120801,土地1建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840715,43.31,1,0,1,有,有,無,12500,289,,0.0,0,,RPTNMLLKQHIGFEF58CC,,,,,,
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段１４２號十九樓,16.16,其他,,,1120810,土地1建物1車位1,十九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051020,131.97,3,2,2,有,有,有,23000,174,坡道平面,29.19,0,租金含管理費,RPUNMLLKQHIGFEF68CC,,,,,,
淡水區,房地(土地+建物)+車位,新北市淡水區頂田寮路１５７號,324.77,,山坡地保育區,丙種建築用地,1120809,土地1建物1車位1,全,2,透天厝,住家用,鋼筋混凝土造,0701228,197.93,5,2,3,有,有,有,18200,92,一樓平面,0.0,0,,RPXNMLLKQHIGFEF98CC,,,,,,
淡水區,建物,新北市淡水區新市二路二段２號二樓,0.0,住,,,1120804,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040907,139.18,3,2,2,有,有,有,25000,180,,0.0,0,續約。此物件加入新北市社會住宅包租代管計畫，評定市價租金為27778元，代租代管方案打九折為25000元，以25000元為簽訂租賃契約租金。,RPOOMLLKQHIGFEF18CC,,,,,,
八里區,建物,新北市八里區龍米路一段２４６號４樓之１,0.0,住,,,1120805,土地0建物1車位0,四層,21,套房(1房1廳1衛),住家用,鋼筋混凝土造,0900605,66.45,1,1,1,有,有,有,13000,196,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為14500，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額13000。管理費租賃期間無償,RPPOMLLKQHIGFEF28CC,,,,,,
淡水區,房地(土地+建物),新北市淡水區水碓子１８２巷５弄３０號,21.66,住,,,1120809,土地1建物1車位0,一層,5,店面(店鋪),店舖．自用儲藏室,鋼筋混凝土造,0780310,90.43,0,0,0,無,有,無,40000,442,,0.0,0,新地址為：新北市淡水區北新路182巷5弄30號,RPROMLLKQHIGFEF48CC,,,,,,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段８３號１５樓之８,3.76,其他,,,1120811,土地1建物1車位1,十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0920922,63.629999999999995,1,1,1,有,有,有,16500,259,坡道機械,12.12,0,含管理費.此物件有其他公設.故統一入至建號2224內,RPSOMLLKQHIGFEF58CC,,,,,,
三重區,建物,新北市三重區中正北路２５巷１８-１５號４樓,0.0,住,,,1120810,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840809,54.9,2,1,1,有,有,有,23000,419,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為25600，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額23000。管理費每個月1140元,RPPNMLLKQHIGFGF38CC,,,,,,
蘆洲區,建物,新北市蘆洲區光榮路９７巷１７號四樓,0.0,住,,,1120728,土地0建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970619,179.71,3,2,2,有,有,有,38000,211,坡道平面,24.8,0,租金含管理費。,RPQNMLLKQHIGFGF48CC,,,,,,
三重區,建物,新北市三重區重新路４段２１４巷１號第２樓,0.0,住,,,1120810,土地0建物1車位0,二層,4,套房(1房1廳1衛),住家用,加強磚造,0651129,54.0,1,1,1,有,無,有,10000,185,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為12500，因新北市計劃租金上限為35000，選擇代租方案須打八折且簽約租金無條件捨去至百分位，實際租賃契約金額10000。,RPRNMLLKQHIGFGF58CC,,,,,,
三重區,建物,新北市三重區重新路４段２１４巷１號第３樓,0.0,住,,,1120810,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0651129,54.0,2,1,1,有,無,有,8000,148,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為10000，因新北市計劃租金上限為35000，選擇代租方案須打八折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為8000。,RPSNMLLKQHIGFGF68CC,,,,,,
