編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKQHIGFBF97CC,同興段,.00,都市：住,,,,00110000
RPPNMLLKQHIGFBF87CC,南林段,.00,都市：住,,,,04430000
RPTNMLLKQHIGFBF28CC,登林段,.00,都市：住,,,,06900000
RPRNMLLKQHIGFAF97CC,土城段,.00,都市：住,,,,00670000
RPUNMLLKQHIGFAF28CC,中華段,.00,都市：住,,,,09930000
RPQNMLLKQHIGFAF87CC,篤行段,.00,都市：住,,,,01590000
RPPNMLLKQHIGFAF77CC,江翠段,.00,都市：住,,,,00720000
RPSNMLLKQHIGFAF08CC,大庭段,.00,都市：住,,,,01740001
RPVNMLLKQHIGFAF38CC,江子翠段新埔小段,.00,都市：住,,,,00030006
RPTNMLLKQHIGFAF18CC,公館段,.00,都市：住,,,,14560000
RPVNMLLKQHIGFBF48CC,成蘆段,.00,都市：其他:第四種保護區,,,,09490000
RPWNMLLKQHIGFBF58CC,建林段,.00,都市：住,,,,04130000
RPUNMLLKQHIGFBF38CC,思源段,.00,都市：住,,,,00510000
RPVNMLLKQHIGFBF48CC,成蘆段,.00,都市：住,,,,09490001
RPXNMLLKQHIGFBF68CC,幸福段,.00,都市：工,,,,07290000
RPOOMLLKQHIGFBF87CC,幸福段,.00,都市：工,,,,07290000
RPRNMLLKQHIGFDF28CC,厚德段,.00,都市：住,,,,02320000
RPPNMLLKQHIGFDF08CC,建成段,.00,都市：住,,,,07690000
RPPNMLLKQHIGFEF18CC,新市段,.00,都市：商,,,,01410000
RPRNMLLKQHIGFEF38CC,新市段,21.87,都市：商,,,,01450001
RPTNMLLKQHIGFEF58CC,中山段,4.77,都市：住,,,,17230000
RPQNMLLKQHIGFEF28CC,水仙段,6.72,都市：住,,,,03190000
RPUNMLLKQHIGFEF68CC,公司田段,16.16,都市：其他:第五種住宅區,,,,01880000
RPXNMLLKQHIGFEF98CC,興仁段,324.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,10590000
RPOOMLLKQHIGFEF18CC,淡海段,.00,都市：住,,,,00810000
RPSOMLLKQHIGFEF58CC,海天段,.02,都市：其他:住宅區(三),,,,06420000
RPSOMLLKQHIGFEF58CC,海天段,.00,都市：其他:道路用地,,,,06420003
RPSOMLLKQHIGFEF58CC,海天段,3.48,都市：其他:商業區(一),,,,06530000
RPSOMLLKQHIGFEF58CC,海天段,.25,都市：其他:道路用地,,,,06530004
RPSOMLLKQHIGFEF58CC,海天段,.01,都市：其他:商業區(一),,,,06530005
RPPNMLLKQHIGFCF97CC,新和段,.00,都市：住,,,,03690000
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：工,,,,03140001
RPROMLLKQHIGFEF48CC,中興段,21.66,都市：住,,,,01510000
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：工,,,,03150000
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：其他:道路用地,,,,03150002
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：其他:道路用地,,,,03150003
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：其他:道路用地,,,,03150004
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：工,,,,03390000
RPPOMLLKQHIGFEF28CC,龍米段,.00,都市：住,,,,24320000
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：工,,,,03410000
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：其他:道路用地,,,,03410001
RPRNMLLKQHIGFCF18CC,永安段,.00,都市：工,,,,03420000
RPSNMLLKQHIGFCF28CC,寶強段,.02,都市：住,,,,10660000
RPSNMLLKQHIGFCF28CC,寶強段,2.84,都市：其他:捷運系統用地,,,,10680000
RPSNMLLKQHIGFCF28CC,寶強段,.00,都市：其他:道路用地,,,,10680002
RPSNMLLKQHIGFCF28CC,寶強段,.00,都市：住,,,,10820000
RPSNMLLKQHIGFCF28CC,寶強段,.00,都市：住,,,,11260000
RPSNMLLKQHIGFCF28CC,寶強段,.00,都市：商,,,,11330000
RPSNMLLKQHIGFCF28CC,寶強段,.03,都市：商,,,,12070000
RPSNMLLKQHIGFCF28CC,寶強段,.01,都市：商,,,,12200000
RPPNMLLKQHIGFHF48CC,民利段,.00,都市：住,,,,06530000
RPQNMLLKQHIGFHF58CC,大智段,.00,都市：住,,,,08440000
RPSNMLLKQHIGFHF78CC,福和段,.00,都市：商,,,,09240000
RPWNMLLKQHIGFGF09CC,幸福段,.00,都市：住,,,,07810000
RPOOMLLKQHIGFGF38CC,九芎段,.00,都市：工,,,,03560000
RPQNMLLKQHIGFGF48CC,正義段,.00,都市：住,,,,01900000
RPVNMLLKQHIGFGF98CC,富貴段,.00,都市：住,,,,05770000
RPPNMLLKQHIGFGF38CC,大仁段,.00,都市：住,,,,07610000
RPRNMLLKQHIGFGF58CC,重新段壹小段,.00,都市：住,,,,00560029
RPSNMLLKQHIGFGF68CC,重新段壹小段,.00,都市：住,,,,00560029
RPXNMLLKQHIGFGF56CC,光興段,5.92,都市：其他:捷運系統用地,,,,00110000
RPPOMLLKQHIGFGF48CC,大同南段,.00,都市：住,,,,03370000
RPRNMLMKQHIGFDF38CC,建成段,.00,都市：住,,,,07090000
RPRNMLMKQHIGFDF38CC,建成段,.00,都市：商,,,,05980000
RPPNMLMKQHIGFDF18CC,智興段,.00,都市：商,,,,04410000
RPQNMLMKQHIGFEF38CC,沙崙段,32.09,都市：住,,,,04020000
RPQNMLMKQHIGFAF97CC,新興段,.00,都市：商,,,,05960000
RPPNMLMKQHIGFHF58CC,民樂段,.00,都市：商,,,,08590000
RPQNMLMKQHIGFDF28CC,智興段,.00,都市：商,,,,04410000
RPPNMLNKQHIGFBF08CC,芳洲段,.00,都市：商,,,,00780000
RPQNMLNKQHIGFBF18CC,南林段,.00,都市：住,,,,05220000
RPQNMLNKQHIGFDF38CC,水源段,1.95,都市：住,,,,09920000
RPQNMLNKQHIGFDF38CC,水源段,.00,都市：其他:保護區,,,,09920001
RPPNMLNKQHIGFDF28CC,保安段,.91,都市：住,,,,00150000
RPPNMLNKQHIGFDF28CC,崇德段,118.01,都市：住,,,,00010000
RPRNMLNKQHIGFDF48CC,水源段,4.68,都市：住,,,,09920000
RPRNMLNKQHIGFDF48CC,水源段,.00,都市：其他:保護區,,,,09920001
RPSNMLNKQHIGFBF38CC,陸光段,.00,都市：住,,,,03980000
RPRNMLNKQHIGFBF28CC,五股段,.00,都市：住,,,,08000000
RPRNMLNKQHIGFBF28CC,五股段,.00,都市：住,,,,08010000
RPRNMLNKQHIGFBF28CC,五股段,.00,都市：工,,,,08020000
RPRNMLNKQHIGFBF28CC,五股段,.00,都市：工,,,,08040000
RPSNMLNKQHIGFDF58CC,水源段,.14,都市：住,,,,10660000
RPSNMLNKQHIGFDF58CC,水源段,10.98,都市：住,,,,10700000
RPPNMLNKQHIGFEF38CC,新市段,22.00,都市：住,,,,00250000
RPPNMLNKQHIGFHF68CC,南山段,.00,都市：住,,,,02750000
RPPNMLNKQHIGFGF58CC,保佑段,.00,都市：住,,,,04020000
RPQNMLNKQHIGFHF78CC,南山段,.00,都市：住,,,,02750000
RPPNMLOKQHIGFAF08CC,文化段,.00,都市：住,,,,05150000
RPPNMLOKQHIGFAF08CC,文化段,.00,都市：住,,,,05280000
RPQNMLOKQHIGFBF28CC,副都心段一小段,.00,都市：住,,,,03290000
RPVNMLOKQHIGFAF68CC,江子翠段溪頭小段,.00,都市：商,,,,01350005
RPTNMLOKQHIGFAF48CC,民族段,.00,都市：住,,,,07520001
RPQNMLOKQHIGFAF18CC,大庭段,.00,都市：住,,,,02950004
RPSNMLLKQHIGFDF48DC,新峰段,2.09,都市：住,,,,01190000
RPPNMLOKQHIGFCF28CC,寶橋段,.00,都市：工,,,,04510000
RPQNMLLKQHIGFIF68CC,大安段,166.36,都市：工,,,,07080000
RPRNMLLKQHIGFIF78CC,太平段,.00,都市：住,,,,09130000
RPTNMLLKQHIGFIF98CC,佳園段,.00,都市：住,,,,06990000
RPQNMLOKQHIGFCF38CC,斯馨段,.00,都市：住,,,,00020000
RPRNMLOKQHIGFCF48CC,秀水段,.00,都市：住,,,,10970000
RPTNMLOKQHIGFCF68CC,復興段,51.31,都市：工,,,,03730000
RPSNMLOKQHIGFCF58CC,明德段,380.23,都市：住,,,,02990000
RPUNMLOKQHIGFCF78CC,民安段,.00,都市：住,,,,03530000
RPVNMLOKQHIGFCF88CC,民安段,.00,都市：住,,,,03230000
RPPNMLOKQHIGFEF48CC,鄧公段,29.22,都市：住,,,,02400000
RPQNMLOKQHIGFEF58CC,新興段,.00,都市：住,,,,08280000
RPWNMLOKQHIGFBF88CC,登林段,.00,都市：住,,,,13460000
RPWNMLOKQHIGFBF88CC,登林段,.00,都市：其他:部分住宅區部分道路用地,,,,13190000
RPSNMLOKQHIGFBF48CC,登林段,.00,都市：住,,,,09470000
RPXNMLOKQHIGFBF98CC,榮富段,4071.96,都市：住,,,,06380000
RPVNMLOKQHIGFBF78CC,石德段,.00,都市：住,,,,00150000
RPOOMLOKQHIGFBF18CC,和平段,.00,都市：住,,,,00010000
RPUNMLOKQHIGFBF68CC,新樹段,.00,都市：商,,,,05670001
RPXNMLOKQHIGFEF66CC,新市段,7.74,都市：商,,,,01450000
RPTNMLOKQHIGFEF88CC,海鷗段,.00,都市：商,,,,09950000
RPUNMLOKQHIGFEF98CC,新市段,8.13,都市：其他:第三之一種中心商業區,,,,01410000
RPOOMLOKQHIGFEF48CC,大義段,.00,都市：商,,,,06040000
RPOOMLOKQHIGFEF48CC,大義段,.00,都市：其他:道路用地,,,,06040001
