編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLOKJIIGFBG97EA,26,33.32,住家用,鋼筋混凝土造,86年5月13日,六層,六層,全筆移轉
RPSNMLOKJIIGFBG97EA,26,11.00,共有部份,鋼筋混凝土造,86年5月13日,六層,,持分移轉
RPSNMLOKJIIGFBG97EA,26,7.47,共有部份,鋼筋混凝土造,86年5月13日,六層,,持分移轉
RPOOMLQJJIIGFBG67DA,40,71.30,住家用,鋼筋混凝土造,72年10月7日,五層,五層 陽台,全筆移轉
RPOOMLQJJIIGFBG67DA,40,12.13,共有部份,鋼筋混凝土造,72年10月7日,五層,,持分移轉
RPPNMLQKJIIGFAG67DA,44,96.60,住家用,鋼筋混凝土加強磚造,69年1月16日,二層,一層 二層 騎樓,全筆移轉
RPQOMLPKJIIGFAG77DA,35,7.15,樓梯　,鋼筋混凝土造,77年11月11日,五層,,持分移轉
RPQOMLPKJIIGFAG77DA,35,15.66,防空避難室,鋼筋混凝土造,77年11月11日,五層,,持分移轉
RPQOMLPKJIIGFAG77DA,35,109.34,住家用,鋼筋混凝土造,77年11月11日,五層,三層,全筆移轉
RPQOMLPKJIIGFAG77DA,35,3.19,門廳,鋼筋混凝土造,77年11月11日,五層,,持分移轉
RPROMLNKJIIGFAG67DA,12,78.75,農舍,鋼筋混凝土造,100年9月9日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPSOMLQKJIIGFBG18DA,8,160.59,停車空間、住宅,鋼筋混凝土造,105年2月2日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSOMLQKJIIGFBG18DA,8,.42,管理員室,鋼筋混凝土造,105年2月2日,一層,一層,持分移轉
RPPNMLKKJIIGFBG27EA,29,46.38,住家用,鋼筋混凝土造,84年1月27日,七層,二層 陽台,全筆移轉
RPPNMLKKJIIGFBG27EA,29,.72,共有部份,鋼筋混凝土造,84年1月27日,七層,,持分移轉
