編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLOKJIIGFBG97EA,協天段,11.28,都市：其他:住宅區,10000,241,持分移轉,03590000
RPPOMLPKJIIGFAG67DA,雙賢一段,467.09,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01530000
RPPNMLNKJIIGFBG57EA,艮門一段,3.97,都市：其他:住宅區,1,1,全筆移轉,04530000
RPOOMLQJJIIGFBG67DA,五峰段,15.66,都市：其他:住宅區,5,1,持分移轉,13560000
RPOOMLQJJIIGFBG67DA,五峰段,9.67,都市：其他:住宅區,158,2,持分移轉,13650000
RPUOMLTJJIIGFAG48DA,錦草段,560.23,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02770003
RPROMLQJJIIGFBG97DA,功勞段,110.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,32,4,持分移轉,11210000
RPPNMLQKJIIGFAG67DA,利福段,78.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00260000
RPQOMLPKJIIGFAG77DA,南安段,32.00,都市：其他:商業區,906,32,持分移轉,07430000
RPROMLNKJIIGFAG67DA,水源段,375.00,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,00400000
RPSOMLQKJIIGFBG18DA,白玉段,16.68,非都市：特定農業區 ; 非都市編定：農牧用地,10000,215,持分移轉,00150001
RPSOMLQKJIIGFBG18DA,白玉段,15.63,非都市：特定農業區 ; 非都市編定：農牧用地,10000,203,持分移轉,00170000
RPSOMLQKJIIGFBG18DA,白玉段,5.63,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,215,持分移轉,00220000
RPSOMLQKJIIGFBG18DA,白玉段,56.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00220016
RPSOMLQKJIIGFBG18DA,白玉段,40.63,非都市：特定農業區 ; 非都市編定：農牧用地,10000,215,持分移轉,00230000
RPSOMLQKJIIGFBG18DA,白玉段,3.55,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,215,持分移轉,00240000
RPSOMLQKJIIGFBG18DA,白玉段,18.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,215,持分移轉,00240015
RPPNMLKKJIIGFBG27EA,義結段,11.11,都市：其他:住宅區,340000,3330,持分移轉,01540000
RPTOMLKLJIIGFAG67DA,南昌段,7.10,都市：其他:住宅區,10000,602,持分移轉,12520000
RPTOMLKLJIIGFAG67DA,南昌段,7.77,都市：其他:住宅區,10000,602,持分移轉,12530000
RPPPMLOKJIIGFAG67DA,南昌段,15.90,都市：其他:住宅區,10,1,持分移轉,08080000
RPPPMLOKJIIGFAG67DA,南昌段,2.70,都市：其他:住宅區,10,1,持分移轉,08090006
RPPPMLOKJIIGFAG67DA,南昌段,10.20,都市：其他:住宅區,10,1,持分移轉,08170002
RPROMLKLJIIGFAG47DA,季新段,57.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,236,持分移轉,04200000
RPRNMLTJJIIGFBG18DA,乾門一段,57.36,都市：其他:住宅區,1,1,全筆移轉,09070000
RPPNMLKLJIIGFBG37EA,女中段,5.42,都市：其他:道路用地,1,1,全筆移轉,07160000
RPPNMLKLJIIGFBG37EA,女中段,7.55,都市：其他:道路用地,1,1,全筆移轉,07180000
RPPNMLKLJIIGFBG37EA,女中段,7.26,都市：其他:道路用地,1,1,全筆移轉,07210000
RPOOMLKKJIIGFBG17DA,五權段,73.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07820002
RPPOMLQKJIIGFBG87DA,巽門一段,43.81,都市：其他:商業區,10000,444,持分移轉,06570000
RPPNMLQKJIIGFBG77DA,宜興段,23.33,都市：其他:商業區,6,2,持分移轉,09330000
RPROMLQKJIIGFBG08DA,梅洲新段,3371.61,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05570002
RPVNMLQKJIIGFBG38DA,新三泰段,93.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00950000
RPROMLQKJIIGFBG08DA,梅洲新段,4.64,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05570003
RPROMLQKJIIGFBG08DA,梅洲新段,108.07,非都市：工業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05570004
RPROMLQKJIIGFBG08DA,梅洲新段,19.76,非都市：工業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05570005
RPOOMLMLJIIGFAG37DA,桕腳廍段,671.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02540000
RPQNMLNKJIIGFBG57DA,中興段,408.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00670000
RPQNMLOLJIIGFAG67DA,東安段,7.40,都市：其他:住宅區,20970,74,持分移轉,06940000
RPQNMLOLJIIGFAG67DA,東安段,.30,都市：其他:住宅區,930,3,持分移轉,06960001
RPPNMLOLJIIGFBG67DA,協天段,23.41,都市：其他:住宅區,10000,288,持分移轉,08600000
RPPNMLOLJIIGFBG77EA,新竹安段,666.13,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,07030000
SPPNMLOLJIIGFBG87EA,新竹安段,26.20,非都市：一般農業區 ; 非都市編定：甲種建築用地,6,1,持分移轉,07040000
