編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPROMLKLJIIGFAG47DA,坡道平面,0,,地下一樓
RPXNMLRLJIIGFBG78DA,坡道平面,0,,地下一樓
RPOOMLRLJIIGFBG97DA,升降機械,300000,,地下一樓
RPWOMLRLJIIGFAG68DA,一樓平面,0,,一樓
RPROMLSLJIIGFBG38DA,一樓平面,1300000,28.81,一樓
RPOOMLTLJIIGFBG18DA,一樓平面,0,,一樓
RPROMLOJKIIGFBG87DA,坡道平面,0,,地下一樓
RPQNMLOJKIIGFAG67EA,一樓平面,0,,一樓
RPQNMLOJKIIGFAG67EA,一樓平面,0,,一樓
RPWNMLOKJIIGFAG18DA,一樓平面,0,,一樓
RPQOMLRLIIIGFBG08DA,坡道平面,0,,地下一樓
RPOOMLMKIIIGFAG17DA,一樓平面,0,,一樓
RPQNMLLMIIIGFAG47EA,坡道平面,0,,地下二樓
RPQRMLPLIIIGFAG08DA,一樓平面,0,,一樓
RPPNMLMJJIIGFBG27DA,坡道機械,0,,地下一樓
RPVNMLLMIIIGFBG97DA,坡道平面,1050000,24.88,地下二樓
RPRRMLPLIIIGFAG18DA,坡道平面,0,,地下一樓
RPQPMLOLIIIGFAG77DA,坡道平面,0,,地下一樓
RPUOMLQJJIIGFAG18DA,坡道平面,0,,地下二樓
RPROMLNJJIIGFBG67DA,一樓平面,0,,一樓
RPSOMLNJJIIGFBG77DA,一樓平面,0,,一樓
RPRNMLRKIIIGFAG87DA,坡道平面,0,,地下一樓
RPVNMLKKJIIGFBG77DA,坡道平面,0,,地下一樓
RPROMLNJJIIGFAG57DA,坡道平面,0,,地下一樓
RPWNMLKKJIIGFBG87DA,坡道平面,0,,地下一樓
RPTNMLKKJIIGFBG67EA,坡道平面,1330000,33.69,地下二樓
RPVOMLRLIIIGFAG48DA,坡道平面,0,,地下二樓
RPVNMLNKJIIGFAG97DA,升降機械,0,,地下二樓
RPVNMLOKJIIGFAG08DA,坡道機械,0,,地下一樓
RPPNMLKKJIIGFBG17DA,坡道平面,0,,地下二樓
RPXNMLQKJIIGFBG58DA,坡道平面,1150000,,地下二樓
RPPNMLQKJIIGFBG87EA,坡道平面,1330000,33.69,地下二樓
RPPQMLQKJIIGFAG97DA,坡道平面,0,,地下一樓
RPTNMLPKJIIGFBG08DA,一樓平面,0,,一樓
RPTPMLQKJIIGFAG28DA,坡道平面,0,,地下一樓
RPUNMLRKJIIGFBG38DA,一樓平面,0,,一樓
RPUNMLOLIIIGFBG08DA,其他,0,,一樓
RPROMLTJJIIGFBG28DA,一樓平面,0,,一樓
RPWNMLRKJIIGFBG58DA,一樓平面,0,,一樓
RPOOMLRKJIIGFBG87DA,一樓平面,0,,一樓
RPSNMLRKJIIGFAG08DA,一樓平面,1000000,,一樓
RPRNMLKLJIIGFBG57EA,一樓平面,0,,一樓
RPPNMLOKIIIGFAG37DA,坡道平面,0,,地下一樓
RPXNMLRJJIIGFBG58DA,坡道平面,1100000,24.88,地下一樓
RPPNMLKLJIIGFBG27DA,坡道平面,0,,地下二樓
RPUNMLMLJIIGFAG87DA,坡道平面,0,,一樓
RPROMLQJJIIGFAG87DA,坡道平面,0,,地下一樓
RPOOMLRLIIIGFBG87DA,坡道平面,0,,地下二樓
RPRNMLOLJIIGFAG77DA,坡道平面,0,,地下一樓
RPQOMLNLJIIGFAG67DA,坡道平面,0,,地下一樓
RPPNMLLJJIIGFAG07DA,坡道平面,0,,地下一樓
RPQNMLTJJIIGFAG97DA,一樓平面,0,,一樓
RPVOMLLJJIIGFAG77DA,坡道平面,0,,地下二樓
RPVOMLRLJIIGFBG68DA,一樓平面,0,,一樓
RPQOMLSLJIIGFAG18DA,升降機械,0,,地下一樓
RPPSMLMLJIIGFBG97DA,坡道平面,0,,地下二樓
RPQOMLTJJIIGFBG18DA,坡道機械,0,,地下一樓
RPOOMLTKRHIGFBG78DA,坡道平面,1000000,38.83,地下一樓
RPSNMLKLRHIGFBG28DA,坡道平面,688000,,地下三樓
RPTNMLKLRHIGFBG38DA,坡道平面,688000,,地下三樓
RPRNMLSKRHIGFBG98EA,坡道平面,800000,7.89,地下一樓
RPROMLKLRHIGFBG28DA,一樓平面,0,,一樓
RPQOMLKLRHIGFBG18DA,坡道平面,0,37.68,地下二樓
RPUNMLTKRHIGFBG66DA,升降機械,0,,地下一樓
RPPNMLMJIIIGFBG17DA,坡道平面,0,,無固定樓層
RPVNMLTKRHIGFBG76DA,升降機械,0,,地下一樓
RPSNMLNJIIIGFBG57DA,一樓平面,0,,一樓
RPRNMLLKIIIGFBG47EA,坡道平面,1430000,33.69,地下一樓
RPSNMLLKIIIGFBG57EA,坡道平面,1430000,33.69,地下一樓
RPTNMLLKIIIGFBG67EA,坡道平面,1330000,33.69,地下二樓
RPQNMLKLRHIGFBG08DA,坡道平面,0,,地下一樓
RPXNMLLKIIIGFBG97DA,坡道平面,0,,地下二樓
RPPNMLRKIIIGFAG67DA,一樓平面,900000,,一樓
RPROMLNKIIIGFAG57DA,升降機械,0,,地下一樓
RPROMLMLRHIGFBG48DA,坡道平面,1050000,24.88,地下二樓
RPRNMLOKRHIGFBG48DA,坡道平面,0,13.75,地下一樓
RPTNMLNKIIIGFBG77DA,坡道平面,0,,地下一樓
RPTNMLKLRHIGFAG28DA,坡道平面,0,,地下二樓
RPROMLLKIIIGFBG47DA,坡道平面,0,,地下一樓
RPRNMLQKIIIGFBG97EA,坡道平面,1330000,33.69,地下二樓
RPWNMLMKIIIGFAG87DA,坡道平面,0,60.00,地下一樓
RPQNMLQKIIIGFBG77DA,一樓平面,0,,一樓
RPPNMLKLIIIGFAG07DA,一樓平面,1000000,,一樓
RPVNMLNLIIIGFAG97DA,一樓平面,0,,一樓
RPRNMLKLIIIGFBG37DA,坡道平面,0,,地下二樓
RPVNMLKLIIIGFBG77DA,坡道平面,0,,地下二樓
RPVNMLTKIIIGFAG48DA,一樓平面,600000,,一樓
RPSOMLSKIIIGFAG18DA,坡道平面,0,19.47,一樓
RPRNMLNLIIIGFAG67EA,坡道平面,0,,地下一樓
RPVNMLPLIIIGFBG28DA,一樓平面,0,,一樓
RPSNMLLLIIIGFAG47DA,一樓平面,0,,一樓
RPTOMLOLIIIGFAG97DA,一樓平面,0,19.47,一樓
RPSRMLPLIIIGFAG28DA,一樓平面,1550000,24.78,一樓
RPRNMLQLIIIGFAG87DA,坡道平面,0,,地下一樓
