編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLOKQHIGFAG28CB,一樓平面,0,,一樓
RPPNMLPKQHIGFAG18CB,一樓平面,0,,一樓
RPQNMLRKQHIGFBG68DB,坡道平面,1180000,32.62,地下一樓
RPQNMLLLQHIGFAG97CB,坡道平面,1300000,30.51,地下二樓
RPSNMLLLQHIGFAG18CB,坡道平面,1300000,30.51,地下二樓
RPSNMLLLQHIGFAG18CB,坡道平面,1300000,30.51,地下二樓
RPRNMLLLQHIGFAG08CB,坡道平面,1300000,30.51,地下二樓
RPRNMLLLQHIGFAG08CB,坡道平面,1300000,30.51,地下二樓
RPUNMLLLQHIGFAG38CB,一樓平面,0,16.00,一樓
RPQNMLOLQHIGFAG28CB,一樓平面,550000,13.17,一樓
RPSNMLTKQHIGFBG98CB,坡道平面,1100000,33.62,二樓含以上
RPPQMLLLQHIGFBG28CB,一樓平面,0,15.99,一樓
RPRNMLTKQHIGFBG88CB,一樓平面,1200000,33.62,一樓
RPVNMLRKQHIGFBG09CB,坡道平面,1400000,23.00,地下一樓
RPQNMLNLQHIGFBG28CB,一樓平面,0,26.30,一樓
RPVNMLSLQHIGFAG56CB,一樓平面,0,,一樓
RPRNMLTLQHIGFAG88CB,坡道平面,1300000,30.51,地下二樓
RPUNMLTLQHIGFAG56CB,坡道平面,1200000,27.73,地下二樓
RPSNMLTLQHIGFAG98CB,坡道平面,1200000,27.73,地下二樓
RPWNMLKMQHIGFAG58CB,坡道平面,1000000,26.19,地下一樓
RPPNMLSLQHIGFBG68CB,一樓平面,0,13.75,一樓
RPTNMLSLQHIGFBG09CB,坡道平面,1200000,26.55,地下一樓
RPRNMLSLQHIGFBG88CB,坡道平面,1350000,27.50,地下一樓
RPQNMLSLQHIGFBG78CB,一樓平面,0,13.75,一樓
RPTNMLOJRHIGFBG58CB,一樓平面,0,16.66,一樓
RPQNMLOJRHIGFAG28DB,一樓平面,700000,15.27,一樓
RPQNMLPJRHIGFBG38CB,一樓平面,0,16.66,一樓
RPSNMLLJRHIGFAG08CB,一樓平面,550000,14.87,一樓
RPSOMLRJRHIGFAG78CB,坡道平面,1300000,30.51,地下二樓
RPQOMLRJRHIGFAG58CB,一樓平面,0,,一樓
RPRNMLSJRHIGFAG68CB,坡道平面,1450000,30.51,地下一樓
RPQNMLSJRHIGFAG58CB,一樓平面,0,,一樓
RPSNMLSJRHIGFAG78CB,坡道平面,1350000,27.73,地下一樓
RPSNMLSJRHIGFAG78CB,坡道平面,1450000,30.51,地下一樓
RPPNMLRJRHIGFBG48CB,坡道平面,1400000,27.50,地下一樓
RPPNMLRJRHIGFBG48CB,坡道平面,1400000,27.50,地下一樓
RPSOMLSJRHIGFAG88CB,一樓平面,0,11.57,一樓
RPQOMLSJRHIGFAG68CB,一樓平面,0,11.57,一樓
RPPOMLSJRHIGFAG58CB,一樓平面,0,11.57,一樓
RPROMLSJRHIGFAG78CB,一樓平面,0,11.57,一樓
RPOOMLSJRHIGFAG48CB,一樓平面,0,11.57,一樓
RPRNMLPJRHIGFBG48CB,一樓平面,0,16.66,一樓
RPUOMLSJRHIGFAG09CB,一樓平面,0,11.57,一樓
RPVOMLSJRHIGFAG56CB,一樓平面,0,11.57,一樓
RPTOMLSJRHIGFAG98CB,一樓平面,0,11.57,一樓
RPWNMLLKRHIGFBG68CB,坡道平面,1200000,26.55,地下一樓
RPQNMLKKRHIGFBG97CB,坡道平面,1750000,29.74,地下一樓
RPPNMLKKRHIGFBG87CB,坡道平面,1700000,29.74,地下二樓
RPPNMLNKRHIGFBG18CB,一樓平面,0,15.49,一樓
RPVNMLRKRHIGFBG56CB,坡道平面,1000000,29.18,地下一樓
RPSNMLSKRHIGFBG98CB,一樓平面,0,15.49,一樓
RPTNMLSKRHIGFBG09CB,一樓平面,0,15.49,一樓
RPUNMLSKRHIGFBG56CB,一樓平面,0,15.49,一樓
RPVNMLSKRHIGFBG66CB,一樓平面,0,16.66,一樓
RPOOMLMKRHIGFAG97CB,一樓平面,550000,14.87,一樓
RPPNMLTKRHIGFBG78CB,一樓平面,1600000,27.50,一樓
RPQNMLTKRHIGFBG88CB,坡道平面,1200000,25.29,地下一樓
RPQNMLPKRHIGFAG38CB,一樓平面,780000,13.75,一樓
RPQNMLNKRHIGFAG18CB,一樓平面,650000,13.75,一樓
RPPNMLKLRHIGFAG87CB,一樓平面,1800000,20.18,一樓
RPPNMLPKRHIGFAG28CB,一樓平面,680000,13.75,一樓
RPPNMLLLRHIGFBG08CB,一樓平面,1150000,29.45,一樓
RPSNMLKLRHIGFAG18CB,一樓平面,1700000,20.18,一樓
RPUNMLLLRHIGFBG58CB,一樓平面,900000,13.75,一樓
RPUNMLMLRHIGFAG58CB,坡道平面,900000,26.19,地下一樓
RPVNMLMLRHIGFAG68CB,坡道平面,1000000,26.19,地下一樓
