鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永樂路６６巷１０號,83.59,,山坡地保育區,丙種建築用地,1120808,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0650426,71.14,1,2,2,有,無,有,8000,112,,0.0,0,,RPQNMLLKQHIGFAG97CC,,,,,,
五結鄉,建物,宜蘭縣五結鄉季水路清水一巷２號４樓,0.0,,鄉村區,乙種建築用地,1120725,土地0建物1車位1,四層,5,華廈(10層含以下有電梯),鄉村住宅.國民住宅,鋼筋混凝土造,0870602,170.35,4,2,2,有,無,有,10000,59,坡道平面,0.0,0,,RPPNMLPKQHIGFAG28CC,,,,,,
礁溪鄉,建物,宜蘭縣礁溪鄉礁溪路二段７０號,0.0,,特定農業區,農牧用地,1120808,土地0建物1車位0,全,3,透天厝,農舍、樓梯間,鋼筋混凝土造,1040506,269.18,4,2,3,有,無,有,37000,137,,0.0,0,,RPPNMLPKQHIGFBG38CC,,,,,,
宜蘭市,建物,宜蘭縣宜蘭市陽明路３２５號二樓,0.0,其他,,,1120811,土地0建物0車位0,四層,4,套房(1房1廳1衛),住宅、樓梯間,鋼筋混凝土造,1050615,39.66,1,1,1,有,無,有,12000,303,,0.0,0,,RPQNMLPKQHIGFBG48CC,,,,,,
羅東鎮,建物,宜蘭縣羅東鎮光榮路４７號三樓之３,0.0,住,,,1120719,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860610,146.94,2,2,2,有,有,有,15000,102,升降平面,0.0,0,,RPPNMLQKQHIGFAG38CC,,,,,,
五結鄉,建物,宜蘭縣五結鄉成功路２巷３弄４７號三樓之２,0.0,,工業區,丁種建築用地,1120720,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110817,72.13,2,1,1,有,有,有,13000,180,,0.0,0,機車車位2個,RPQNMLQKQHIGFAG48CC,,,,,,
羅東鎮,建物,宜蘭縣羅東鎮文化街３０號五樓,0.0,住,,,1120720,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841014,80.15,2,1,1,有,有,有,13500,168,,0.0,0,,RPRNMLQKQHIGFAG58CC,,,,,,
羅東鎮,建物,宜蘭縣羅東鎮公正路３７５號四樓之１,0.0,住,,,1120720,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841128,118.53,3,2,2,有,有,有,16000,135,,0.0,0,,RPSNMLQKQHIGFAG68CC,,,,,,
羅東鎮,建物,宜蘭縣羅東鎮忠孝路８８號七樓之３,0.0,住,,,1120720,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830608,76.02,2,1,1,有,有,有,13000,171,,0.0,0,,RPTNMLQKQHIGFAG78CC,,,,,,
羅東鎮,建物,宜蘭縣羅東鎮康莊路７５號,0.0,住,,,1120722,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0821211,136.92000000000002,1,0,1,有,無,有,12000,88,,0.0,0,,RPVNMLQKQHIGFAG98CC,,,,,,
羅東鎮,建物,宜蘭縣羅東鎮南昌街５３巷２９號三樓之２,0.0,住,,,1120724,土地0建物1車位0,三層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831001,53.199999999999996,1,1,1,有,有,有,8000,150,,0.0,0,,RPWNMLQKQHIGFAG09CC,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮光榮路２６９-１１號２樓,7.4,住,,,1120815,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851003,75.03,3,2,1,有,有,有,10000,133,,0.0,0,,RPOOMLQKQHIGFAG38CC,,,,,,
蘇澳鎮,建物,宜蘭縣蘇澳鎮龍祥二路４巷７９號二樓之１,0.0,,工業區,丁種建築用地,1120724,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1100917,62.72,2,1,1,有,有,有,12000,191,,0.0,0,,RPPOMLQKQHIGFAG48CC,,,,,,
羅東鎮,建物,宜蘭縣羅東鎮中正北路３２號六樓之１,0.0,商,,,1120726,土地0建物1車位0,六層,10,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0861211,54.79,1,1,1,有,無,有,7000,128,,0.0,0,,RPQOMLQKQHIGFAG58CC,,,,,,
冬山鄉,建物,宜蘭縣冬山鄉香南路３３５巷２８弄２５號五樓,0.0,住,,,1120726,土地0建物1車位1,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110314,139.8,2,2,2,有,有,有,18000,129,一樓平面,0.0,0,機車車位1個,RPROMLQKQHIGFAG68CC,,,,,,
