編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKQHIGFAG97CC,47,71.14,住家用,鋼筋混凝土加強磚造,65年4月26日,二層,,
RPQNMLPKQHIGFBG48CC,7,39.66,住宅、樓梯間,鋼筋混凝土造,105年6月15日,四層,,
RPPNMLPKQHIGFBG38CC,8,269.18,農舍、樓梯間,鋼筋混凝土造,104年5月6日,三層,,
RPPNMLPKQHIGFAG28CC,25,115.05,鄉村住宅.國民住宅,鋼筋混凝土造,87年6月2日,五層,,
RPPNMLPKQHIGFAG28CC,25,55.30,防空避難室.停車場.梯間.共同使用部份,鋼筋混凝土造,87年6月2日,五層,,
RPOOMLQKQHIGFAG38CC,27,55.17,住家用,鋼筋混凝土造,85年10月3日,十二層,,
RPOOMLQKQHIGFAG38CC,27,11.02,停車場、法定防空避難室、機車停車場、私設防空避難室﹙共同使用部份﹚,鋼筋混凝土造,85年10月3日,十二層,,
RPOOMLQKQHIGFAG38CC,27,8.84,梯間﹙共同使用部份﹚,鋼筋混凝土造,85年10月3日,十二層,,
RPQNMLQKQHIGFAG48CC,1,48.92,集合住宅,鋼筋混凝土造,111年8月17日,五層,,
RPQNMLQKQHIGFAG48CC,1,15.86,本共有部分之項目有樓梯間、機械室及儲水槽等３項。,鋼筋混凝土造,111年8月17日,五層,,
RPQNMLQKQHIGFAG48CC,1,7.35,本共有部分之項目有停車空間、機電空間等２項。,鋼筋混凝土造,111年8月17日,五層,,
RPRNMLQKQHIGFAG58CC,28,69.78,住家用,鋼筋混凝土造,84年10月14日,五層,,
RPVNMLQKQHIGFAG98CC,30,110.17,商業用,鋼筋混凝土造,82年12月11日,七層,,
RPRNMLQKQHIGFAG58CC,28,10.37,梯間、共同使用,鋼筋混凝土造,84年10月14日,五層,,
RPVNMLQKQHIGFAG98CC,30,26.75,停車場、防空避難室,鋼筋混凝土造,82年12月11日,七層,,
RPWNMLQKQHIGFAG09CC,29,38.87,住家用,鋼筋混凝土造,83年10月1日,六層,,
RPWNMLQKQHIGFAG09CC,29,14.33,停車場、梯間、共同使用部份,鋼筋混凝土造,83年10月1日,六層,,
RPSNMLQKQHIGFAG68CC,28,101.39,住家用,鋼筋混凝土造,84年11月28日,十二層,,
RPSNMLQKQHIGFAG68CC,28,12.55,騎樓、車道、防空避難室、停車場、配電設施、共同使用部份,鋼筋混凝土造,84年11月28日,十二層,,
RPSNMLQKQHIGFAG68CC,28,4.59,騎樓、門廳、梯間、共同使用部份,鋼筋混凝土造,84年11月28日,十二層,,
RPTNMLQKQHIGFAG78CC,29,50.76,住家用,鋼筋混凝土造,83年6月8日,七層,,
RPTNMLQKQHIGFAG78CC,29,7.59,防空避難室、共同使用部份,鋼筋混凝土造,83年6月8日,七層,,
RPTNMLQKQHIGFAG78CC,29,2.28,屋頂突出物．雨遮．共同使用部份,鋼筋混凝土造,83年6月8日,七層,,
