編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPPMLLJJIIGFDH67DA,41,67.76,住家用,鋼筋混凝土造,71年5月27日,四層,二層,全筆移轉
RPVWMLQJJIIGFBH66DA,6,22.61,集合住宅,鋼筋混凝土造,106年9月22日,十四層,四層 陽台 雨遮,持分移轉
RPVWMLQJJIIGFBH66DA,6,4.77,本建物共有部分項目：樓梯間、電梯機房、水箱等３項。,鋼筋混凝土造,106年9月22日,十四層,,持分移轉
RPVWMLQJJIIGFBH66DA,6,5.75,本建物共有部分項目：附屬管委會使用空間、公共服務空間、防空避難室兼停車空間、垃圾儲藏空間、台電配電場所、機電設備空間、停車空間、信箱室、兒童遊戲室、會議室、韻律教室、健身房、接待室、交誼區、發電機室、景觀水池泵浦室、雨水機房、污水機房、水箱、機房、消防泵浦室、宅配室、樓梯間、電信室等２４項。,鋼筋混凝土造,106年9月22日,十四層,,持分移轉
RPQNMLKKJIIGFCH47DA,44,42.30,住家用,鋼筋混凝土造,68年12月28日,4,三層,全筆移轉
RPTRMLTJJIIGFBH88DA,45,37.44,住家用,加強磚造,67年11月3日,二層,一層,全筆移轉
RPRNMLTJJIIGFCH38DA,48,194.90,住家用,加強磚造,65年4月29日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPQNMLSJJIIGFFH48DA,,191.50,集合住宅、集合住宅（附屬停車空間）、梯間,鋼筋混凝土造,112年5月11日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項,全筆移轉
RPPNMLSJJIIGFBH08EA,29,172.69,住家用,鋼筋混凝土造,83年9月17日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPQNMLOKJIIGFFH18DA,,190.92,集合住宅、集合住宅（附屬停車空間）、梯間,鋼筋混凝土造,112年5月11日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPPNMLNKJIIGFGH18EA,32,71.53,住家用,鋼筋混凝土造,81年1月23日,九層,五層 陽台 花台,全筆移轉
RPPNMLNKJIIGFGH18EA,32,6.26,共有部份,鋼筋混凝土造,81年1月23日,九層,,持分移轉
RPPNMLNKJIIGFGH18EA,32,15.19,共有部份,鋼筋混凝土造,81年1月23日,九層,,持分移轉
RPSOMLTJJIIGFBH48DA,17,20.13,住家用,鋼筋混凝土造,95年5月20日,十層,五層 陽台 雨遮,全筆移轉
RPSOMLTJJIIGFBH48DA,17,2.50,共有部份,鋼筋混凝土造,95年5月20日,十層,,持分移轉
RPSOMLTJJIIGFBH48DA,17,6.52,共有部份,鋼筋混凝土造,95年5月20日,十層,,持分移轉
RPSOMLTJJIIGFBH48DA,17,2.59,共有部份,鋼筋混凝土造,95年5月20日,十層,,持分移轉
RPQNMLQKJIIGFCH08DA,18,.80,商業用,鋼筋混凝土造,95年4月10日,十層,一層,持分移轉
RPQNMLQKJIIGFCH08DA,18,36.39,一般服務業,鋼筋混凝土造,95年4月10日,十層,七層 見其他登記事項,全筆移轉
RPQNMLQKJIIGFCH08DA,18,4.41,育樂附屬設施,鋼筋混凝土造,95年4月10日,十層,地下一層,持分移轉
RPQNMLQKJIIGFCH08DA,18,.00,共用,鋼筋混凝土造,95年4月10日,十層,,
RPQNMLQKJIIGFCH08DA,18,.00,共用,鋼筋混凝土造,95年4月10日,十層,,
RPQNMLQKJIIGFCH08DA,18,4.98,共用,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPQNMLQKJIIGFCH08DA,18,2.13,共用（防空避難室兼停車場、停車場）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPQNMLQKJIIGFCH08DA,18,.00,共用（防空避難室兼停車場、停車場）,鋼筋混凝土造,95年4月10日,十層,,
RPQNMLQKJIIGFCH08DA,18,.00,共用（防空避難室兼停車場、停車場）,鋼筋混凝土造,95年4月10日,十層,,
RPQNMLQKJIIGFCH08DA,18,.62,共用（樓電梯間、屋頂水箱、瞭望室、機械室）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPQNMLQKJIIGFCH08DA,18,5.14,共用（樓電梯間、屋頂水箱、瞭望室、機械室）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPQNMLQKJIIGFCH08DA,18,.11,共用（樓電梯間、屋頂水箱、瞭望室、機械室）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPTNMLQKJIIGFCH38DA,39,133.12,住商用,加強磚造,73年12月13日,二層,一層 二層 屋頂突出物,全筆移轉
RPPNMLQKJIIGFAH87EA,17,106.22,商業用,鋼筋混凝土造,95年6月9日,九層,一層 陽台,全筆移轉
RPPNMLQKJIIGFAH87EA,17,5.25,共有部份,鋼筋混凝土造,95年6月9日,九層,,持分移轉
RPPNMLQKJIIGFAH87EA,17,21.60,共有部份,鋼筋混凝土造,95年6月9日,九層,,持分移轉
RPRNMLPKJIIGFCH08DA,18,.80,商業用,鋼筋混凝土造,95年4月10日,十層,一層,持分移轉
RPRNMLPKJIIGFCH08DA,18,36.39,一般服務業,鋼筋混凝土造,95年4月10日,十層,十層 陽台 見其他登記事項,全筆移轉
RPRNMLPKJIIGFCH08DA,18,4.41,育樂附屬設施,鋼筋混凝土造,95年4月10日,十層,地下一層,持分移轉
RPRNMLPKJIIGFCH08DA,18,.00,共用,鋼筋混凝土造,95年4月10日,十層,,
RPRNMLPKJIIGFCH08DA,18,.00,共用,鋼筋混凝土造,95年4月10日,十層,,
RPRNMLPKJIIGFCH08DA,18,4.98,共用,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPRNMLPKJIIGFCH08DA,18,2.13,共用（防空避難室兼停車場、停車場）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPRNMLPKJIIGFCH08DA,18,.00,共用（防空避難室兼停車場、停車場）,鋼筋混凝土造,95年4月10日,十層,,
RPRNMLPKJIIGFCH08DA,18,.00,共用（防空避難室兼停車場、停車場）,鋼筋混凝土造,95年4月10日,十層,,
RPRNMLPKJIIGFCH08DA,18,.62,共用（樓電梯間、屋頂水箱、瞭望室、機械室）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPRNMLPKJIIGFCH08DA,18,5.14,共用（樓電梯間、屋頂水箱、瞭望室、機械室）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPRNMLPKJIIGFCH08DA,18,.11,共用（樓電梯間、屋頂水箱、瞭望室、機械室）,鋼筋混凝土造,95年4月10日,十層,,持分移轉
RPWPMLNKJIIGFAH38DA,1,33.01,本共有部分之項目有：集合住宅（附屬防災中心、附屬管委會空間）、防空避難室兼停車空間、停車空間等４項。,鋼筋混凝土造,112年3月17日,二十三層,,持分移轉
RPOQMLPKJIIGFBH97DA,22,53.15,住家用,鋼筋混凝土造,90年8月30日,二十二層,十層 陽台,全筆移轉
RPOQMLPKJIIGFBH97DA,22,1.86,共有部份,鋼筋混凝土造,90年8月30日,二十二層,,持分移轉
RPOQMLPKJIIGFBH97DA,22,13.28,共有部份,鋼筋混凝土造,90年8月30日,二十二層,,持分移轉
RPOQMLPKJIIGFBH97DA,22,1.49,共有部份,鋼筋混凝土造,90年8月30日,二十二層,,持分移轉
RPSQMLPKJIIGFAH28DA,33,4.27,共有部份,鋼筋混凝土造,80年3月19日,十三層,,持分移轉
RPSQMLPKJIIGFAH28DA,33,4.85,共有部份,鋼筋混凝土造,80年3月19日,十三層,,持分移轉
RPSQMLPKJIIGFAH28DA,33,22.98,見其他登記事項,鋼筋混凝土造,80年3月19日,十三層,七層,全筆移轉
RPSQMLPKJIIGFAH28DA,33,4.53,一般事務所（走廊）,鋼筋混凝土造,80年3月19日,十三層,,持分移轉
RPQNMLQKJIIGFCH18EA,1,287.51,住宅、樓梯間,鋼筋混凝土造,111年5月4日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPPPMLNKJIIGFAH67DA,28,66.12,住家用,鋼筋混凝土造,85年4月12日,二十一層,二十一層 陽台 花台 見其他登記事項,全筆移轉
RPPPMLNKJIIGFAH67DA,28,43.79,共有部份,鋼筋混凝土造,85年4月12日,十三層,,持分移轉
RPPPMLNKJIIGFAH67DA,28,10.17,共有部份,鋼筋混凝土造,85年4月12日,二十一層,,持分移轉
RPSPMLQKJIIGFDH58DA,19,24.32,住家用,鋼筋混凝土造,93年11月5日,四層,三層 雨遮,全筆移轉
RPSPMLQKJIIGFDH58DA,19,5.10,機電空間、梯間、住宅,鋼筋混凝土造,93年11月5日,四層,,持分移轉
RPWRMLQKJIIGFFH76DA,42,84.00,住家用,加強磚造,70年7月7日,四層,二層 陽台,全筆移轉
RPRNMLRKJIIGFCH28DA,42,120.96,住家用,加強磚造,70年12月30日,二層,一層 二層,全筆移轉
RPPOMLQJJIIGFEH18DA,42,25.27,住家用,加強磚造,70年8月19日,二層,一層 二層,持分移轉
RPQNMLQKJIIGFHH68EA,18,18.59,住家用,鋼筋混凝土造,94年12月2日,五層,三層 陽台,全筆移轉
RPQNMLQKJIIGFHH68EA,18,5.03,共有部份,鋼筋混凝土造,94年12月2日,五層,,持分移轉
RPSNMLRKJIIGFBH38EA,46,22.80,住家用,加強磚造,67年1月12日,二層,一層 二層 騎樓,持分移轉
RPQNMLTKJIIGFEH58DA,27,.46,住家用,鋼筋混凝土造,85年5月28日,十六層,十五層 陽台,持分移轉
RPQNMLTKJIIGFEH58DA,27,29.68,共有部份,鋼筋混凝土造,85年5月28日,十六層,,持分移轉
RPQNMLTKJIIGFEH58DA,27,.09,共有部份,鋼筋混凝土造,85年5月28日,十六層,,持分移轉
RPQNMLTKJIIGFEH58DA,27,.02,共有部份,鋼筋混凝土造,85年5月28日,十六層,,持分移轉
RPPNMLKLJIIGFFH87EA,8,96.10,住家用,鋼筋混凝土造,104年6月1日,十一層,五層 陽台,全筆移轉
RPPNMLKLJIIGFFH87EA,8,45.29,共有部分之項目有：防空避難室兼停車空間、停車空間、公共服務空間、管理員室等計四項。,鋼筋混凝土造,104年6月1日,十一層,,持分移轉
RPPNMLKLJIIGFFH87EA,8,26.06,共有部分之項目有：梯廳、樓梯間、水箱、機械室、機房等計五項。,鋼筋混凝土造,104年6月1日,十一層,,持分移轉
RPOOMLRJJIIGFCH97DA,1,50.70,一般服務業,鋼筋混凝土造,111年6月14日,十五層,六層 陽台,全筆移轉
RPOOMLRJJIIGFCH97DA,1,67.12,共有部分：管理委員會使用空間、梯間、機械室、消防水箱、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土造,111年6月14日,十五層,,持分移轉
RPUOMLKLJIIGFAH87DA,44,71.97,住家用,鋼筋混凝土造,69年1月31日,四層,四層,全筆移轉
RPUNMLPKJIIGFBH28DA,12,96.99,集合住宅,鋼筋混凝土造,100年6月28日,十五層,一層 陽台 見其他登記事項,全筆移轉
RPUNMLPKJIIGFBH28DA,12,46.16,本共有部分之項目：管委會使用空間、陽台、基地內通路、車道、停車空間、台電受電室、樓梯間、排風室、發電機室、水箱、防空避難室兼停車空間、排風管道、電信室、消防機房等十四項。,鋼筋混凝土造,100年6月28日,十五層,,持分移轉
RPUNMLPKJIIGFBH28DA,12,13.99,本共有部分之項目：樓梯間、機械室、水箱等三項。,鋼筋混凝土造,100年6月28日,十五層,,持分移轉
RPPQMLRKJIIGFBH28DA,12,42.38,集合住宅,鋼筋混凝土造,100年9月5日,十五層,九層 陽台,全筆移轉
RPPQMLRKJIIGFBH28DA,12,13.72,本建物用途為：樓梯間、電梯、蓄水池、機械室、水箱等五項。,鋼筋混凝土造,100年9月5日,十五層,,持分移轉
RPPQMLRKJIIGFBH28DA,12,9.56,本建物用途為：緊急發電機房、電信機房、台電配電場所、防空避難室兼停車空間、消防泵浦機房、梯間、污水機房、管委會使用空間、梯廳、管理員室、門廊、電梯、廣場式開放空間等１３項。,鋼筋混凝土造,100年9月5日,十五層,,持分移轉
RPXSMLKLJIIGFBH68DA,30,171.62,住家用,鋼筋混凝土造,83年4月16日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 雨遮,全筆移轉
RPQPMLKLJIIGFCH77DA,42,70.82,住家用,加強磚造,70年6月15日,二層,一層 二層,全筆移轉
RPTNMLKLJIIGFEH08DA,11,129.91,自由職業事務所,鋼筋混凝土造,101年9月18日,十四層,三層 陽台 雨遮,全筆移轉
RPTNMLKLJIIGFEH08DA,11,53.49,共有部份,鋼筋混凝土造,101年9月18日,十四層,,持分移轉
RPTNMLKLJIIGFEH08DA,11,20.17,共有部份,鋼筋混凝土造,101年9月18日,十四層,,持分移轉
RPWNMLKLJIIGFEH38DA,49,23.18,住家用,加強磚造,64年1月15日,二層,一層 二層 陽台 平台 騎樓,持分移轉
SPWNMLKLJIIGFEH48DA,49,23.18,住家用,加強磚造,64年1月15日,二層,一層 二層 陽台 平台 騎樓,持分移轉
RPQNMLKKJIIGFFH77DA,,191.20,集合住宅、集合住宅（附屬停車空間）、梯間,鋼筋混凝土造,112年5月11日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項,全筆移轉
RPXOMLQKJIIGFAH68DA,25,125.14,住家用,鋼筋混凝土造,88年1月11日,二十二層,十五層 陽台 花台,全筆移轉
RPXOMLQKJIIGFAH68DA,25,.09,辦公室,鋼筋混凝土造,88年1月11日,二十二層,地下一層,持分移轉
RPXOMLQKJIIGFAH68DA,25,16.91,共有部份,鋼筋混凝土造,88年1月11日,二十二層,,持分移轉
RPXOMLQKJIIGFAH68DA,25,36.52,共有部份,鋼筋混凝土造,88年1月11日,二十二層,,持分移轉
RPXOMLQKJIIGFAH68DA,25,8.46,共有部份,鋼筋混凝土造,88年1月11日,二十二層,,持分移轉
RPXOMLQKJIIGFAH68DA,25,.01,共有部份,鋼筋混凝土造,88年1月11日,二十二層,,持分移轉
RPTNMLNJJIIGFGH38DA,42,85.05,住家用,鋼筋混凝土造,70年12月30日,五層,三層 陽台,全筆移轉
RPPQMLPKJIIGFAH97DA,27,90.06,住家用,鋼筋混凝土造,85年11月15日,十四層,五層 陽台 見其他登記事項,全筆移轉
RPPQMLPKJIIGFAH97DA,27,17.85,共有部份,鋼筋混凝土造,85年11月15日,十四層,,持分移轉
RPPQMLPKJIIGFAH97DA,27,33.74,共有部份,鋼筋混凝土造,85年11月15日,十四層,,持分移轉
RPSNMLKLJIIGFFH08DA,1,181.37,集合住宅、集合住宅（附屬停車空間）、梯間,鋼筋混凝土造,112年5月11日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項,全筆移轉
