鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路２５８號十一樓,12.9,商,,,1120721,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102,132.02,2,2,2,有,有,有,25500,217,坡道平面,28.37,3000,水電瓦斯費及每月管理費2500元皆由承租人負擔。,RPPNMLLKQHIGFAH97CC,,,,,,
桃園區,建物,桃園市桃園區介壽路５之２號６樓,0.0,住,,,1120715,土地0建物1車位0,六層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920728,63.400000000000006,1,1,1,有,有,有,12900,203,,0.0,0,水費、電費、瓦斯費、網路費及每月管理費1055元整由承租人負擔。,RPQNMLLKQHIGFAH08CC,,,,,,
桃園區,建物,桃園市桃園區大有路６５２巷２號七樓,0.0,住,,,1120810,土地0建物1車位0,七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860901,133.34,3,1,2,有,有,有,17000,127,,0.0,0,社會住宅，管理費2000元由承租人負擔。,RPRNMLLKQHIGFAH18CC,,,,,,
桃園區,建物,桃園市桃園區中央街２０６號,0.0,住,,,1120725,土地0建物1車位1,見其他登記事項,10,店面(店鋪),店舖、集合住宅,鋼筋混凝土造,1120130,123.83000000000001,0,2,2,有,有,無,38000,307,坡道平面,0.0,0,車位面積無法分算。租金含管理費。,RPSNMLLKQHIGFAH28CC,,,,,,
桃園區,房地(土地+建物),桃園市桃園區介壽路２４號,183.0,商,,,1120721,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0700622,1030.79,24,0,24,有,無,有,180000,175,,0.0,0,,RPTNMLLKQHIGFAH38CC,,,,,,
桃園區,建物,桃園市桃園區春日路２３２號６樓之９,0.0,其他,,,1120720,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771209,156.23000000000002,3,1,2,有,有,有,7500,48,,0.0,0,水費、電費、瓦斯費、網路費由承租人負擔。,RPUNMLLKQHIGFAH48CC,,,,,,
桃園區,建物,桃園市桃園區和平路２８巷１２之２號,0.0,商,,,1120722,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650501,80.28,3,2,1,有,無,有,7000,87,,0.0,0,水費、電費、瓦斯費、網路費由承租人負擔。,RPVNMLLKQHIGFAH58CC,,,,,,
桃園區,建物,桃園市桃園區育樂街６７之１號,0.0,住,,,1120722,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700814,93.63000000000001,3,1,2,有,無,有,14000,150,,0.0,0,水費、電費、瓦斯費、網路費由承租人負擔。,RPWNMLLKQHIGFAH68CC,,,,,,
桃園區,建物,桃園市桃園區保定六街４４號１樓,0.0,住,,,1120710,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0631008,66.96,0,0,0,無,無,有,52000,777,,0.0,0,,RPXNMLLKQHIGFAH78CC,,,,,,
桃園區,建物,桃園市桃園區博愛路６７號１０樓之１３,0.0,商,,,1120722,土地0建物1車位0,十層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711030,38.51,1,0,0,無,有,有,7000,182,,0.0,0,水費、電費、瓦斯費、網路費及每月管理費700元整由承租人負擔。,RPOOMLLKQHIGFAH97CC,,,,,,
桃園區,建物,桃園市桃園區宏昌十三街５６８號四樓,0.0,住,,,1120718,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820330,141.28,3,1,1,有,無,有,17000,120,,0.0,0,社會住宅，管理費2000元由承租人負擔。,RPPOMLLKQHIGFAH08CC,,,,,,
桃園區,建物,桃園市桃園區莊二街３９號１０樓之４,0.0,住,,,1120725,土地0建物1車位0,十層,,住宅大樓(11層含以上有電梯),,,,85.11,1,0,1,有,無,有,12500,147,,0.0,0,社會住宅.管理費1000元由承租人負擔,RPQOMLLKQHIGFAH18CC,,,,,,
桃園區,建物,桃園市桃園區民有五街８８號１０樓,0.0,住,,,1120809,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891128,147.01,3,2,2,有,有,有,27300,213,坡道平面,33.03,3000,社會住宅.管理費2700元由承租人負擔,RPROMLLKQHIGFAH28CC,,,,,,
桃園區,建物,桃園市桃園區永安路２４９號７樓,0.0,住,,,1120809,土地0建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,136.09,3,1,2,有,有,有,16000,118,坡道平面,0.0,1000,社會住宅.管理費2000元由承租人負擔,RPTOMLLKQHIGFAH48CC,,,,,,
桃園區,建物,桃園市桃園區同德十街 ２９ 號六樓,0.0,住,,,1120802,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850728,95.37,4,2,2,有,有,有,19700,207,,0.0,0,社會住宅，管理費1300元由承租人自付。,RPUOMLLKQHIGFAH58CC,,,,,,
桃園區,建物,桃園市桃園區宏昌十二街５９５巷７號８樓,0.0,住,,,1120807,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840902,121.53999999999999,3,1,2,有,無,有,15000,123,坡道平面,0.0,0,社會住宅.,RPVOMLLKQHIGFAH68CC,,,,,,
桃園區,建物,桃園市桃園區春日路１１５５號１３樓之１２,0.0,住,,,1120721,土地0建物1車位0,十二層,20,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840808,41.39,1,0,0,無,有,有,10000,242,,0.0,0,水費、電費、瓦斯費、網路費由承租人負擔。,RPWOMLLKQHIGFAH78CC,,,,,,
桃園區,建物,桃園市桃園區明德街１３巷２之１號１４樓,0.0,住,,,1120725,土地0建物1車位0,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831005,96.77,3,1,2,有,有,有,20000,207,,0.0,0,水費、電費、瓦斯費、網路費由承租人負擔。,RPXOMLLKQHIGFAH88CC,,,,,,
中壢區,建物,桃園市中壢區新中二街１７號６樓之３,0.0,住,,,1120714,土地0建物1車位0,六層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0951011,33.13,0,0,0,無,有,有,6800,205,,0.0,0,社會住宅 管理費另計700元 機車位另計0元,RPPNMLLKQHIGFBH08CC,,,,,,
中壢區,建物,桃園市中壢區中美路一段１８號十三樓之１８,0.0,商,,,1120809,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861013,35.05,0,0,0,無,有,有,6000,171,,0.0,0,社會住宅 水費 電費   管理費由承租人負擔管理費540,RPQNMLLKQHIGFBH18CC,,,,,,
中壢區,建物,桃園市中壢區新明路１５７之５號十樓,0.0,住,,,1120808,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830818,141.43,3,2,2,有,有,有,20400,157,坡道平面,26.44,2400,社會住宅 水電費 瓦斯費 管理費 由承租人負擔管理費2300,RPSNMLLKQHIGFBH38CC,,,,,,
觀音區,建物,桃園市觀音區中山路１４３號５樓之５,20.42,住,,,1120806,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1101005,58.51,2,1,1,有,有,有,13500,231,,0.0,0,,RPTNMLLKQHIGFBH48CC,,,,,,
觀音區,建物,桃園市觀音區二聖路３１３巷３８號十二樓,0.0,商,,,1120721,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110803,123.0,2,1,1,有,無,有,18000,186,坡道平面,37.08,2000,社會住宅管理費2000 水電瓦斯由承租人負擔,RPUNMLLKQHIGFBH58CC,,,,,,
中壢區,建物,桃園市中壢區安十四街 ２ 之 １ 號三樓,0.0,住,,,1120809,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831024,120.95,4,1,2,有,有,有,12100,100,,0.0,0,社會住宅，管理費1900元由承租人自付。,RPXNMLLKQHIGFBH88CC,,,,,,
中壢區,建物,桃園市中壢區榮安十五街７５巷１９號７樓,0.0,住,,,1120713,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801230,103.98,3,1,1,有,有,有,15800,152,,0.0,0,社會住宅.,RPOOMLLKQHIGFBH08CC,,,,,,
中壢區,建物,桃園市中壢區九和一街１號十二樓之８,0.0,商,,,1120730,土地0建物1車位0,十二層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970406,46.2,1,1,1,有,有,有,11600,251,,0.0,0,租金含管理費。,RPPOMLLKQHIGFBH18CC,,,,,,
中壢區,建物,桃園市中壢區龍岡路三段６６８巷２３號五樓,0.0,住,,,1120811,土地0建物1車位1,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110106,104.51,3,2,2,有,有,有,23000,220,一樓平面,20.55,0,社會住宅 管理費 水電費 瓦斯費由承租人負擔,RPQOMLLKQHIGFBH28CC,,,,,,
中壢區,建物,桃園市中壢區百韜一街２１號四樓之１,0.0,住,,,1120810,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840111,29.270000000000003,0,0,0,無,有,有,7000,239,,0.0,0,社會住宅 水費 電費  由承租人負擔,RPROMLLKQHIGFBH38CC,,,,,,
中壢區,建物,桃園市中壢區龍岡路二段３６９號十六樓之１,0.0,住,,,1120726,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830609,115.0,2,1,1,有,有,有,12000,104,,0.0,0,社會住宅  管理費水電費由承租人負擔,RPSOMLLKQHIGFBH48CC,,,,,,
中壢區,建物,桃園市中壢區華美一路２２７之１９號,0.0,住,,,1120801,土地0建物1車位0,全,4,透天厝,住宅、機電設備空間,鋼筋混凝土造,0921009,202.25,4,2,3,有,無,有,21000,104,,0.0,0,社會住宅,RPTOMLLKQHIGFBH58CC,,,,,,
中壢區,建物,桃園市中壢區長樂五街１之１號七樓,0.0,住,,,1120811,土地0建物1車位0,七層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830516,30.490000000000002,1,0,1,有,有,有,6500,213,,0.0,0,社會住宅 管理費 水電費由承租人負擔,RPUOMLLKQHIGFBH68CC,,,,,,
中壢區,建物,桃園市中壢區溪州二街１號５樓,0.0,住,,,1120731,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690312,81.99,3,2,1,有,無,有,12000,146,,0.0,0,社會住宅,RPVOMLLKQHIGFBH78CC,,,,,,
中壢區,建物,桃園市中壢區龍陵路１９７號八樓,0.0,住,,,1120731,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061228,142.70000000000002,3,3,2,有,有,有,24500,172,,0.0,0,社會住宅  水電費由承租人負擔,RPWOMLLKQHIGFBH88CC,,,,,,
中壢區,建物,桃園市中壢區領航南路二段３７６號十九樓,0.0,商,,,1120730,土地0建物1車位1,十九層,20,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110930,81.53,2,2,1,有,有,有,28000,343,坡道機械,10.5,0,租金含管理費。,RPOPMLLKQHIGFBH18CC,,,,,,
中壢區,建物,桃園市中壢區吉林二路５５巷２９號,0.0,,工業區,丁種建築用地,1120803,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690910,72.65,3,2,1,有,無,有,15000,206,,0.0,0,社會住宅,RPPPMLLKQHIGFBH28CC,,,,,,
