編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLLKQHIGFAH78CC,49,66.96,住家用,加強磚造,63年10月8日,二層,,
RPSNMLLKQHIGFAH28CC,,83.04,店舖、集合住宅,鋼筋混凝土造,112年1月30日,十層,,
RPSNMLLKQHIGFAH28CC,,40.79,本共有部分之項目有：集合住宅（附屬管委會使用空間、車道、游泳池、梯間）、梯間、水箱、機房、防空避難室兼停車空間、台電配電室、發電機室、垃圾處理室、水池機房、停車空間、電信室、蓄水池、消防泵浦室、雨水回收機房等１７項。,鋼筋混凝土造,112年1月30日,十五層,,
RPUNMLLKQHIGFAH48CC,35,131.46,住家用,鋼筋混凝土造,77年12月9日,八層,,
RPWNMLLKQHIGFAH68CC,42,92.40,住家用,鋼筋混凝土造,70年8月14日,五層,,
RPUNMLLKQHIGFAH48CC,35,24.77,共有部份,鋼筋混凝土造,77年12月9日,八層,,
RPOOMLLKQHIGFAH97CC,41,25.93,住家用,鋼筋混凝土造,71年10月30日,十層,,
RPWNMLLKQHIGFAH68CC,42,1.23,共有部份,鋼筋混凝土造,70年8月14日,五層,,
RPOOMLLKQHIGFAH97CC,41,6.31,共有部份,鋼筋混凝土造,71年10月30日,十層,,
RPTNMLLKQHIGFAH38CC,42,173.72,住商用,鋼筋混凝土造,70年6月22日,五層,,
RPOOMLLKQHIGFAH97CC,41,6.27,共有部份,鋼筋混凝土造,71年10月30日,十層,,
RPTNMLLKQHIGFAH38CC,42,173.72,住家用,鋼筋混凝土造,70年6月22日,五層,,
RPTNMLLKQHIGFAH38CC,42,92.75,住家用,鋼筋混凝土造,70年6月22日,五層,,
RPTNMLLKQHIGFAH38CC,42,162.16,避難室,鋼筋混凝土造,70年6月22日,五層,,
RPTNMLLKQHIGFAH38CC,42,80.98,住家用,鋼筋混凝土造,70年6月22日,五層,,
RPTNMLLKQHIGFAH38CC,42,92.75,住家用,鋼筋混凝土造,70年6月22日,五層,,
RPTNMLLKQHIGFAH38CC,42,80.98,住家用,鋼筋混凝土造,70年6月22日,五層,,
RPTNMLLKQHIGFAH38CC,42,92.75,住家用,鋼筋混凝土造,70年6月22日,五層,,
RPTNMLLKQHIGFAH38CC,42,80.98,住家用,鋼筋混凝土造,70年6月22日,五層,,
RPRNMLLKQHIGFAH18CC,26,105.49,住家用,鋼筋混凝土造,86年9月1日,十七層,,
RPVNMLLKQHIGFAH58CC,47,80.28,住家用,鋼筋混凝土造,65年5月1日,三層,,
RPRNMLLKQHIGFAH18CC,26,8.37,共有部份,鋼筋混凝土造,86年9月1日,十七層,,
RPRNMLLKQHIGFAH18CC,26,19.48,共有部份,鋼筋混凝土造,86年9月1日,十七層,,
