編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLQKJIIGFAI08DA,東門段六小段,22.00,都市：其他:住宅區,1,1,全筆移轉,00720011
RPRNMLQKJIIGFAI08DA,東門段六小段,18.00,都市：其他:住宅區,1,1,全筆移轉,00820001
RPXOMLKLJIIGFAI28DA,新富段四小段,20.00,都市：其他:商業區,1,1,全筆移轉,00160075
RPXOMLKLJIIGFAI28DA,新富段四小段,5.00,都市：其他:商業區,1,1,全筆移轉,00160083
RPQNMLLLJIIGFAI57DA,竹圍子段中興小段,117.00,都市：其他:商業區,1,1,全筆移轉,00600001
RPPNMLQKJIIGFAI87DA,民族段四小段,33.83,都市：其他:道路用地,60,14,持分移轉,00020001
RPQNMLKLJIIGFAI57EA,陳厝段,133.65,都市：其他:住宅區,1,1,全筆移轉,01340001
RPSNMLOKJIIGFAI97DA,短竹段,3.74,都市：其他:商業區,10000,46,持分移轉,04040000
RPPNMLSKJIIGFAI08DA,湖內段,20.33,都市：其他:商業區,27700,204,持分移轉,03180000
RPPNMLKLJIIGFAI37DA,湖子內段湖美小段,88.66,都市：其他:第三種休閒專用區,1,1,全筆移轉,05580017
RPSNMLKLJIIGFAI67DA,盧厝段,8.88,都市：其他:住宅區,100000,436,持分移轉,02550000
RPQOMLNLJIIGFAI87DA,興村段,17.01,都市：其他:住宅區,10000,517,持分移轉,01960000
RPSNMLLLJIIGFAI87EA,頂庄段,330.50,都市：其他:農業區,2,1,持分移轉,03010004
RPSNMLSLJIIGFAI48DA,北園段,51.78,都市：其他:住宅區,45,1,持分移轉,13770000
RPPNMLNKJIIGFAI57DA,彌陀段,.56,都市：其他:住宅區,10000,3,持分移轉,05820000
RPUNMLNLJIIGFAI18DA,車店段,36.80,都市：其他:住宅區,10,1,持分移轉,01890000
RPQNMLPKJIIGFAI87DA,南門段五小段,13.96,都市：其他:商業區,10000,35,持分移轉,00450000
RPPNMLPKJIIGFAI77DA,台斗坑段,11.75,都市：其他:住宅區,10000,60,持分移轉,03270008
RPQNMLPKJIIGFAI87DA,南門段五小段,5.23,都市：其他:住宅區,10000,35,持分移轉,00450003
RPQNMLPKJIIGFAI87DA,南門段五小段,.68,都市：其他:住宅區,10000,35,持分移轉,00450004
RPUOMLOKJIIGFAI28DA,興村段,7.70,都市：其他:商業區,18130,77,持分移轉,01340000
RPPNMLSLJIIGFAI18DA,湖子內段湖內小段,113.00,都市：其他:住宅區,1,1,全筆移轉,01470021
RPPOMLOLJIIGFAI87DA,遠東段,19.04,都市：其他:住宅區,100000,341,持分移轉,00680000
RPSNMLTLJIIGFAI58DA,短竹段,117.00,都市：其他:住宅區,1,1,全筆移轉,09120045
RPXOMLTLJIIGFAI56DA,湖子內段興安小段,35.31,都市：其他:住宅區,10000,214,持分移轉,02340000
RPUNMLKKJIIGFAI77DA,台斗坑段,69.00,都市：其他:住宅區,1,1,全筆移轉,01310041
RPUNMLKKJIIGFAI77DA,台斗坑段,144.00,都市：其他:住宅區,1,1,全筆移轉,01310176
RPUNMLKKJIIGFAI77DA,台斗坑段,287.00,都市：其他:住宅區,1,1,全筆移轉,01310191
RPPNMLOLJIIGFAI87EA,西門段一小段,83.00,都市：其他:商業區,140,83,持分移轉,01190000
RPQNMLTLJIIGFAI48EA,港子坪段,60.00,都市：其他:住宅區,1,1,全筆移轉,02290089
RPPNMLNLJIIGFAI77EA,竹圍子段二小段,6.23,都市：其他:住宅區,10000,15,持分移轉,01120000
RPPNMLTLJIIGFAI38EA,竹圍子段,140.00,都市：其他:道路用地,1,1,全筆移轉,02370001
RPPNMLTLJIIGFAI38EA,竹圍子段,18.16,都市：其他:道路用地,10000,2162,持分移轉,02370006
RPQPMLTLJIIGFAI58DA,北社尾段,11.75,都市：其他:住宅區,10000,208,持分移轉,06530014
RPPNMLKMJIIGFAI57EA,彌陀段,.56,都市：其他:住宅區,10000,3,持分移轉,05820000
RPVNMLKMJIIGFAI08DA,盧東段,73.79,都市：其他:住宅區,1,1,全筆移轉,05610000
RPVNMLKMJIIGFAI08DA,盧東段,3.33,都市：其他:住宅區,1000,25,持分移轉,05730000
RPVNMLKMJIIGFAI08DA,盧東段,1.43,都市：其他:住宅區,1000,25,持分移轉,05740000
RPWNMLKMJIIGFAI18DA,南門段五小段,115.00,都市：其他:商業區,1,1,全筆移轉,00410007
RPPNMLLJKIIGFAI47EA,興村段,32.90,都市：其他:住宅區,10000,1000,持分移轉,02000000
RPPOMLKLJIIGFAI47DA,遠東段,11.20,都市：其他:住宅區,10000,12,持分移轉,00680007
RPPNMLMLJIIGFAI57DA,荖藤段,81.00,都市：其他:住宅區,1,1,全筆移轉,04360000
RPPNMLMLJIIGFAI57DA,荖藤段,18.00,都市：其他:道路用地,1,1,全筆移轉,04370000
RPTOMLOLJIIGFAI28DA,同興段,15.03,都市：其他:住宅區,10000,11,持分移轉,14350000
RPQOMLSLJIIGFAI38DA,北園段,33.00,都市：其他:商業區,2,1,持分移轉,15070010
RPTNMLSLJIIGFAI58DA,竹圍子段三小段,12.36,都市：其他:住宅區,20000,208,持分移轉,01620000
RPPNMLTLJIIGFAI28DA,竹圍子段,8.69,都市：其他:住宅區,10000,41,持分移轉,03300000
RPSNMLPJKIIGFAI08DA,台斗坑段,14.87,都市：其他:住宅區,10000,26,持分移轉,03240003
RPTPMLNLJIIGFAI28DA,短竹段,162.00,都市：其他:農業區,1,1,全筆移轉,09690000
RPQNMLQJKIIGFAI08EA,湖內段,18.83,都市：其他:乙種工業區,496718880,8890560,持分移轉,15120000
