編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKQHIGFAI28CB,彌陀段日新小段,31.16,都市：商,100000,2372,持分移轉,00570000
RPRNMLQKQHIGFAI68CB,湖子內段湖美小段,78.25,都市：其他:第三種休閒專用區,1,1,全筆移轉,04730009
RPRNMLQKQHIGFAI68CB,湖子內段湖美小段,24.38,都市：其他:第三種休閒專用區,16,1,持分移轉,04730001
RPRNMLQKQHIGFAI68CB,湖子內段湖美小段,.34,都市：其他:第三種休閒專用區,16,1,持分移轉,04730012
RPRNMLQKQHIGFAI68CB,湖子內段湖美小段,.41,都市：其他:第三種休閒專用區,16,1,持分移轉,04730014
RPRNMLQKQHIGFAI68CB,湖子內段湖美小段,.34,都市：其他:第三種休閒專用區,16,1,持分移轉,04730024
RPRNMLQKQHIGFAI68CB,湖子內段湖美小段,.41,都市：其他:第三種休閒專用區,16,1,持分移轉,04730026
RPRNMLNLQHIGFAI48CB,湖子內段新民小段,18.35,都市：商,10000,33,持分移轉,03150000
RPPNMLMLQHIGFAI18CB,劉厝段,15.79,都市：住,460,8,持分移轉,00230007
RPRNMLLLQHIGFAI28CB,劉厝段,101.00,都市：住,1,1,全筆移轉,00180134
RPPNMLMLQHIGFAI18CB,劉厝段,7.00,都市：住,1,1,全筆移轉,00230032
RPRNMLLLQHIGFAI28CB,劉厝段,.16,都市：住,74,1,持分移轉,00180006
RPPNMLMLQHIGFAI18CB,劉厝段,95.00,都市：住,1,1,全筆移轉,00230036
RPRNMLLLQHIGFAI28CB,劉厝段,15.79,都市：住,460,8,持分移轉,00230007
RPPNMLMLQHIGFAI18CB,劉厝段,.16,都市：住,74,1,持分移轉,00180006
RPRNMLRKQHIGFAI78CB,北社尾段,2.17,都市：住,13100,217,持分移轉,04850000
RPRNMLRKQHIGFAI78CB,北社尾段,5.09,都市：住,30700,509,持分移轉,04850006
RPRNMLRKQHIGFAI78CB,北社尾段,6.83,都市：住,41200,683,持分移轉,04850007
RPRNMLRKQHIGFAI78CB,北社尾段,6.90,都市：住,41700,690,持分移轉,04850008
RPRNMLRKQHIGFAI78CB,北社尾段,2.56,都市：住,15400,256,持分移轉,04850011
RPPNMLLLQHIGFAI08CB,東川段,17.11,都市：住,64800,1711,持分移轉,08910000
RPPNMLLLQHIGFAI08CB,東川段,2.13,都市：住,12200,213,持分移轉,08910005
RPQNMLLLQHIGFAI18CB,湖子內段興安小段,106.72,都市：住,1,1,全筆移轉,04010017
RPPNMLLLQHIGFAI08CB,東川段,2.03,都市：住,27600,203,持分移轉,08910004
RPQNMLNLQHIGFAI38CB,湖子內段新民小段,23.91,都市：商,10000,43,持分移轉,03150000
RPTNMLRKQHIGFAI98CB,東川段,17.49,都市：住,64800,1749,持分移轉,08910000
RPTNMLRKQHIGFAI98CB,東川段,2.17,都市：住,12200,217,持分移轉,08910005
RPTNMLRKQHIGFAI98CB,東川段,2.03,都市：住,27600,203,持分移轉,08910004
RPSNMLNLQHIGFAI58CB,湖子內段新民小段,23.36,都市：商,10000,42,持分移轉,03150000
RPWNMLSLQHIGFAI86CB,湖子內段新民小段,28.59,都市：住,10000,133,持分移轉,00240000
RPPNMLOLQHIGFAI38CB,榮段四小段,31.16,都市：商,100000,4015,持分移轉,00220000
RPPNMLTLQHIGFAI88CB,湖子內段新民小段,23.91,都市：商,10000,43,持分移轉,03150000
RPQNMLTLQHIGFAI98CB,湖子內段新民小段,16.13,都市：商,10000,29,持分移轉,03150000
RPQNMLOLQHIGFAI48CB,榮段四小段,27.27,都市：商,100000,3514,持分移轉,00220000
RPVNMLSLQHIGFAI76CB,港子坪段港坪小段,87.00,都市：住,1,1,全筆移轉,02990012
RPTNMLTLQHIGFAI66CB,溪東段,121.26,都市：住,1,1,全筆移轉,04490010
RPTNMLTLQHIGFAI66CB,溪東段,38.25,都市：住,12,1,持分移轉,04490007
RPRNMLTLQHIGFAI09CB,湖子內段新民小段,22.80,都市：商,10000,41,持分移轉,03150000
RPPNMLKMQHIGFAI08CB,湖子內段湖美小段,99.69,都市：其他:第一種休閒專用區,1,1,全筆移轉,04810003
RPQNMLPJRHIGFAI48CB,湖子內段新民小段,16.13,都市：商,10000,29,持分移轉,03150000
RPPNMLRJRHIGFAI58CB,彌陀段,23.68,都市：住,100000,4493,持分移轉,01430022
RPPNMLTJRHIGFAI78CB,湖子內段湖美小段,99.66,都市：其他:第一種休閒專用區,1,1,全筆移轉,04810010
RPPNMLTJRHIGFAI78CB,湖子內段湖美小段,29.17,都市：其他:第一種休閒專用區,6,1,持分移轉,04810014
RPRNMLPJRHIGFAI58CB,港子坪段港坪小段,110.00,都市：住,1,1,全筆移轉,01870005
RPPNMLLKRHIGFAI08CB,湖子內段湖美小段,39.87,都市：住,324478,3987,持分移轉,00890000
RPPNMLMKRHIGFAI18CB,下路頭段,40.10,都市：住,11940,401,持分移轉,00930002
RPRNMLLMQHIGFAI38CB,彌陀段,31.81,都市：住,100000,8349,持分移轉,02940000
RPRNMLLMQHIGFAI38CB,彌陀段,4.86,都市：住,100000,6075,持分移轉,02940003
RPRNMLLMQHIGFAI38CB,彌陀段,9.58,都市：住,100000,6063,持分移轉,02950000
RPPNMLPJRHIGFAI38CB,湖子內段新民小段,18.35,都市：商,10000,33,持分移轉,03150000
RPQNMLMKRHIGFAI28CB,湖子內段新民小段,26.87,都市：住,10000,125,持分移轉,00240000
RPRNMLMKRHIGFAI38CB,宣信段,20.92,都市：住,131208,2092,持分移轉,00520000
RPTNMLMKRHIGFAI58CB,荖藤段,20.10,都市：住,9440,201,持分移轉,03470000
RPSNMLMKRHIGFAI48CB,荖藤段,28.20,都市：住,9440,282,持分移轉,03470000
RPUNMLMKRHIGFAI68CB,荖藤段,36.70,都市：住,9440,367,持分移轉,03470000
RPTNMLOKRHIGFAI78CB,溪東段,95.14,都市：住,1,1,全筆移轉,04490016
RPTNMLOKRHIGFAI78CB,溪東段,38.25,都市：住,12,1,持分移轉,04490007
RPPNMLOKRHIGFAI38CB,湖子內段新民小段,18.35,都市：商,10000,33,持分移轉,03150000
RPRNMLOKRHIGFAI58CB,湖子內段新民小段,17.24,都市：商,10000,31,持分移轉,03150000
RPSNMLOKRHIGFAI68CB,湖子內段新民小段,22.80,都市：商,10000,41,持分移轉,03150000
RPUNMLOKRHIGFAI88CB,港子坪段,106.00,都市：住,1,1,全筆移轉,02480004
RPQNMLOKRHIGFAI48CB,湖子內段新民小段,21.69,都市：商,10000,39,持分移轉,03150000
RPPNMLSKRHIGFAI78CB,劉厝段,15.79,都市：住,460,8,持分移轉,00230007
RPPNMLSKRHIGFAI78CB,劉厝段,90.00,都市：住,1,1,全筆移轉,00230022
RPPNMLSKRHIGFAI78CB,劉厝段,.16,都市：住,74,1,持分移轉,00180006
RPQNMLSKRHIGFAI88CB,東川段,27.06,都市：住,64800,2706,持分移轉,08910000
RPQNMLSKRHIGFAI88CB,東川段,3.37,都市：住,12200,337,持分移轉,08910005
RPQNMLSKRHIGFAI88CB,東川段,2.03,都市：住,27600,203,持分移轉,08910004
RPRNMLSKRHIGFAI98CB,湖子內段興安小段,104.71,都市：住,1,1,全筆移轉,04010007
RPSNMLSKRHIGFAI09CB,湖子內段新民小段,35.47,都市：住,10000,165,持分移轉,00240000
RPQNMLTKRHIGFAI98CB,湖子內段新民小段,22.80,都市：商,10000,41,持分移轉,03150000
RPPNMLTKRHIGFAI88CB,湖子內段新民小段,17.24,都市：商,10000,31,持分移轉,03150000
RPRNMLTKRHIGFAI09CB,湖子內段新民小段,17.24,都市：商,10000,31,持分移轉,03150000
RPPNMLRLRHIGFAI78CB,湖子內段新民小段,16.13,都市：商,10000,29,持分移轉,03150000
RPQNMLSLRHIGFAI98CB,盧東段,55.77,都市：農,118864,5577,持分移轉,08960000
RPQNMLRLRHIGFAI88CB,湖子內段新民小段,16.13,都市：商,10000,29,持分移轉,03150000
RPSNMLSLRHIGFAI56CB,盧東段,51.84,都市：農,118864,5184,持分移轉,08960000
RPRNMLRLRHIGFAI98CB,湖子內段新民小段,18.35,都市：商,10000,33,持分移轉,03150000
RPSNMLTKRHIGFAI56CB,湖子內段新民小段,17.24,都市：商,10000,31,持分移轉,03150000
RPRNMLSLRHIGFAI09CB,盧東段,49.61,都市：農,118864,4961,持分移轉,08960000
RPPNMLPLRHIGFAI58CB,湖子內段新民小段,35.47,都市：住,10000,165,持分移轉,00240000
