編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKQHIGFAI28CB,坡道平面,1500000,33.20,地下二樓
RPRNMLNLQHIGFAI48CB,坡道平面,1300000,29.27,地下二樓
RPRNMLRKQHIGFAI78CB,坡道平面,1200000,27.75,地下二樓
RPQNMLLLQHIGFAI18CB,一樓平面,0,,一樓
RPPNMLLLQHIGFAI08CB,坡道機械,950000,9.06,地下一樓
RPQNMLNLQHIGFAI38CB,坡道平面,1350000,29.27,地下一樓
RPTNMLRKQHIGFAI98CB,坡道機械,850000,9.06,地下一樓
RPSNMLNLQHIGFAI58CB,坡道平面,1300000,29.27,地下二樓
RPWNMLSLQHIGFAI86CB,坡道平面,1200000,28.72,地下二樓
RPPNMLOLQHIGFAI38CB,升降平面,2200000,13.75,地下一樓
RPPNMLTLQHIGFAI88CB,坡道平面,1350000,29.27,地下一樓
RPQNMLTLQHIGFAI98CB,坡道平面,1250000,29.27,地下三樓
RPQNMLOLQHIGFAI48CB,升降機械,1300000,13.75,地下二樓
RPTNMLTLQHIGFAI66CB,一樓平面,0,,一樓
RPRNMLTLQHIGFAI09CB,坡道平面,1300000,29.27,地下二樓
RPQNMLPJRHIGFAI48CB,坡道平面,1200000,28.19,地下三樓
RPPNMLRJRHIGFAI58CB,一樓平面,1500000,15.40,一樓
RPPNMLLKRHIGFAI08CB,坡道平面,1200000,28.43,地下二樓
RPPNMLLKRHIGFAI08CB,坡道平面,1200000,28.43,地下二樓
RPRNMLLMQHIGFAI38CB,一樓平面,1500000,15.75,一樓
RPQNMLMKRHIGFAI28CB,坡道平面,1200000,28.72,地下二樓
RPRNMLMKRHIGFAI38CB,坡道機械,650000,15.04,地下二樓
RPTNMLMKRHIGFAI58CB,一樓平面,1200000,20.20,一樓
RPSNMLMKRHIGFAI48CB,一樓平面,1200000,20.20,一樓
RPUNMLMKRHIGFAI68CB,一樓平面,1200000,20.20,一樓
RPPNMLOKRHIGFAI38CB,坡道平面,1250000,28.19,地下二樓
RPRNMLOKRHIGFAI58CB,坡道平面,1350000,29.27,地下一樓
RPSNMLOKRHIGFAI68CB,坡道平面,1250000,29.27,地下三樓
RPQNMLOKRHIGFAI48CB,坡道平面,1200000,28.19,地下三樓
RPQNMLSKRHIGFAI88CB,坡道平面,2750000,27.50,地下一樓
RPRNMLSKRHIGFAI98CB,一樓平面,0,,一樓
RPSNMLSKRHIGFAI09CB,坡道平面,1300000,28.72,地下一樓
RPQNMLTKRHIGFAI98CB,坡道平面,1350000,29.27,地下一樓
RPPNMLTKRHIGFAI88CB,坡道平面,1250000,29.27,地下三樓
RPRNMLTKRHIGFAI09CB,坡道平面,1250000,29.27,地下三樓
RPPNMLRLRHIGFAI78CB,坡道平面,1200000,28.19,地下三樓
RPQNMLSLRHIGFAI98CB,一樓平面,1300000,20.49,一樓
RPQNMLRLRHIGFAI88CB,坡道平面,1250000,29.27,地下三樓
RPSNMLSLRHIGFAI56CB,一樓平面,1300000,20.49,一樓
RPRNMLRLRHIGFAI98CB,坡道平面,1300000,29.27,地下二樓
RPSNMLTKRHIGFAI56CB,坡道平面,1350000,29.27,地下一樓
RPRNMLSLRHIGFAI09CB,一樓平面,1300000,20.49,一樓
RPPNMLPLRHIGFAI58CB,坡道平面,1200000,28.72,地下二樓
RPPNMLPLRHIGFAI58CB,坡道平面,1200000,28.72,地下二樓
RPQNMLPLRHIGFAI68CB,坡道平面,1200000,28.72,地下二樓
RPPNMLMJIIIGFAI27CB,一樓平面,1500000,16.35,一樓
