鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,建物,嘉義市嘉義市蘭井街１６２之４號２樓６,0.0,商,,,1120804,土地0建物1車位0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800104,33.91,1,0,1,有,有,有,6000,177,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費及每月管理費500元皆由承租人負擔。,RPQNMLLKQHIGFAI18CC,,,,,,
嘉義市,建物,嘉義市嘉義市永康三街１９號６樓３,27.23,住,,,1120805,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810227,94.87,3,2,2,有,有,有,13000,137,升降平面,0.0,0,,RPRNMLLKQHIGFAI28CC,,,,,,
嘉義市,建物,嘉義市嘉義市民生南路１０００號二樓之２１,0.0,住,,,1120721,土地0建物1車位0,二層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土構造,1070802,12.93,1,0,1,有,有,有,4000,309,,0.0,0,,RPPNMLOKQHIGFAI38CC,,,,,,
嘉義市,建物,嘉義市嘉義市民生南路１０００號五樓之２１,0.0,住,,,1120721,土地0建物1車位0,五層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土構造,1070802,12.93,1,0,1,有,有,有,4000,309,,0.0,0,,RPQNMLOKQHIGFAI48CC,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市友孝路２９６巷３９號,47.0,住,,,1120810,土地1建物1車位0,全,1,透天厝,住家用,木造,0571023,41.97,2,1,1,有,無,有,10000,238,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費由承租人負擔。,RPPNMLPKQHIGFAI48CC,,,,,,
嘉義市,建物,嘉義市嘉義市小雅路３４３號１１樓１３,0.0,住,,,1120802,土地0建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,26.93,1,0,1,有,有,有,4700,175,,0.0,0,嘉義市政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPTNMLPKQHIGFAI88CC,,,,,,
嘉義市,建物,嘉義市嘉義市東洋新?１２３之９號五樓４,0.0,住,,,1120802,土地0建物1車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780518,45.32,1,0,1,有,有,有,9000,199,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費及每月管理費600元由承租人另外負擔。,RPUNMLPKQHIGFAI98CC,,,,,,
嘉義市,建物,嘉義市嘉義市盧厝里東洋新?４６３號２樓２,0.0,住,,,1120803,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720708,37.84,1,0,1,有,有,有,7000,185,,0.0,0,嘉義市政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPVNMLPKQHIGFAI09CC,,,,,,
嘉義市,建物,嘉義市嘉義市蘭州四街７１號４樓７,0.0,住,,,1120807,土地0建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820111,54.33,1,0,1,有,有,有,9000,166,,0.0,0,嘉義市政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPWNMLPKQHIGFAI56CC,,,,,,
嘉義市,建物,嘉義市嘉義市西區西平里中興路７１６號,74.0,,,,1120815,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0821129,245.67,4,1,3,有,無,有,28000,114,,0.0,0,,RPXNMLPKQHIGFAI66CC,,,,,,
嘉義市,建物,嘉義市嘉義市光正街１２巷１６號,0.0,住,,,1120811,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0720809,41.4,1,1,1,有,無,有,10000,242,,0.0,0,此為透天，此次僅出租第一層，面積約為41.40平方公尺。電費、瓦斯費及每人每月水費100元皆為承租人負擔。,RPQNMLQKQHIGFAI68CC,,,,,,
嘉義市,建物,嘉義市嘉義市永康三街１９號６樓３,0.0,住,,,1120805,土地0建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810227,136.36,3,2,2,有,有,有,13000,95,升降平面,0.0,0,,RPRNMLQKQHIGFAI78CC,,,,,,
嘉義市,建物,嘉義市嘉義市西區新榮路３５巷１１號五樓之３,37.99,住,,,1120803,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,213.98000000000002,4,2,2,有,有,有,18000,84,坡道平面,0.0,0,起租日為112年8月11號起有ㄧ個含在大公設裡的平面車位可使用!,RPSNMLQKQHIGFAI88CC,,,,,,
嘉義市,建物,嘉義市嘉義市西區新榮路３５巷１１號五樓之３,0.0,住,,,1120803,土地0建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,213.98000000000002,4,2,2,有,有,有,18000,84,坡道平面,0.0,0,起租日為112年8月11號起有ㄧ個含在大公設裡的平面車位可使用!,RPPNMLRKQHIGFAI68CC,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市維和街１２巷９號,138.71,住,,,1120808,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0630527,102.17,4,2,1,有,無,有,12000,117,,0.0,0,嘉義市政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPQNMLRKQHIGFAI78CC,,,,,,
嘉義市,建物,嘉義市嘉義市杭州四街６４號,0.0,住,,,1120810,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,114.7,3,1,2,有,有,有,15000,131,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費及每月管理費1480元由承租人另外負擔。,RPRNMLRKQHIGFAI88CC,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市建成街５８巷３３號,112.11,住,,,1120808,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690108,92.12,2,2,1,有,無,有,11000,119,,0.0,0,嘉義市政府包租代管計畫；每月水電瓦斯費由承租人另外負擔。,RPSNMLRKQHIGFAI98CC,,,,,,
嘉義市,建物,嘉義市嘉義市安樂街６５號九樓１,0.0,住,,,1120816,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890111,145.56,3,2,2,有,有,有,11000,76,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費及每月管理費1300元皆由承租人負擔。,RPRNMLSKQHIGFAI98CC,,,,,,
嘉義市,建物,嘉義市嘉義市友平街２５號４樓３,0.0,住,,,1120814,土地0建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880510,35.04,1,0,1,有,有,有,7500,214,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費及每月管理費600元皆由承租人負擔。,RPSNMLSKQHIGFAI09CC,,,,,,
嘉義市,建物,嘉義市嘉義市八德路３０９號３樓,0.0,住,,,1120817,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830718,105.0,3,1,2,有,有,有,14500,138,,0.0,0,嘉義市政府包租代管計畫；水電瓦斯費、網路費及每月管理費1340元皆由承租人負擔。,RPPNMLMLQHIGFAI28CC,,,,,,
