編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLPKQHIGFAI56CC,車店段車店小段,.00,都市：住,,,,09120005
RPXNMLPKQHIGFAI66CC,劉厝段,74.00,,,,,00080048
RPVNMLPKQHIGFAI09CC,盧厝段,.00,都市：住,,,,02550010
RPQNMLOKQHIGFAI48CC,湖內段,.00,都市：住,,,,13940000
RPQNMLOKQHIGFAI48CC,湖內段,.00,都市：住,,,,13820003
RPTNMLPKQHIGFAI88CC,短竹段,.00,都市：住,,,,09120070
RPUNMLPKQHIGFAI98CC,盧厝段,.00,都市：住,,,,02440009
RPPNMLPKQHIGFAI48CC,北社尾段,47.00,都市：住,,,,07170003
RPPNMLOKQHIGFAI38CC,湖內段,.00,都市：住,,,,13940000
RPQNMLLKQHIGFAI18CC,西門段一小段,.00,都市：商,,,,00860001
RPPNMLOKQHIGFAI38CC,湖內段,.00,都市：住,,,,13820003
RPQNMLLKQHIGFAI18CC,西門段一小段,.00,都市：商,,,,00870001
RPRNMLLKQHIGFAI28CC,港子坪段港坪小段,27.23,都市：住,,,,01150000
RPQNMLQKQHIGFAI68CC,短竹段,.00,都市：住,,,,14450021
RPSNMLQKQHIGFAI88CC,新白川段,37.99,都市：住,,,,00100000
RPPNMLRKQHIGFAI68CC,新白川段,.00,都市：住,,,,00100000
RPQNMLRKQHIGFAI78CC,雲檜段,138.71,都市：住,,,,02660000
RPSNMLRKQHIGFAI98CC,垂楊段,112.11,都市：住,,,,04770000
RPRNMLRKQHIGFAI88CC,車店段車店小段,.00,都市：住,,,,00450000
RPRNMLSKQHIGFAI98CC,中山段三小段,.00,都市：住,,,,00250000
RPRNMLQKQHIGFAI78CC,港子坪段港坪小段,.00,都市：住,,,,01150000
RPSNMLSKQHIGFAI09CC,竹圍子段,.00,都市：住,,,,01760011
RPPNMLMLQHIGFAI28CC,竹圍子段一小段,.00,都市：住,,,,00030000
RPPNMLNLQHIGFAI38CC,湖內段,.00,都市：住,,,,13940000
RPPNMLNLQHIGFAI38CC,湖內段,.00,都市：住,,,,13820003
RPQNMLNLQHIGFAI48CC,湖內段,.00,都市：住,,,,13940000
RPQNMLNLQHIGFAI48CC,湖內段,.00,都市：住,,,,13820003
RPRNMLNLQHIGFAI58CC,湖內段,.00,都市：住,,,,13940000
RPRNMLNLQHIGFAI58CC,湖內段,.00,都市：住,,,,13820003
RPSNMLNLQHIGFAI68CC,下路頭段,.00,都市：住,,,,00970000
RPPNMLOLQHIGFAI48CC,新太平段,18.64,都市：住,,,,05410000
RPVNMLNLQHIGFAI98CC,湖內段,.00,都市：住,,,,13940000
RPVNMLNLQHIGFAI98CC,湖內段,.00,都市：住,,,,13820003
RPUNMLNLQHIGFAI88CC,短竹段,.00,都市：住,,,,16680000
RPUNMLNLQHIGFAI88CC,短竹段,.00,都市：住,,,,16690000
RPTNMLNLQHIGFAI78CC,新太平段,14.59,都市：住,,,,05410000
RPQNMLOLQHIGFAI58CC,北門段七小段,.00,都市：商,,,,00110000
RPSNMLOLQHIGFAI78CC,車店段車店小段,.00,都市：住,,,,00460056
RPRNMLOLQHIGFAI68CC,南田段,.00,都市：住,,,,14490000
RPTNMLOLQHIGFAI88CC,新白川段,.00,都市：住,,,,00050000
RPWNMLOLQHIGFAI56CC,竹圍子段中興小段,.00,都市：商,,,,01150000
RPUNMLOLQHIGFAI98CC,短竹段,.00,都市：住,,,,09120070
RPVNMLOLQHIGFAI09CC,車店段車店小段,.00,都市：住,,,,06760000
RPQNMLPLQHIGFAI68CC,北社尾段保安小段,.00,都市：其他:部分住宅區部分道路用地,,,,06120000
RPRNMLPLQHIGFAI78CC,竹圍子段,.00,都市：其他:市場用地,,,,01320036
RPPNMLPLQHIGFAI58CC,竹圍子段一小段,.00,都市：住,,,,00030000
RPTNMLSLQHIGFAI66CC,盧厝段,.00,都市：住,,,,02550010
RPPNMLSLQHIGFAI88CC,竹村段,.00,都市：住,,,,04770000
RPQNMLSLQHIGFAI98CC,下路頭段,.00,都市：住,,,,00970000
RPSNMLSLQHIGFAI56CC,北湖段,1058.00,都市：農,,,,04520000
RPUNMLSLQHIGFAI76CC,下路頭段,.00,都市：住,,,,00100230
