編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLKQHIGFAI28CC,升降平面,0,,地下一樓
RPSNMLQKQHIGFAI88CC,坡道平面,0,,地下一樓
RPPNMLRKQHIGFAI68CC,坡道平面,0,,地下一樓
RPRNMLQKQHIGFAI78CC,升降平面,0,,地下一樓
RPSNMLMKRHIGFAI58CC,坡道平面,0,,地下一樓
RPPNMLPKRHIGFAI58CC,一樓平面,0,,一樓
RPVNMLPLRHIGFAI66CC,坡道平面,0,,地下一樓
RPPNMLRLRHIGFAI88CC,坡道平面,0,,地下一樓
RPPNMLPLRHIGFAI78DC,坡道平面,0,,地下一樓
RPRNMLMKIIIGFAI67CC,坡道平面,0,,地下二樓
RPOOMLLKIIIGFAI37CC,坡道平面,0,,地下一樓
RPWNMLLKIIIGFAI08CC,一樓平面,0,,一樓
RPRNMLNLIIIGFAI87CC,升降機械,0,,地下一樓
RPVNMLPLIIIGFAI48CC,升降機械,0,,地下一樓
RPSNMLRLIIIGFAI38CC,坡道機械,0,,地下一樓
RPRNMLLJJIIGFAI57CC,坡道平面,0,,地下一樓
RPXNMLKKJIIGFAI18CC,坡道機械,0,,地下二樓
