編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLRKJIIGFDJ88DA,42,92.40,住家用,加強磚造,70年8月21日,二層,一層 二層,全筆移轉
SPXNMLRKJIIGFDJ66DA,,905.60,倉庫,磚造及鐵皮造,,一層,一層,全筆移轉
RPXNMLRKJIIGFDJ56DA,54,78.92,工廠,加強磚造、磚造水泥浪板、鐵架塑膠浪板,58年6月1日,一層,一層,全筆移轉
RPRPMLKKJIIGFBJ87DA,,43.78,集合住宅,鋼筋混凝土造,112年5月31日,十四層,四層 陽台,全筆移轉
RPRPMLKKJIIGFBJ87DA,,43.68,本共有部分之項目有停車空間、防空避難室兼停車空間、騎樓（連續性前廊）管委會空間、樓電梯間、梯間、水箱、消防水箱、電梯機械室等九項。,鋼筋混凝土造,112年5月31日,十五層,,持分移轉
RPRPMLKKJIIGFBJ87DA,,11.27,本共有部分之項目有樓電梯間一項。,鋼筋混凝土造,112年5月31日,十四層,,持分移轉
RPXNMLKLJIIGFDJ58DA,31,79.81,住家用,鋼筋混凝土造,81年7月10日,五層,一層 平台,全筆移轉
RPXNMLKLJIIGFDJ58DA,31,8.38,共用部分,鋼筋混凝土造,81年7月10日,五層,,持分移轉
RPRNMLLLJIIGFDJ08DA,29,42.94,住家用,鋼筋混凝土造,83年7月7日,三層,二層,持分移轉
RPWNMLRJJIIGFDJ98DA,19,3.77,停車空間,鋼筋混凝土造,93年7月5日,八層,,持分移轉
RPWNMLRJJIIGFDJ98DA,19,3.58,梯間、走道,鋼筋混凝土造,93年7月5日,七層,,持分移轉
RPWNMLRJJIIGFDJ98DA,19,1.81,走道,鋼筋混凝土造,93年7月5日,七層,,持分移轉
RPWNMLRJJIIGFDJ98DA,19,22.06,住家用,鋼筋混凝土造,93年7月5日,七層,六層 陽台,全筆移轉
RPVNMLLLJIIGFCJ38DA,30,11.69,共用部分,鋼筋混凝土造,82年12月27日,五層,,持分移轉
RPVNMLLLJIIGFCJ38DA,,86.36,住家用,鋼筋混凝土造,,四層,四層 陽台,全筆移轉
RPVNMLLLJIIGFCJ38DA,30,20.50,共用部分,鋼筋混凝土造,82年12月27日,四層,,持分移轉
RPQNMLNKJIIGFDJ08DA,2,33.65,集合住宅,鋼筋混凝土造,110年6月30日,七層,六層 陽台,全筆移轉
RPQNMLNKJIIGFDJ08DA,2,17.58,共用部分,鋼筋混凝土造,110年6月30日,七層,,持分移轉
RPSPMLOKJIIGFCJ48DA,24,89.88,住家用,鋼筋混凝土造,89年4月27日,五層,一層 陽台,全筆移轉
RPSPMLOKJIIGFCJ48DA,24,.02,管理室,鋼筋混凝土造,89年4月27日,五層,一層,持分移轉
RPSPMLOKJIIGFCJ48DA,24,13.82,共用部分,鋼筋混凝土造,89年4月27日,五層,,持分移轉
RPSPMLOKJIIGFCJ48DA,24,10.76,停車空間,鋼筋混凝土造,89年4月27日,五層,,持分移轉
RPSPMLOKJIIGFCJ48DA,24,25.22,停車空間,鋼筋混凝土造,89年4月27日,五層,,持分移轉
RPXPMLNLJIIGFBJ88DA,3,68.86,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,七層 陽台,全筆移轉
RPXPMLNLJIIGFBJ88DA,3,63.56,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,,持分移轉
RPSOMLMLJIIGFBJ18DA,56,63.90,住商用,加強磚造,56年7月1日,一層,一層,全筆移轉
