編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRJKIIGFBJ38EA,縣華段,1.47,都市：其他:第二種住宅區,1,1,全筆移轉,07630000
RPSNMLNKJIIGFCJ28EA,嘉樂段,5250.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,06570000
RPQNMLQKJIIGFCJ28DA,寶中段,72.01,都市：其他:道路用地,1,1,全筆移轉,03420000
RPPNMLRKJIIGFCJ38EA,南昌段,55.04,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01490001
RPTOMLPKJIIGFBJ48DA,太平段,172.81,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,432,35,持分移轉,06990000
RPUNMLRKJIIGFDJ88DA,永安段,73.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01710000
RPWNMLRKJIIGFDJ09DA,南安段,25.27,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,01030000
RPWNMLRKJIIGFDJ09DA,南安段,37.86,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,01040000
RPWNMLRKJIIGFDJ09DA,南安段,67.93,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01050000
RPWNMLRKJIIGFDJ09DA,南安段,215.12,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01090000
RPWNMLRKJIIGFDJ09DA,南安段,311.43,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01110000
RPWNMLRKJIIGFDJ09DA,南安段,213.77,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01130000
SPXNMLRKJIIGFDJ66DA,南安段,262.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01060000
SPXNMLRKJIIGFDJ66DA,南安段,27.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01070000
SPXNMLRKJIIGFDJ66DA,南安段,131.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01120000
SPXNMLRKJIIGFDJ66DA,南安段,.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01140000
SPXNMLRKJIIGFDJ66DA,南安段,376.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02690000
SPXNMLRKJIIGFDJ66DA,南安段,148.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02700000
RPXNMLRKJIIGFDJ56DA,北安段,181.07,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00520007
RPXNMLTJJIIGFBJ09DA,東安段,214.83,都市：其他:乙種工業區,1,1,全筆移轉,10220000
RPRPMLKKJIIGFBJ87DA,世興段,11.34,都市：其他:第二種商業區,100000,294,持分移轉,00300000
RPRNMLKLJIIGFCJ97EA,矺子段,2037.44,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,07320011
RPQNMLOKJIIGFDJ28EA,員興段,35.65,非都市：山坡地保育區 ; 非都市編定：農牧用地,3240,22,持分移轉,14320000
RPQNMLOKJIIGFDJ28EA,員興段,28.20,非都市：山坡地保育區 ; 非都市編定：農牧用地,3240,22,持分移轉,14360000
RPQNMLOKJIIGFDJ28EA,員興段,3.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,3240,22,持分移轉,14380000
RPQNMLOKJIIGFDJ28EA,員興段,1.03,非都市：特定農業區 ; 非都市編定：農牧用地,3240,22,持分移轉,14450000
RPQNMLOKJIIGFDJ28EA,新庄子段,3.18,非都市：特定農業區 ; 非都市編定：農牧用地,3240,44,持分移轉,14680000
RPXNMLKLJIIGFDJ58DA,中興段復興小段,30.40,非都市：工業區 ; 非都市編定：丁種建築用地,10000,613,持分移轉,00310000
RPRNMLLLJIIGFDJ08DA,八德段,39.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,1,持分移轉,12560000
RPPPMLLLJIIGFBJ87DA,正興段,2.03,都市：其他:第二種住宅區,1000,46,持分移轉,00460000
RPQPMLKLJIIGFBJ87DA,府前段,16.36,都市：其他:第二種住宅區,1,1,全筆移轉,02550000
RPWNMLRJJIIGFDJ98DA,綠園段,8.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,370,持分移轉,08630023
RPWNMLPKJIIGFDJ88DA,青埔子段,452.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,17900001
RPVNMLLLJIIGFCJ38DA,金福段,42.19,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,214,持分移轉,01170000
RPVNMLLLJIIGFCJ38DA,金福段,13.46,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,214,持分移轉,01440000
RPPNMLKKJIIGFBJ47DA,府前段,53.76,都市：其他:第二種住宅區,1,1,全筆移轉,05660000
RPPNMLKKJIIGFBJ47DA,府前段,89.42,都市：其他:第二種住宅區,1,1,全筆移轉,05660015
RPQNMLNKJIIGFDJ08DA,明新段,12.29,都市：其他:住宅區,100000,714,持分移轉,07180000
RPROMLLLJIIGFBJ97DA,正興段,38.54,都市：其他:道路用地,142664,2881,持分移轉,06150000
RPROMLLLJIIGFBJ97DA,正興段,1.41,都市：其他:道路用地,142664,2881,持分移轉,06150002
RPROMLLLJIIGFBJ97DA,正興段,10.83,都市：其他:道路用地,142664,2881,持分移轉,08800001
RPROMLLLJIIGFBJ97DA,正興段,30.76,都市：其他:道路用地,8,1,持分移轉,08800016
RPUVNLKKJIIGFCJ98DA,湖尾段,2526.57,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07500000
RPUVNLKKJIIGFCJ98DA,湖尾段,2517.24,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07500001
RPUVNLKKJIIGFCJ98DA,湖尾段,1009.36,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,2,持分移轉,07500004
RPSPMLOKJIIGFCJ48DA,四重段,35.45,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,289,持分移轉,08210000
RPXPMLNLJIIGFBJ88DA,水瀧段,11.47,都市：其他:第三種商業區,10000,18,持分移轉,15130000
RPSQMLOLJIIGFBJ58DA,台元段,4.96,都市：其他:文小用地,6,2,持分移轉,10900001
RPSQMLOLJIIGFBJ58DA,台元段,4.85,,6,2,持分移轉,10900005
RPSOMLMLJIIGFBJ18DA,雲埔段,88.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00740000
RPUNMLMLJIIGFDJ48DA,坑子口段,1588.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,17920000
RPQNMLMLJIIGFCJ08EA,園區段,100.10,都市：其他:住宅區,1,1,全筆移轉,05820018
RPVNMLNLJIIGFDJ68DA,文昌段,11.61,都市：其他:住宅區,100000,301,持分移轉,06020000
RPPNMLKLJIIGFBJ67EA,社北段,6.15,都市：其他:道路用地,676,117,持分移轉,06930000
RPPNMLMLJIIGFBJ87EA,公園段,9.71,都市：其他:第一種住宅區,10000,167,持分移轉,00940000
RPUNMLNLJIIGFCJ48DA,雞油凸段八分寮小段,250.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,00730000
RPTVMLOKJIIGFBJ09DA,東興段,3.44,,1,1,全筆移轉,04850000
RPPNMLSJJIIGFBJ18DA,和平段,59.20,都市：其他:道路用地,2,1,持分移轉,06880002
RPWNMLRKJIIGFCJ98DA,寶斗段,124.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,08910002
RPWRMLKLJIIGFBJ68DA,翰林段,27.86,都市：其他:第一種住宅區,100000,1804,持分移轉,08170000
RPWNMLRLJIIGFDJ56DA,坪頂段,4.59,都市：其他:住宅區,1,1,全筆移轉,02820000
RPPNMLOLJIIGFBJ08EA,社南段,21.34,,100,60,持分移轉,03210001
RPPNMLOLJIIGFBJ08EA,社南段,.63,,100,60,持分移轉,03210002
RPXNMLRLJIIGFDJ66DA,坪頂段,8.02,都市：其他:住宅區,1,1,全筆移轉,02810000
RPQOMLNKJIIGFBJ97DA,東安段,262.81,都市：其他:公園用地,140,5,持分移轉,00220000
RPRPMLKLJIIGFBJ97DA,東海窟段旱坑子小段,155.09,非都市：特定農業區 ; 非都市編定：農牧用地,1000,130,持分移轉,01050002
RPPNMLSKJIIGFCJ38DA,二坪段,318.89,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01600006
RPSNMLKLJIIGFCJ97DA,鄉所段,25.39,都市：其他:工業區,1,1,全筆移轉,01590003
RPPOMLOLJIIGFCJ28EA,新樂段水田小段,5340.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00110000
