鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,312.86,,鄉村區,國土保安用地,1120813,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,278.29,4,2,4,有,無,39890000,143340,,0.0,0,,RPVNMLNKQHIGFBJ98CB,壹山2K,K棟5號,
新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,200.0,,鄉村區,乙種建築用地,1120813,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,253.7,4,2,4,有,無,36890000,145408,,0.0,0,,RPOOMLNKQHIGFBJ38CB,壹山2I,I棟10號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘興段406地號,35.7,商,,,1120813,土地1建物1車位2,十六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,247.6,4,2,2,有,無,38280000,192370,坡道平面,74.6,5000000,,RPPNMLOKQHIGFBJ58DB,鼎東賦,A棟16號,
湖口鄉,房地(土地+建物),新竹縣湖口鄉嘉興路一段,21.66,,特定農業區,甲種建築用地,1120812,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.41,2,1,1,有,無,5500000,74922,,0.0,0,,RPQOMLPKQHIGFDJ98CB,讚時代,5H號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街二段88號旁,26.52,住,,,1120815,土地2建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.66,3,2,2,有,無,25000000,179817,坡道平面,40.64,1800000,,RPUNMLQKQHIGFBJ56CB,嘉頤家宜,A棟3號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路二段389號旁,16.84,住,,,1120812,土地3建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.55,2,2,2,有,無,20560000,199285,坡道平面,26.41,1600000,,RPRNMLRKQHIGFBJ98CB,春福川玥,A2棟12F號,
新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,199.95,,鄉村區,乙種建築用地,1120814,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,253.7,4,2,4,有,無,37490000,147773,,0.0,0,,RPUOMLRKQHIGFBJ76CB,壹山2I,I棟1號,
芎林鄉,房地(土地+建物),新竹縣芎林鄉綠獅三街28巷,76.53,,鄉村區,乙種建築用地,1120812,土地2建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,210.12,4,2,4,有,無,24200000,115172,,0.0,0,,RPPNMLRKQHIGFCJ98DB,景好3期,A棟5號,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.92,商,,,1120812,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.09,2,2,1,有,無,10400000,99279,坡道平面,27.66,1720000,,RPSNMLSKQHIGFBJ56CB,竹科臻邦,C6棟4F號,
新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,200.0,,鄉村區,乙種建築用地,1120815,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,253.7,4,2,4,有,無,37070000,146117,,0.0,0,,RPWNMLSKQHIGFBJ96CB,壹山2I,I棟9號,
新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,200.0,,鄉村區,乙種建築用地,1120815,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,253.7,4,2,4,有,無,38070000,150059,,0.0,0,,RPXNMLSKQHIGFBJ07CB,壹山2H,H棟6號,
新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,200.0,,鄉村區,乙種建築用地,1120817,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,253.7,4,2,4,有,無,38370000,151242,,0.0,0,,RPOOMLSKQHIGFBJ88CB,壹山2H,H棟1號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮敦睦街2巷旁,26.99,住,,,1120815,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.42,2,2,1,有,無,10590000,98226,坡道平面,27.19,2120000,,RPRNMLSKQHIGFCJ56CB,恆顧長春首席,A棟2號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明十一路86巷,40.3,住,,,1120811,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.9,3,2,2,有,無,19500000,150039,坡道平面,37.13,1980000,,RPOOMLTKQHIGFBJ98CB,漫漫美,B棟4F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明十一路86巷,40.3,住,,,1120811,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.9,3,2,2,有,無,19850000,152351,坡道平面,37.13,2060000,,RPPOMLTKQHIGFBJ09CB,漫漫美,B棟6F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明十一路86巷,40.3,住,,,1120811,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,150.93,3,2,2,有,無,19130000,147555,坡道平面,34.16,1900000,,RPROMLTKQHIGFBJ66CB,漫漫美,B棟3F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市公園段1081地號,35.86,住,,,1120814,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,146.6,3,2,2,有,無,26160000,187904,坡道機械,12.17,900000,,RPQNMLLLQHIGFBJ38CB,森美學,B棟3號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,94.89,,山坡地保育區,丙種建築用地,1120814,土地8建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,264.03,4,2,3,有,無,31570000,122260,坡道平面,17.67,1450000,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之38.96。,RPPNMLLLQHIGFCJ38CB,宏道新竹帝寶8區3號,F1棟3F號,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉金獅十街,71.23,,鄉村區,乙種建築用地,1120819,土地3建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,,226.09,4,2,2,有,無,24800000,109691,一樓平面,0.0,0,,RPWOMLLLQHIGFCJ56CB,緣好,A棟2號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市馬麟厝段547地號,26.5,,特定農業區,甲種建築用地,1120817,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.24,3,2,2,有,無,14200000,118301,坡道平面,37.0,1750000,,RPTNMLMLQHIGFBJ78CB,日光富御,C棟0號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市豐田段190地號,45.89,,特定農業區,甲種建築用地,1120812,土地2建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.89,3,2,2,有,無,14500000,100943,坡道平面,17.6,1550000,,RPWNMLMLQHIGFBJ09CB,日光天晴,D棟0號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,16.27,其他,,,1120817,土地2建物1車位2,一層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,152.31,2,1,1,有,無,12090000,111001,坡道平面,71.59,3130000,,RPPNMLMLQHIGFCJ48CB,星都?C區,3Q棟1F號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,16.27,其他,,,1120814,土地2建物1車位1,三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,115.14,2,1,1,有,無,10640000,114718,坡道平面,34.42,1380000,,RPQNMLMLQHIGFCJ58CB,星都?C區,3Q棟3F號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,24.05,其他,,,1120813,土地2建物1車位1,十三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,154.44,3,1,2,有,無,15200000,115147,坡道平面,34.42,1380000,,RPRNMLMLQHIGFCJ68CB,星都?C區,3J棟13F號,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,20.66,,一般農業區,甲種建築用地,1120812,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.42,2,2,1,有,無,7680000,78314,坡道平面,21.23,1400000,,RPQNMLMLQHIGFDJ68CB,心豐花園,B3棟2F號,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,20.66,,一般農業區,甲種建築用地,1120813,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.39,2,2,1,有,無,7790000,79561,坡道平面,22.2,1410000,,RPRNMLMLQHIGFDJ78CB,心豐花園,B3棟4F號,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街35號旁巷道內,21.37,,一般農業區,甲種建築用地,1120813,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.16,2,2,1,有,無,8160000,80762,坡道平面,22.2,1460000,,RPSNMLMLQHIGFDJ88CB,心豐花園,E2棟3F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街二段88號旁,26.61,住,,,1120821,土地2建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.83,3,2,2,有,無,25880000,179852,坡道平面,50.39,2600000,,RPTNMLNLQHIGFBJ88CB,嘉頤家宜,C棟6號,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.92,商,,,1120813,土地1建物1車位2,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.75,2,2,1,有,無,11800000,99051,坡道平面,55.32,3140000,,RPOOMLNLQHIGFBJ48CB,竹科臻邦,C6棟3F號,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,16.05,商,,,1120813,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.59,3,2,2,有,無,15060000,103863,坡道平面,26.67,1670000,,RPPOMLNLQHIGFBJ58CB,竹科臻邦,A5棟7F號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮敦睦街2巷,35.2,住,,,1120813,土地2建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.59,3,2,2,有,無,10930000,96257,升降機械,3.87,850000,,RPPNMLNLQHIGFCJ58CB,弘揚睦,E棟3號,
芎林鄉,房地(土地+建物),新竹縣芎林鄉文富街,76.51,住,,,1120813,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,208.82,6,2,3,有,無,29980000,143569,,0.0,0,,RPRNMLNLQHIGFCJ78CB,綠光森林33文富傑邸,A棟3號,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉中崙段1504-3、1504-4地號,41.43,,特定農業區,甲種建築用地,1120822,土地2建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.89,3,2,2,有,無,8050000,64222,其他,5.0,800000,,RPPNMLNLQHIGFDJ68CB,飛翔,C棟3號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,20.67,住,,,1120812,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.8,2,2,1,有,無,9580000,97098,坡道平面,27.1,1550000,,RPRNMLNLQHIGFDJ88CB,昕承,A棟A2-2F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,31.11,住,,,1120814,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.5,3,2,2,有,無,13320000,95016,坡道平面,27.1,1500000,,RPSNMLNLQHIGFDJ98CB,昕承,B棟B3-7F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,31.11,住,,,1120814,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.5,3,2,2,有,無,13450000,95659,坡道平面,27.1,1550000,,RPTNMLNLQHIGFDJ09CB,昕承,A棟A1-10F號,
