編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLRKQHIGFBJ76CB,下寮段,139.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05340120
RPUOMLRKQHIGFBJ76CB,下寮段,59.98,非都市：鄉村區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05400089
RPRNMLRKQHIGFBJ98CB,自強段,1.70,都市：住,100000,661,持分移轉,02680000
RPRNMLRKQHIGFBJ98CB,自強段,1.07,都市：住,100000,661,持分移轉,02690000
RPRNMLRKQHIGFBJ98CB,自強段,14.06,都市：住,100000,661,持分移轉,02810000
RPUNMLQKQHIGFBJ56CB,大學段,7.05,都市：住,100000,3243,持分移轉,06180000
RPUNMLQKQHIGFBJ56CB,大學段,19.46,都市：住,100000,3243,持分移轉,06190000
RPVNMLNKQHIGFBJ98CB,下寮段,140.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05430015
RPVNMLNKQHIGFBJ98CB,下寮段,172.86,非都市：鄉村區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05350092
RPOOMLNKQHIGFBJ38CB,下寮段,140.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05340112
RPOOMLNKQHIGFBJ38CB,下寮段,60.00,非都市：鄉村區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05400081
RPSNMLSKQHIGFBJ56CB,福田段,10.92,都市：商,100000,364,持分移轉,03710000
RPOOMLSKQHIGFBJ88CB,下寮段,140.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05420028
RPOOMLSKQHIGFBJ88CB,下寮段,60.00,非都市：鄉村區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05350149
RPPOMLTKQHIGFBJ09CB,省道段,40.30,都市：住,10000,625,持分移轉,09770000
RPWNMLSKQHIGFBJ96CB,下寮段,140.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05340113
RPWNMLSKQHIGFBJ96CB,下寮段,60.00,非都市：鄉村區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05400082
RPXNMLSKQHIGFBJ07CB,下寮段,140.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05420024
RPXNMLSKQHIGFBJ07CB,下寮段,60.00,非都市：鄉村區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05350145
RPOOMLTKQHIGFBJ98CB,省道段,40.30,都市：住,10000,625,持分移轉,09770000
