鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,建物,新竹縣竹北市三民路１４６號四樓,0.0,住,,,1120807,土地0建物1車位3,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040917,298.19,3,2,2,有,有,有,53000,224,坡道平面,94.83,7500,,RPQNMLLKQHIGFBJ38CC,,,,,,
竹北市,建物,新竹縣竹北市嘉豐十路５２號２樓,0.0,商,,,1120812,土地0建物1車位1,見其他登記事項,23,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110701,178.0,2,2,2,有,有,有,47000,264,坡道平面,0.0,0,,RPPNMLOKQHIGFBJ58CC,,,,,,
新埔鎮,建物,新竹縣新埔鎮義民路一段８０巷３號,0.0,,,,1120815,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,1040330,368.78,0,0,0,無,無,無,35000,95,,0.0,0,,RPPNMLPKQHIGFBJ68CC,,,,,,
竹東鎮,建物,新竹縣竹東鎮五豐街４５號,0.0,住,,,1120810,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0830629,234.61,5,2,3,有,無,有,18000,77,,0.0,0,水電瓦斯費由承租人負擔。,RPPNMLPKQHIGFCJ78CC,,,,,,
竹東鎮,建物,新竹縣竹東鎮長春路二段３５巷６號,0.0,商,,,1120716,土地0建物1車位0,全,2,透天厝,商業用,鋼筋混凝土造,,27.8,2,1,1,有,無,有,6000,216,,0.0,0,,RPQNMLPKQHIGFCJ88CC,,,,,,
湖口鄉,建物,新竹縣湖口鄉新興路５４２號,0.0,,,,1120809,土地0建物1車位0,全,5,透天厝,店舖、住宅、停車空間,鋼筋混凝土造,0950913,87.7,1,1,1,有,無,無,18000,205,,0.0,0,,RPPNMLPKQHIGFDJ88CC,,,,,,
竹北市,建物,新竹縣竹北市莊敬五街５１號六樓,0.0,商,,,1120804,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940923,147.24,3,2,2,有,有,有,31000,211,坡道平面,0.0,0,,RPPNMLQKQHIGFBJ78CC,,,,,,
竹北市,建物,新竹縣竹北市福興路８６７號二樓之三,0.0,住,,,1120718,土地0建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961024,31.22,1,1,1,有,有,有,8000,256,,0.0,0,,RPPNMLRKQHIGFBJ88CC,,,,,,
竹北市,房地(土地+建物),新竹縣竹北市中華路１２５巷４６弄１８號,62.11,住,,,1120811,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0641001,88.88,6,2,2,有,無,有,25000,281,,0.0,0,,RPQNMLRKQHIGFBJ98CC,,,,,,
湖口鄉,建物,新竹縣湖口鄉松江一街１８號四樓,0.0,,工業區,丁種建築用地,1120719,土地0建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800201,105.99000000000001,3,2,2,有,有,有,15000,142,,0.0,0,,RPPNMLRKQHIGFDJ09CC,,,,,,
竹北市,建物,新竹縣竹北市嘉豐七街１６號,115.6,住,,,1120815,土地0建物1車位1,見其他登記事項,3,店面(店鋪),商業用,鋼筋混凝土造,0980121,115.6,1,1,2,有,有,有,45500,394,坡道平面,0.0,0,,RPPNMLSKQHIGFBJ98CC,,,,,,
竹北市,建物,新竹縣竹北市嘉興二街９號７樓,0.0,住,,,1120811,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,148.03,2,2,1,有,有,有,30000,203,坡道平面,28.1,0,,RPQNMLSKQHIGFBJ09CC,,,,,,
竹北市,建物,新竹縣竹北市高鐵五路１００號２F-３,0.0,住,,,1120814,土地0建物1車位1,二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100601,158.53,3,2,2,有,有,有,35000,221,坡道平面,32.22,0,,RPRNMLSKQHIGFBJ56CC,,,,,,
竹北市,建物,新竹縣竹北市科大二街３１號,0.0,住,,,1120808,土地0建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,1030722,94.24000000000001,1,1,1,有,有,無,32000,340,,0.0,0,含增建或未登記建物。；,RPSNMLSKQHIGFBJ66CC,,,,,,
竹北市,建物,新竹縣竹北市隘口一街５號九樓之１,0.0,住,,,1120719,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970310,63.510000000000005,2,1,1,有,有,有,15000,236,,0.0,0,,RPTNMLSKQHIGFBJ76CC,,,,,,
竹北市,建物,新竹縣竹北市莊敬北路５７３號１樓,0.0,,,,1120811,土地0建物1車位0,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1041105,80.39,0,0,2,有,無,無,47000,585,,0.0,0,,RPVNMLSKQHIGFBJ96CC,,,,,,
竹北市,建物,新竹縣竹北市三民路８４號四樓之一,0.0,住,,,1120720,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710901,96.28999999999999,3,2,1,有,無,有,15000,156,,0.0,0,,RPWNMLSKQHIGFBJ07CC,,,,,,
竹北市,建物,新竹縣竹北市泰和一街５０巷１６弄５號,0.0,住,,,1120720,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0820730,206.76,4,2,5,有,無,有,24000,116,,0.0,0,,RPXNMLSKQHIGFBJ17CC,,,,,,
竹北市,建物,新竹縣竹北市縣政七街９號二樓之六,0.0,商,,,1120721,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0941028,33.14,1,1,1,有,有,有,13000,392,,0.0,0,,RPOOMLSKQHIGFBJ98CC,,,,,,
竹北市,建物,新竹縣竹北市莊敬五街４９之１號四樓,0.0,商,,,1120721,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940923,101.97999999999999,2,2,2,有,有,有,19000,186,,0.0,0,,RPPOMLSKQHIGFBJ09CC,,,,,,
湖口鄉,建物,新竹縣湖口鄉興華街１３號二樓,0.0,,工業區,丁種建築用地,1120721,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800905,184.2,3,1,2,有,無,有,15500,84,,0.0,0,,RPQNMLSKQHIGFDJ66CC,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山路一段６１８號十三樓之１０,2821.74,商,,,1120801,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081224,148.12,3,2,2,有,無,有,25500,172,坡道平面,0.0,0,,RPPNMLSKQHIGFDJ66DC,,,,,,
竹北市,建物,新竹縣竹北市六家一路１段１４０號１５樓之二,0.0,商,,,1120723,土地0建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000707,96.73,1,1,1,有,有,有,17000,176,,0.0,0,,RPPNMLLLQHIGFBJ38CC,,,,,,
竹北市,建物,新竹縣竹北市民權街１７巷１號四樓之一,0.0,商,,,1120725,土地0建物1車位0,四層,19,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840420,66.3,2,1,1,有,有,有,15000,226,,0.0,0,,RPQNMLLLQHIGFBJ48CC,,,,,,
