編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSKQHIGFBJ98CC,坡道平面,0,,地下二樓
RPPNMLOKQHIGFBJ58CC,坡道平面,0,,地下三樓
RPPNMLQKQHIGFBJ78CC,坡道平面,0,,地下二樓
RPQNMLLKQHIGFBJ38CC,坡道平面,0,31.61,地下三樓
RPQNMLLKQHIGFBJ38CC,坡道平面,0,31.61,地下三樓
RPQNMLLKQHIGFBJ38CC,坡道平面,0,31.61,地下三樓
RPQNMLSKQHIGFBJ09CC,坡道平面,0,28.10,地下四樓
RPRNMLSKQHIGFBJ56CC,坡道平面,0,32.22,地下二樓
RPPNMLMLQHIGFBJ48CC,坡道平面,0,,地下一樓
RPPNMLMLQHIGFBJ48CC,坡道平面,0,,地下一樓
RPPNMLMLQHIGFBJ48CC,坡道平面,0,,地下二樓
RPPNMLMLQHIGFBJ48CC,坡道平面,0,,地下二樓
RPPNMLMLQHIGFBJ48CC,坡道平面,0,,地下二樓
RPPNMLMLQHIGFBJ48CC,坡道平面,0,,地下二樓
RPPNMLMLQHIGFBJ48CC,坡道平面,0,,地下二樓
RPPNMLSKQHIGFDJ66DC,坡道平面,0,,地下三樓
RPPNMLQLQHIGFBJ88CC,坡道平面,0,,地下一樓
RPQNMLTLQHIGFBJ66CC,坡道平面,0,25.00,地下二樓
RPQNMLQLQHIGFBJ98CC,坡道平面,0,,地下二樓
RPRNMLQLQHIGFBJ09CC,坡道平面,0,,地下一樓
RPSNMLTLQHIGFBJ86CC,坡道平面,0,30.03,地下五樓含以下
RPPNMLSJRHIGFDJ56CC,坡道平面,0,,地下二樓
RPPNMLMJRHIGFBJ38CC,坡道平面,0,,地下三樓
RPPNMLMJRHIGFBJ38CC,坡道平面,0,,地下三樓
RPPNMLRJRHIGFBJ88CC,坡道平面,0,,地下一樓
RPPNMLOJRHIGFBJ58CC,坡道平面,0,,地下一樓
RPQNMLRJRHIGFBJ98CC,一樓平面,0,,一樓
RPQNMLKMQHIGFBJ48CC,坡道平面,0,,地下一樓
RPPNMLOKRHIGFBJ68CC,坡道平面,0,30.35,地下四樓
RPQNMLRKRHIGFBJ09CC,坡道平面,0,28.80,地下二樓
RPPNMLQKRHIGFBJ88CC,坡道平面,0,,地下二樓
RPQNMLSKRHIGFBJ56CC,坡道平面,0,28.09,地下三樓
RPPNMLSKRHIGFBJ09CC,坡道平面,0,31.02,地下一樓
RPRNMLSKRHIGFBJ66CC,坡道平面,0,18.69,地下二樓
RPSNMLSKRHIGFBJ76CC,坡道平面,0,34.97,地下三樓
RPPNMLSKRHIGFDJ76DC,坡道機械,0,,地下二樓
RPPNMLSKRHIGFDJ76DC,坡道機械,0,,地下二樓
RPPNMLTKRHIGFBJ56CC,坡道平面,0,,地下三樓
RPQNMLTKRHIGFBJ66CC,坡道平面,0,,地下一樓
RPQNMLTKRHIGFBJ66CC,坡道平面,0,,地下一樓
RPPNMLOLQHIGFBJ78DC,坡道平面,0,,地下二樓
RPQNMLNLRHIGFBJ78CC,坡道平面,0,,地下一樓
RPPNMLQLRHIGFBJ98CC,坡道平面,0,33.53,地下二樓
RPQNMLSLRHIGFBJ66CC,坡道平面,0,,地下一樓
RPQNMLSLRHIGFBJ66CC,坡道平面,0,,地下一樓
RPQNMLSLRHIGFBJ66CC,坡道平面,0,,地下一樓
RPRNMLNJIIIGFDJ08CC,坡道機械,0,,地下一樓
RPPNMLSKRHIGFDJ66CC,坡道平面,0,25.53,地下一樓
RPPNMLSKRHIGFDJ66CC,坡道平面,0,25.53,地下一樓
RPUNMLOJIIIGFBJ28CC,坡道平面,0,28.58,地下二樓
RPTNMLOJIIIGFBJ18CC,坡道平面,0,34.50,地下三樓
RPRNMLPJIIIGFBJ08CC,一樓平面,300,1.30,一樓
RPSNMLQJIIIGFBJ28CC,坡道平面,0,31.93,地下三樓
RPVNMLOJIIIGFBJ38CC,一樓平面,0,,一樓
RPVNMLOJIIIGFBJ38CC,一樓平面,0,,一樓
RPQNMLLKIIIGFBJ67CC,坡道平面,0,,地下一樓
RPPNMLNKIIIGFBJ77CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPPNMLTKIIIGFDJ58CC,升降平面,0,138.21,地下一樓
RPRPMLSKIIIGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLPLIIIGFCJ28CC,坡道平面,0,,地下二樓
RPOOMLQLIIIGFBJ18CC,坡道平面,0,32.73,地下三樓
RPQNMLOLIIIGFBJ08CC,坡道平面,0,24.96,地下三樓
RPPNMLKMIIIGFBJ67CC,坡道機械,0,,地下二樓
RPSNMLRLIIIGFBJ58CC,坡道平面,0,,地下二樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下一樓
