編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLRJJIIGFFK76DA,52,111.33,住家用,鋼筋混凝土加強磚造,61年3月10日,二層,一層 二層 浴廁,全筆移轉
RPPNMLLKJIIGFDK87DA,22,20.71,住家用,鋼筋混凝土造,91年4月17日,四層,一層 平台,全筆移轉
RPPNMLLKJIIGFDK87DA,22,6.17,樓梯間、走廊、機械室,鋼筋混凝土造,91年4月17日,四層,,持分移轉
RPSOMLNKJIIGFDK48DA,19,15.79,住家用,鋼筋混凝土造,93年6月23日,三層,三層 陽台 雨遮,全筆移轉
RPSOMLNKJIIGFDK48DA,19,4.62,樓梯間，走廊,鋼筋混凝土造,93年6月23日,三層,,持分移轉
RPPNMLTJJIIGFBK38DA,17,155.07,住家用,鋼筋混凝土造,95年12月29日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLQKJIIGFDK68DA,43,191.70,住商用,鋼筋混凝土造,69年7月25日,二層,一層 二層 三層 騎樓,全筆移轉
RPRNMLKLJIIGFCK97DA,28,115.12,住家用,鋼筋混凝土造,84年10月3日,二層,一層 二層 屋頂突出物,全筆移轉
RPRNMLQKJIIGFDK58DA,20,21.07,住家用,鋼筋混凝土造,93年5月13日,三層,二層 陽台 雨遮,全筆移轉
RPRNMLQKJIIGFDK58DA,20,7.07,樓梯間，走廊,鋼筋混凝土造,93年5月13日,三層,,持分移轉
RPOOMLPKJIIGFBK08DA,,57.85,住家用,鋼筋混凝土造,,一層,一層,全筆移轉
RPSNMLRKJIIGFBK58DA,9,103.99,住家用,鋼筋混凝土造,103年8月12日,五層,五層 陽台,全筆移轉
RPSNMLRKJIIGFBK58DA,9,29.45,本共有部分之項目有樓梯間,鋼筋混凝土造,103年8月12日,五層,,持分移轉
RPWNMLPKJIIGFBK78DA,38,91.30,住家用,鋼筋混凝土造,74年6月24日,五層,三層 陽台,全筆移轉
RPWNMLPKJIIGFBK78DA,38,12.97,住家用,鋼筋混凝土造,74年6月24日,五層,,持分移轉
RPQNMLNLJIIGFBK08DA,,126.11,住家用,加強磚造,,二層,一層 二層 見其他登記事項,全筆移轉
RPPNMLRKJIIGFCK38DA,30,202.28,住家用,鋼筋混凝土造,83年1月8日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物,全筆移轉
RPPOMLNKJIIGFDK18DA,22,21.72,住家用,鋼筋混凝土造,90年6月29日,三層,二層 陽台,全筆移轉
RPPOMLNKJIIGFDK18DA,22,21.12,住家用,鋼筋混凝土造,90年6月29日,三層,二層 陽台,全筆移轉
RPPOMLNKJIIGFDK18DA,22,6.35,樓梯間，屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,持分移轉
