編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMJJIIGFBK77DA,聯大段,4083.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10270000
RPXNMLRJJIIGFFK76DA,中山段,18.35,都市：其他:商業區,1,1,全筆移轉,03050000
RPXNMLRJJIIGFFK76DA,中山段,61.46,都市：其他:商業區,1,1,全筆移轉,03130000
RPXNMLRJJIIGFFK76DA,中山段,2.09,都市：其他:商業區,1,1,全筆移轉,03230000
RPPNMLLKJIIGFDK87DA,淡文湖段,17.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,127,持分移轉,09240004
RPUOMLTJJIIGFFK76DA,中央段,39.83,都市：其他:公園用地,40,3,持分移轉,08580000
RPUOMLTJJIIGFFK76DA,中央段,3.06,都市：其他:公園用地,40,3,持分移轉,08600000
RPUOMLTJJIIGFFK76DA,中央段,1.37,都市：其他:公園用地,40,3,持分移轉,08610000
RPUOMLTJJIIGFFK76DA,中央段,45.29,都市：其他:公園用地,60,7,持分移轉,08620000
RPUOMLTJJIIGFFK76DA,德義段,138.56,都市：其他:公園用地,120,11,持分移轉,10050000
RPUOMLTJJIIGFFK76DA,德義段,4.58,都市：其他:公園用地,60,7,持分移轉,10070000
RPSNMLKKJIIGFDK08DA,龍鳳東段,223.60,都市：其他:道路用地,10000,5945,持分移轉,16560000
RPSOMLNKJIIGFDK48DA,淡文湖段,14.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,90,1,持分移轉,09240039
RPPNMLTJJIIGFBK38DA,中義段,94.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01590000
RPPNMLTJJIIGFBK38DA,中義段,15.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,196,15,持分移轉,01730000
RPSNMLQKJIIGFDK68DA,新博愛段,100.90,都市：其他:住宅區,1,1,全筆移轉,00020000
RPQNMLLLJIIGFCK97DA,土城段,2969.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09370031
RPQNMLQKJIIGFCK38DA,五里牌段隘口寮小段,28.51,非都市：山坡地保育區 ; 非都市編定：農牧用地,336,13,持分移轉,01580000
RPQNMLQKJIIGFCK38DA,五里牌段隘口寮小段,7.62,非都市：山坡地保育區 ; 非都市編定：農牧用地,336,13,持分移轉,01630001
RPQNMLQKJIIGFCK38DA,五里牌段隘口寮小段,144.43,非都市：山坡地保育區 ; 非都市編定：農牧用地,336,13,持分移轉,01650007
RPQNMLQKJIIGFCK38DA,五里牌段隘口寮小段,5.34,非都市：山坡地保育區 ; 非都市編定：農牧用地,336,13,持分移轉,01650008
RPQNMLQKJIIGFCK38DA,五里牌段隘口寮小段,3.79,非都市：山坡地保育區 ; 非都市編定：農牧用地,336,13,持分移轉,01650009
RPQNMLQKJIIGFCK38DA,五里牌段隘口寮小段,95.53,非都市：山坡地保育區 ; 非都市編定：農牧用地,336,13,持分移轉,01650010
