編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKQHIGFFK98CB,公園段,16.70,都市：商,1000000,5676,持分移轉,00270000
RPQNMLOKQHIGFFK09CB,公園段,16.70,都市：商,1000000,5676,持分移轉,00270000
RPWNMLOKQHIGFBK66CB,明駝段,30.22,都市：住,10000,142,持分移轉,00030000
RPXNMLOKQHIGFBK76CB,明駝段,30.43,都市：住,10000,143,持分移轉,00030000
RPVNMLOKQHIGFBK56CB,明駝段,30.22,都市：住,10000,142,持分移轉,00030000
RPPOMLOKQHIGFBK68CB,明駝段,30.22,都市：住,10000,142,持分移轉,00030000
RPPNMLRKQHIGFDK09CB,二張犁段,84.00,都市：農,1,1,全筆移轉,01320025
RPPNMLRKQHIGFDK09CB,二張犁段,22.06,都市：農,100000,2385,持分移轉,01320000
RPPNMLRKQHIGFDK09CB,二張犁段,.20,都市：農,64,1,持分移轉,01320036
RPTNMLQKQHIGFDK76CB,龍頂段,41.31,都市：住,10000,354,持分移轉,01260000
RPUNMLQKQHIGFDK86CB,龍頂段,42.12,都市：住,10000,361,持分移轉,01260000
RPQNMLSKQHIGFCK66DB,苑東段,34.47,都市：住,36,1,持分移轉,03970000
RPPNMLKLQHIGFBK28CB,明駝段,30.22,都市：住,10000,142,持分移轉,00030000
RPQNMLKLQHIGFBK38CB,明駝段,30.43,都市：住,10000,143,持分移轉,00030000
RPQOMLOKQHIGFFK56CB,公園段,9.28,都市：商,1000000,3155,持分移轉,00270000
RPOOMLOKQHIGFFK98CB,公園段,9.28,都市：商,1000000,3155,持分移轉,00270000
RPROMLOKQHIGFFK66CB,公園段,9.28,都市：商,1000000,3155,持分移轉,00270000
RPQNMLRKQHIGFFK76CB,正興段,1.05,都市：住,100000,9926,持分移轉,10700000
RPQNMLRKQHIGFFK76CB,正興段,37.98,都市：住,100000,9926,持分移轉,10710000
RPPOMLSKQHIGFFK86CB,公園段,13.90,都市：商,1000000,4724,持分移轉,00270000
RPXOMLLLQHIGFDK86CB,二張犁段,84.00,都市：農,1,1,全筆移轉,01320021
RPXOMLLLQHIGFDK86CB,二張犁段,22.06,都市：農,100000,2385,持分移轉,01320000
RPXOMLLLQHIGFDK86CB,二張犁段,.20,都市：農,64,1,持分移轉,01320036
RPOOMLLLQHIGFFK78CB,公園段,15.07,都市：商,1000000,5121,持分移轉,00270000
RPQOMLLLQHIGFFK98CB,公園段,13.90,都市：商,1000000,4724,持分移轉,00270000
RPUNMLSKQHIGFDK07CB,維新段,21.76,都市：住,10000000,209625,持分移轉,12140000
RPPOMLLLQHIGFFK88CB,公園段,15.07,都市：商,1000000,5121,持分移轉,00270000
RPXPMLRKQHIGFDK47CB,龍椅段,61.53,都市：住,100000,7119,持分移轉,03670000
