編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKQHIGFFK98CB,坡道平面,1650000,23.26,地下一樓
RPPNMLOKQHIGFFK98CB,坡道平面,1650000,23.26,地下一樓
RPQNMLOKQHIGFFK09CB,坡道平面,1450000,23.26,地下三樓
RPQNMLOKQHIGFFK09CB,坡道平面,1350000,21.40,地下三樓
RPWNMLOKQHIGFBK66CB,坡道平面,980000,31.00,地下二樓
RPXNMLOKQHIGFBK76CB,坡道平面,980000,34.00,地下二樓
RPVNMLOKQHIGFBK56CB,坡道平面,980000,34.00,地下二樓
RPPOMLOKQHIGFBK68CB,坡道平面,980000,34.00,地下二樓
RPTNMLQKQHIGFDK76CB,一樓平面,1300000,19.61,一樓
RPUNMLQKQHIGFDK86CB,一樓平面,1300000,19.61,一樓
RPQNMLSKQHIGFCK66DB,其他,600000,7.00,一樓
RPPNMLKLQHIGFBK28CB,坡道平面,980000,34.00,地下二樓
RPQNMLKLQHIGFBK38CB,坡道平面,980000,34.00,地下二樓
RPQOMLOKQHIGFFK56CB,坡道機械,750000,13.96,地下四樓
RPOOMLOKQHIGFFK98CB,坡道機械,750000,13.96,地下四樓
RPROMLOKQHIGFFK66CB,坡道平面,1250000,21.40,地下四樓
RPQNMLRKQHIGFFK76CB,一樓平面,0,7.62,一樓
RPPOMLSKQHIGFFK86CB,坡道平面,1550000,23.26,地下二樓
RPOOMLLLQHIGFFK78CB,坡道平面,1550000,23.26,地下二樓
RPQOMLLLQHIGFFK98CB,坡道平面,1450000,23.26,地下三樓
RPUNMLSKQHIGFDK07CB,一樓平面,1400000,20.09,一樓
RPPOMLLLQHIGFFK88CB,坡道平面,1550000,23.26,地下二樓
RPXPMLRKQHIGFDK47CB,一樓平面,0,,一樓
RPSOMLLLQHIGFFK56CB,坡道平面,1450000,23.26,地下三樓
RPROMLLLQHIGFFK09CB,坡道平面,1450000,23.26,地下三樓
RPXNMLLLQHIGFFK96CB,坡道平面,1550000,23.26,地下二樓
RPSNMLMLQHIGFFK56CB,坡道平面,1450000,28.29,地下二樓
RPUNMLMLQHIGFFK76CB,坡道平面,1450000,28.29,地下二樓
RPUOMLLLQHIGFFK76CB,坡道平面,1350000,23.26,地下四樓
RPTNMLMLQHIGFFK66CB,坡道平面,1450000,28.29,地下二樓
RPQNMLMLQHIGFFK98CB,坡道平面,1450000,28.29,地下二樓
RPPNMLMLQHIGFFK88CB,坡道平面,1450000,28.29,地下二樓
RPVNMLMLQHIGFFK86CB,坡道平面,1450000,28.29,地下二樓
RPTOMLLLQHIGFFK66CB,坡道平面,1450000,23.26,地下三樓
RPRNMLMLQHIGFFK09CB,坡道平面,1450000,28.29,地下二樓
RPWNMLMLQHIGFFK96CB,坡道平面,1350000,28.29,地下三樓
RPQNMLOLQHIGFFK56CB,坡道平面,1350000,21.40,地下三樓
RPXNMLOLQHIGFFK27CB,坡道平面,1350000,23.26,地下四樓
RPUNMLOLQHIGFFK96CB,坡道平面,1250000,21.40,地下四樓
RPSOMLOLQHIGFFK86CB,坡道平面,1350000,23.26,地下四樓
RPWOMLOLQHIGFFK27CB,坡道平面,1450000,23.26,地下三樓
RPRNMLOLQHIGFFK66CB,坡道平面,1650000,23.26,地下一樓
RPRNMLOLQHIGFFK66CB,坡道平面,1650000,23.26,地下一樓
RPWNMLOLQHIGFFK17CB,坡道機械,650000,13.96,地下四樓
RPSNMLOLQHIGFFK76CB,坡道平面,1450000,21.40,地下二樓
RPSNMLOLQHIGFFK76CB,坡道平面,1550000,23.26,地下二樓
RPTOMLOLQHIGFFK96CB,坡道平面,1450000,23.26,地下三樓
RPOOMLOLQHIGFFK09CB,坡道平面,1250000,21.40,地下四樓
RPOPMLOLQHIGFFK56CB,坡道平面,1450000,23.26,地下三樓
RPQNMLPLQHIGFBK88CB,一樓平面,0,21.82,一樓
RPPPMLOLQHIGFFK66CB,坡道平面,1350000,23.26,地下四樓
RPSPMLOLQHIGFFK96CB,坡道機械,650000,13.96,地下四樓
RPQPMLOLQHIGFFK76CB,坡道平面,1450000,23.26,地下三樓
RPXOMLOLQHIGFFK37CB,坡道平面,1350000,25.37,地下三樓
RPQNMLPLQHIGFFK66CB,坡道平面,1650000,23.26,地下一樓
RPQNMLPLQHIGFFK66CB,坡道平面,1550000,21.40,地下一樓
RPRNMLPLQHIGFBK98CB,坡道機械,550000,10.42,地下一樓
RPRNMLPLQHIGFFK76CB,坡道平面,1350000,23.26,地下四樓
RPPNMLPLQHIGFFK56CB,坡道平面,1650000,23.26,地下一樓
RPPNMLPLQHIGFFK56CB,坡道平面,1650000,23.26,地下一樓
RPSNMLPLQHIGFFK86CB,坡道平面,1350000,23.26,地下四樓
RPOOMLPLQHIGFFK56CB,坡道平面,1550000,21.40,地下一樓
RPOOMLPLQHIGFFK56CB,坡道平面,1650000,23.26,地下一樓
RPQOMLPLQHIGFFK76CB,坡道平面,1650000,23.26,地下一樓
RPSOMLPLQHIGFFK96CB,坡道平面,1450000,23.26,地下三樓
RPWNMLPLQHIGFFK27CB,坡道平面,1450000,25.37,地下三樓
RPWNMLPLQHIGFFK27CB,坡道平面,1450000,23.26,地下三樓
RPVNMLPLQHIGFFK17CB,坡道平面,1800000,27.91,地下一樓
RPROMLPLQHIGFFK86CB,坡道平面,1750000,23.26,地下一樓
RPROMLPLQHIGFFK86CB,坡道機械,750000,13.96,地下四樓
RPPOMLPLQHIGFFK66CB,坡道平面,1350000,23.26,地下四樓
RPXNMLPLQHIGFFK37CB,坡道平面,1550000,23.26,地下二樓
RPTOMLPLQHIGFFK07CB,坡道平面,1350000,23.26,地下四樓
RPUOMLPLQHIGFFK17CB,坡道平面,1350000,23.26,地下四樓
RPQNMLRLQHIGFBK09CB,坡道平面,1100000,30.00,地下二樓
RPQNMLRLQHIGFBK09CB,坡道平面,1100000,30.00,地下二樓
RPWOMLPLQHIGFFK37CB,坡道機械,750000,13.96,地下四樓
RPVOMLPLQHIGFFK27CB,坡道平面,1450000,23.26,地下三樓
RPPNMLRLQHIGFBK98CB,坡道平面,1100000,30.00,地下二樓
RPSNMLRLQHIGFBK66CB,一樓平面,0,11.00,一樓
RPRNMLRLQHIGFBK56CB,一樓平面,0,19.70,一樓
RPRNMLSLQHIGFFK07CB,坡道機械,650000,13.96,地下四樓
RPQNMLSLQHIGFFK96CB,坡道平面,1550000,23.26,地下二樓
RPPNMLTLQHIGFBK56CB,坡道機械,550000,10.42,地下一樓
RPQNMLRLQHIGFDK66CB,一樓平面,0,17.59,一樓
RPTNMLSLQHIGFFK27CB,坡道平面,1450000,23.26,地下三樓
RPTNMLSLQHIGFFK27CB,坡道機械,650000,13.96,地下四樓
