鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹南鎮,建物,苗栗縣竹南鎮龍泉街１２號２樓,0.0,,,,1120731,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840826,102.79,2,0,1,有,無,無,6000,58,,0.0,0,水電瓦斯網路均由承租人自行負擔,RPPNMLPKQHIGFDK98CC,,,,,,
竹南鎮,建物,苗栗縣竹南鎮立達街６９號１樓,34.41,工,,,1120815,土地0建物1車位0,全,3,透天厝,一般零售業、保險業、樓梯間,鋼筋混凝土造,0980317,84.14,0,0,1,有,無,無,18000,214,,0.0,0,,RPQNMLPKQHIGFDK09CC,,,,,,
苗栗市,房地(土地+建物),苗栗縣苗栗市長安街２７號５樓,7.6,住,,,1120810,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810401,59.94,2,1,1,有,有,有,7000,117,,0.0,0,,RPPNMLSKQHIGFBK09CC,,,,,,
頭份市,建物,苗栗縣頭份市上興里１９鄰永泰街５巷６號二樓,0.0,,山坡地保育區,丙種建築用地,1120728,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,90.12,3,2,2,有,有,有,12500,139,,0.0,0,每月水電瓦斯費由承租人另外負擔。,RPPNMLLLQHIGFFK88CC,,,,,,
頭份市,建物,苗栗縣頭份市後庄里８鄰信義路７９７之１號三樓,0.0,住,,,1120731,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1110719,58.74,1,0,1,有,無,有,13500,230,,0.0,0,每月水電瓦斯費由承租人另外負擔。,RPQNMLLLQHIGFFK98CC,,,,,,
竹南鎮,建物,苗栗縣竹南鎮新生路３４１號,0.0,商,,,1120820,土地0建物1車位0,全,4,透天厝,住商用、停車空間,鋼筋混凝土造,1100705,105.58,1,2,1,有,無,無,24000,227,,0.0,0,水電瓦斯網路費均由承租人自行負擔,RPQNMLMLQHIGFDK88CC,,,,,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮科專七路３２６號５樓之１,41.96,住,,,1120812,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050115,146.53,2,2,1,有,無,有,18000,123,,0.0,0,水電，瓦斯網路費均由承租人自行負擔,RPRNMLMLQHIGFDK98CC,,,,,,
大湖鄉,建物,苗栗縣大湖鄉靜湖村５鄰和平路１４號２A,0.0,住,,,1090901,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1040720,39.7,1,0,1,有,無,有,5000,126,,0.0,0,水費由出租人承擔電費由承租人承擔,RPQNMLNLQHIGFAK68CC,,,,,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專七路１９５號７樓之２,26.13,住,,,1120823,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,ＲＣ造、鋼骨造,1050414,89.2,2,2,1,有,有,有,18000,202,坡道平面,16.85,0,含管理費、稅金或水電等費用。；,RPSNMLPLQHIGFDK76CC,,,,,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專七路２０５號８樓之５,25.75,住,,,1120729,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,ＲＣ造、鋼骨造,1050414,98.75,2,2,1,有,有,有,17000,172,坡道平面,16.85,0,含管理費、稅金或水電等費用。；,RPTNMLPLQHIGFDK86CC,,,,,,
頭份市,建物,苗栗縣頭份市尚順路６０號,374.0,住,,,1020819,土地0建物1車位0,一層,4,住宅大樓(11層含以上有電梯),一般零售業、一般事務所、運動休閒設施,ＲＣ造,1000131,131.98,0,0,0,無,無,有,70000,530,,0.0,0,,RPPNMLPLQHIGFFK66CC,,,,,,
頭份市,建物,苗栗縣頭份市上興里２３鄰永昌街５巷６號四樓,0.0,,山坡地保育區,丙種建築用地,1120815,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,91.08,3,2,2,有,有,有,13000,143,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPSNMLPLQHIGFFK96CC,,,,,,
苗栗市,建物,苗栗縣苗栗市福安里１９鄰中華東街４５６號,0.0,住,,,1120818,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881123,95.87,3,2,2,有,有,有,14000,146,,0.0,0,水電費、瓦斯費、網路費皆由承租人負擔。,RPPNMLSLQHIGFBK56CC,,,,,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮博愛街１１２號,0.0,住,,,1120728,土地0建物1車位0,一層,3,店面(店鋪),住家用,磚造ＲＣ補強,0550719,69.02,0,0,0,無,無,有,30000,435,,0.0,0,水電承租方自行負擔,RPPNMLSLQHIGFDK76CC,,,,,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮環市路三段５９０號八樓之２,13.87,住,,,1120727,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1011213,118.93,3,2,2,有,有,有,26000,219,坡道平面,15.84,0,租金總價2.6萬含管理費/車位租金，不含水電瓦斯費用承租人負擔,RPQNMLSLQHIGFDK86CC,,,,,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮新南里１４鄰３９之２６號,90.18,住,,,1120801,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0671009,116.78,2,2,2,有,無,無,12000,103,,0.0,0,水電瓦斯網路費均由承租人自行負擔,RPRNMLSLQHIGFDK96CC,,,,,,
頭份市,建物,苗栗縣頭份市上興里２４鄰永昌街１巷３號七樓,0.0,,山坡地保育區,丙種建築用地,1120816,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,86.53999999999999,3,2,1,有,有,有,9100,105,,0.0,0,水電瓦斯、網路費及每月管理費910元由承租人另外負擔。,RPPNMLSLQHIGFFK96CC,,,,,,
頭份市,建物,苗栗縣頭份市富強二街１５號１F,0.0,住,,,1120817,土地0建物1車位0,一層,15,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1110524,93.13,0,0,0,無,無,有,37900,407,,0.0,0,此物件為店面出租，含稅金含管理費、稅金或水電等費用。；,RPSNMLKMQHIGFFK56CC,,,,,,
頭份市,建物,苗栗縣頭份市尚順路６０號,374.0,住,,,1120819,土地0建物1車位0,全,4,透天厝,一般零售業、一般事務所、運動休閒設施,ＲＣ造,1000131,131.98,0,0,0,無,無,有,70000,530,,0.0,0,,RPPNMLLMQHIGFFK98CC,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路５０５號,30.89,住,,,1120823,土地1建物1車位2,見其他登記事項,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1060425,374.69,0,0,0,無,有,有,110000,294,坡道平面,0.0,0,含增建或未登記建物。；,RPRNMLLMQHIGFFK56CC,,,,,,
竹南鎮,租賃房屋,苗栗縣竹南鎮崎頂里１６鄰和仁街４２巷５號五樓之一,0.0,,,,1120830,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110125,77.47,2,2,1,有,有,有,18000,232,,0.0,0,,RPPNMLQJRHIGFDK09CC,整棟(戶)出租,有,1120830~1130829,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹南鎮,租賃房屋,苗栗縣竹南鎮崎頂里１６鄰和仁街４２巷５號二樓之二,0.0,,,,1120830,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110125,81.39,2,1,1,有,有,有,17000,209,,0.0,0,,RPQNMLQJRHIGFDK56CC,整棟(戶)出租,有,1120830~1130829,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
