編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLMLQHIGFDK98CC,8,90.96,住家用,鋼筋混凝土造,105年1月15日,九層,,
RPQNMLMLQHIGFDK88CC,2,86.83,住商用、停車空間,鋼筋混凝土造,110年7月5日,四層,,
RPRNMLMLQHIGFDK98CC,8,55.57,共有部分,鋼筋混凝土造,105年1月15日,九層,,
RPQNMLMLQHIGFDK88CC,2,18.75,住商用、停車空間,鋼筋混凝土造,110年7月5日,四層,,
RPSNMLPLQHIGFDK76CC,7,89.20,住家用,ＲＣ造、鋼骨造,105年4月14日,十二層,,
RPPNMLPKQHIGFDK98CC,28,63.80,住家用,鋼筋混凝土造,84年8月26日,七層,,
RPPNMLPKQHIGFDK98CC,28,12.75,住家用,鋼筋混凝土造,84年8月26日,七層,,
RPPNMLPKQHIGFDK98CC,28,26.24,住家用,鋼筋混凝土造,84年8月26日,七層,,
RPQNMLPKQHIGFDK09CC,14,84.14,一般零售業、保險業、樓梯間,鋼筋混凝土造,98年3月17日,三層,,
RPTNMLPLQHIGFDK86CC,7,98.75,住家用,ＲＣ造、鋼骨造,105年4月14日,十二層,,
RPPNMLLLQHIGFFK88CC,26,77.20,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPPNMLLLQHIGFFK88CC,26,12.92,公共設施,鋼筋混凝土造,86年8月27日,,,
RPPNMLPLQHIGFFK66CC,3,131.98,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年1月31日,三層,,
RPPNMLSLQHIGFDK76CC,57,69.02,住家用,磚造ＲＣ補強,55年7月19日,三層,,
RPQNMLLLQHIGFFK98CC,1,45.96,集合住宅,鋼筋混凝土造,111年7月19日,五層,,
RPQNMLLLQHIGFFK98CC,1,12.78,樓梯間、電梯、梯廳、走廊外廊、停車空間,鋼筋混凝土造,111年7月19日,五層,,
RPQNMLSLQHIGFDK86CC,11,118.93,集合住宅,鋼筋混凝土造,101年12月13日,十五層,,
RPSNMLPLQHIGFFK96CC,26,77.99,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPSNMLPLQHIGFFK96CC,26,13.09,公共設施,鋼筋混凝土造,86年8月27日,,,
RPPNMLSLQHIGFFK96CC,26,74.13,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPPNMLSLQHIGFFK96CC,26,12.41,公共設施,鋼筋混凝土造,86年8月27日,,,
RPPNMLLMQHIGFFK98CC,13,131.98,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年1月31日,三層,,
RPSNMLKMQHIGFFK56CC,1,93.13,店舖,鋼筋混凝土造,111年5月24日,十五層,,
RPRNMLLMQHIGFFK56CC,6,273.42,商業用,鋼筋混凝土造,106年4月25日,十四層,,
RPRNMLLMQHIGFFK56CC,6,101.27,停車空間、住宅,鋼筋混凝土造,106年4月25日,三層,,
RPQNMLQJRHIGFDK56CC,2,52.55,集合住宅,鋼筋混凝土造,111年1月25日,五層,,
RPQNMLQJRHIGFDK56CC,2,28.84,共有部分,鋼筋混凝土造,111年1月25日,五層,,
RPPNMLQJRHIGFDK09CC,2,52.55,集合住宅,鋼筋混凝土造,111年1月25日,五層,,
RPPNMLQJRHIGFDK09CC,2,24.92,共有部分,鋼筋混凝土造,111年1月25日,五層,,
RPRNMLSLQHIGFDK96CC,45,116.78,住家用,鋼筋混凝土造,67年10月9日,二層,,
RPRNMLRJRHIGFDK76CC,7,114.49,住商用,鋼筋混凝土造,105年11月30日,十四層,,
RPRNMLRJRHIGFDK76CC,7,46.71,共有部分,鋼筋混凝土造,105年11月30日,十四層,,
RPPNMLMKRHIGFDK78CC,6,42.00,住商用、停車空間,鋼筋混凝土造,106年12月29日,四層,,
RPSNMLRJRHIGFDK86CC,7,118.91,住商用,鋼筋混凝土造,105年11月30日,十四層,,
RPSNMLRJRHIGFDK86CC,7,46.71,共有部分,鋼筋混凝土造,105年11月30日,十四層,,
RPPNMLSLQHIGFBK56CC,24,73.08,住家用,鋼筋混凝土造,88年11月23日,九層,,
RPPNMLSLQHIGFBK56CC,24,22.79,共有部分,鋼筋混凝土造,88年11月23日,九層,,
RPPNMLQJRHIGFFK66CC,,44.24,集合住宅,鋼筋混凝土造,112年4月6日,七層,,
RPPNMLSKQHIGFBK09CC,31,52.19,住家用,鋼筋混凝土造,81年4月1日,六層,,
RPPNMLQJRHIGFFK66CC,,47.66,防空避難室、停車空間,鋼筋混凝土造,112年4月6日,七層,,
RPPNMLQJRHIGFFK66CC,,10.76,樓梯間、昇降機間、水箱、機械室,鋼筋混凝土造,112年4月6日,七層,,
RPPNMLSKQHIGFBK09CC,31,7.75,樓梯間，機房，蓄水箱,鋼筋混凝土造,81年4月1日,,,
RPRNMLMKRHIGFFK56CC,29,87.59,住商用,鋼筋混凝土造,84年1月16日,三層,,
RPQNMLQJRHIGFFK76CC,,44.64,集合住宅,鋼筋混凝土造,112年4月6日,七層,,
RPQNMLQJRHIGFFK76CC,,11.18,防空避難室、停車空間,鋼筋混凝土造,112年4月6日,七層,,
RPQNMLQJRHIGFFK76CC,,11.43,樓梯間、昇降機間、水箱、機械室,鋼筋混凝土造,112年4月6日,七層,,
RPPNMLOKRHIGFFK56CC,6,47.46,商業用,鋼筋混凝土造,106年8月8日,十層,,
RPPNMLOKRHIGFFK56CC,6,18.58,防空避難室兼停車空間、升降機間、樓梯間、機械房、水箱,鋼筋混凝土造,106年8月8日,十層,,
RPPNMLMKRHIGFFK98CC,1,21.81,樓梯間,鋼筋混凝土造,111年5月24日,十五層,,
RPPNMLMKRHIGFFK98CC,1,22.21,防空避難室兼停車空間,鋼筋混凝土造,111年5月24日,十五層,,
RPPNMLMKRHIGFFK98CC,1,93.13,店舖,鋼筋混凝土造,111年5月24日,十五層,,
RPQNMLSKRHIGFDK86CC,41,97.00,住家用,加強磚造,71年5月20日,二層,,
RPPNMLSKRHIGFBK56CC,43,98.18,住家用,鋼筋混凝土造,69年6月15日,五層,,
RPPNMLSKRHIGFFK96CC,24,152.59,住家用,鋼筋混凝土造,88年8月18日,三層,,
RPPNMLKLRHIGFDK68CC,2,76.38,住家用,鋼筋混凝土造,110年11月5日,十五層,,
RPPNMLKLRHIGFDK68CC,2,35.14,共有部分,鋼筋混凝土造,110年11月5日,十五層,,
RPPNMLSKPHIGFBK98CC,5,95.87,住家用,鋼筋混凝土造,107年12月5日,五層,,
RPPNMLSKPHIGFBK98CC,5,12.54,本共有部分之項目有停車空間（室內４６輛、室外２輛）、樓梯間及機械室等３項。,鋼筋混凝土造,107年12月5日,五層,,
RPRNMLSKRHIGFFK17CC,43,70.88,住家用,鋼筋混凝土造,69年7月20日,一層,,
RPPNMLKLRHIGFFK88CC,5,92.13,集合住宅,鋼筋混凝土造,108年2月1日,九層,,
RPTNMLSKRHIGFFK37CC,28,43.61,住家用,鋼筋混凝土造,84年6月23日,七層,,
RPPNMLKLRHIGFFK88CC,5,35.01,防空避難室、停車空間、電梯機房、水箱、梯間,鋼筋混凝土造,108年2月1日,九層,,
RPTNMLSKRHIGFFK37CC,28,16.38,停車空間，防空避難室，樓梯，電梯，樓梯間，機械室，水箱,鋼筋混凝土造,84年6月23日,七層,,
RPQNMLKLRHIGFFK98CC,26,141.71,住家用,鋼筋混凝土造,86年8月27日,三層,,
RPPNMLLLRHIGFDK78CC,20,21.07,住家用,鋼筋混凝土造,92年7月16日,四層,,
RPPNMLLLRHIGFDK78CC,20,6.49,樓梯間,鋼筋混凝土造,92年7月16日,四層,,
RPPNMLMLRHIGFDK88CC,30,87.14,住家用,鋼筋混凝土造,82年8月11日,七層,,
RPPNMLMLRHIGFDK88CC,30,40.67,梯間，屋突，停車位，防空避難室，水箱，機房,鋼筋混凝土造,82年8月11日,七層,,
RPPNMLMLRHIGFBK68CC,16,24.94,住家用,鋼筋混凝土造,96年7月16日,十層,,
RPPNMLMLRHIGFBK68CC,16,12.39,共有部分,鋼筋混凝土造,96年7月16日,十層,,
RPQNMLMLRHIGFBK78CC,,119.25,住家用,加強磚造,,二層,,
RPPNMLQLRHIGFDK66CC,22,84.11,住家用,鋼筋混凝土造,90年6月4日,九層,,
RPPNMLQLRHIGFDK66CC,22,46.50,防空避難室兼停車空間、梯間、機械房、水箱,鋼筋混凝土造,90年6月4日,九層,,
RPQNMLQLRHIGFDK76CC,20,21.07,住家用,鋼筋混凝土造,92年7月16日,四層,,
RPQNMLPLRHIGFDK66CC,12,65.58,住家用,鋼筋混凝土造,100年8月29日,七層,,
RPQNMLQLRHIGFDK76CC,20,6.42,樓梯間,鋼筋混凝土造,92年7月16日,四層,,
RPQNMLPLRHIGFDK66CC,12,10.62,樓梯間,鋼筋混凝土造,100年8月29日,七層,,
RPRNMLKLRHIGFFK09CC,13,68.57,一般零售業、一般事務所,ＲＣ造,99年11月12日,三層,,
RPPNMLQLRHIGFFK86CC,6,44.79,辦公室,鋼筋混凝土造,106年8月8日,十層,,
RPPNMLQLRHIGFFK86CC,6,19.69,防空避難室兼停車空間、升降機間、樓梯間、機械房、水箱,鋼筋混凝土造,106年8月8日,十層,,
RPPNMLRLRHIGFFK96CC,28,55.39,住家用,鋼筋混凝土造,84年3月31日,十三層,,
RPPNMLRLRHIGFFK96CC,28,10.55,停車空間，防空避難室，樓梯，走道,鋼筋混凝土造,84年3月31日,十三層,,
RPPNMLRLRHIGFFK96CC,28,5.28,樓梯，電梯，樓梯間，機械房，水箱,鋼筋混凝土造,84年3月31日,十三層,,
RPPNMLRLRHIGFDK76CC,6,57.61,集合住宅,鋼筋混凝土造,106年10月19日,七層,,
RPPNMLRLRHIGFDK76CC,6,19.71,共有部分,鋼筋混凝土造,106年10月19日,七層,,
RPPNMLSLRHIGFFK07CC,29,56.53,住家用,鋼筋混凝土造,83年7月12日,六層,,
RPPNMLSLRHIGFFK07CC,29,7.28,停車空間,鋼筋混凝土造,83年7月12日,六層,,
RPPNMLSLRHIGFFK07CC,29,8.59,電梯，樓梯，機械室，水箱，樓梯間,鋼筋混凝土造,83年7月12日,六層,,
RPPNMLMJIIIGFFK08CC,26,81.86,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPPNMLMJIIIGFFK08CC,26,13.69,公共設施,鋼筋混凝土造,86年8月27日,,,
RPPNMLOJIIIGFBK87CC,11,97.51,住家用,鋼筋混凝土造,101年7月19日,八層,,
RPPNMLOJIIIGFBK87CC,11,65.78,共有部分,鋼筋混凝土造,101年7月19日,八層,,
RPQNMLOJIIIGFBK97CC,42,114.12,住家用,加強磚造,70年7月22日,二層,,
RPSNMLOJIIIGFBK18CC,41,80.28,住家用,鋼筋混凝土造,71年6月8日,四層,,
RPPNMLLLRHIGFEK88CC,30,1892.72,工業用,鋼造,82年7月23日,二層,,
RPPNMLSLRHIGFAK56CC,37,181.68,住家用,加強磚造,75年4月28日,二層,,
RPPNMLOJIIIGFFK28CC,7,89.43,集合住宅,鋼筋混凝土造,105年7月18日,五層,,
RPPNMLOJIIIGFFK28CC,7,.45,管委會,鋼筋混凝土造,105年7月18日,五層,,
RPPNMLOJIIIGFFK28CC,7,36.41,停車空間、梯間、機房,鋼筋混凝土造,105年7月18日,五層,,
RPSNMLOJIIIGFFK58CC,10,87.79,住家用,ＲＣ造,102年7月3日,五層,,
RPSNMLOJIIIGFFK58CC,10,42.42,住家用,ＲＣ造,102年7月3日,五層,,
RPQNMLPJIIIGFFK48CC,2,62.09,集合住宅,鋼筋混凝土造,110年9月14日,十層,,
RPQNMLPJIIIGFFK48CC,2,17.18,電梯機房、水箱,鋼筋混凝土造,110年9月14日,十層,,
RPQNMLPJIIIGFFK48CC,2,13.61,停車空間、機電設備空間、防空避難室,鋼筋混凝土造,110年9月14日,十層,,
RPPNMLQJIIIGFBK08CC,16,22.15,住家用,鋼筋混凝土造,96年7月16日,十層,,
RPPNMLQJIIIGFBK08CC,16,11.72,共有部分,鋼筋混凝土造,96年7月16日,十層,,
RPQNMLNLQHIGFAK68CC,5,39.70,住家用,鋼筋混凝土造,104年7月20日,三層,,
RPQNMLQJIIIGFBK18CC,27,19.59,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLQJIIIGFBK18CC,27,8.69,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLQJIIIGFFK58CC,19,191.11,住家用,鋼筋混凝土造,93年6月4日,三層,,
RPUNMLOJIIIGFDK58CC,8,27.04,店舖、住宅,鋼筋混凝土造,104年4月23日,四層,,
RPPNMLNJIIIGFDK97CC,9,64.37,住宅、店舖、停車空間,鋼筋混凝土造,104年1月29日,五層,,
RPRNMLOJIIIGFDK28CC,20,21.88,住家用,鋼筋混凝土造,92年3月31日,三層,,
RPQOMLMJIIIGFDK08CC,28,76.24,住家用,鋼筋混凝土造,84年7月14日,六層,,
RPRNMLOJIIIGFDK28CC,,7.14,樓梯間,鋼筋混凝土造,,三層,,
RPQOMLMJIIIGFDK08CC,28,7.20,樓梯間,鋼筋混凝土造,84年7月14日,六層,,
RPQOMLMJIIIGFDK08CC,28,19.01,防空避難室,鋼筋混凝土造,84年7月14日,六層,,
RPQNMLOJIIIGFDK18CC,22,21.12,住家用,鋼筋混凝土造,90年6月29日,三層,,
RPQNMLOJIIIGFDK18CC,22,6.17,樓梯間，屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,
RPPNMLLKIIIGFDK87CC,12,74.09,住家用,鋼筋混凝土造,100年8月29日,七層,,
RPPNMLLKIIIGFDK87CC,12,11.32,樓梯間,鋼筋混凝土造,100年8月29日,七層,,
RPPNMLLKIIIGFDK87CC,12,12.72,防空避難室、停車空間、樓梯間,鋼筋混凝土造,100年8月29日,七層,,
RPPNMLQJIIIGFDK28CC,9,131.76,商業用,鋼筋混凝土造,104年3月13日,十五層,,
RPPNMLQJIIIGFDK28CC,9,27.18,共有部分,鋼筋混凝土造,104年3月13日,十五層,,
RPPOMLMJIIIGFDK97CC,22,21.72,住家用,鋼筋混凝土造,90年6月29日,三層,,
RPPOMLMJIIIGFDK97CC,22,6.35,樓梯間、屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,
RPTNMLOJIIIGFDK48CC,8,26.79,店舖、住宅,鋼筋混凝土造,104年4月23日,四層,,
RPSNMLOJIIIGFDK38CC,20,21.88,住家用,鋼筋混凝土造,92年3月31日,三層,,
RPSNMLOJIIIGFDK38CC,,7.14,樓梯間,鋼筋混凝土造,,三層,,
RPPNMLMKIIIGFEK08CC,,145.51,住家用,加強磚造,,二層,,
RPPNMLLKIIIGFFK08CC,11,57.75,住商用,ＲＣ造,101年4月6日,四層,,
RPPNMLNKIIIGFBK87CC,19,89.82,住家用,鋼筋混凝土造,94年1月7日,五層,,
RPPNMLNKIIIGFBK87CC,19,22.78,共有部分,鋼筋混凝土造,94年1月7日,五層,,
RPPNMLNKIIIGFFK28CC,15,30.08,集合住宅,ＲＣ造,97年10月3日,五層,,
RPPNMLMKIIIGFFK18CC,1,76.02,集合住宅,鋼筋混凝土造,111年5月24日,十五層,,
RPPNMLMKIIIGFFK18CC,1,17.75,樓梯間,鋼筋混凝土造,111年5月24日,十五層,,
RPQNMLNKIIIGFDK18CC,20,21.79,住家用,鋼筋混凝土造,92年3月31日,三層,,
RPPNMLMKIIIGFFK18CC,1,17.26,防空避難室兼停車空間,鋼筋混凝土造,111年5月24日,十五層,,
RPQNMLNKIIIGFDK18CC,,7.14,樓梯間,鋼筋混凝土造,,三層,,
RPQNMLQKIIIGFBK28CC,27,19.59,住家用,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLNKIIIGFFK38CC,25,25.08,住家用,鋼筋混凝土造,87年12月2日,十層,,
RPQNMLQKIIIGFBK28CC,27,8.69,停車空間，防空避難室，走道，屋頂突出物，機械室，機車，梯間,鋼筋混凝土造,85年10月30日,五層,,
RPQNMLNKIIIGFFK38CC,25,3.38,樓梯．機械室．水箱,鋼筋混凝土造,87年12月2日,十層,,
RPQNMLNKIIIGFFK38CC,25,2.09,地下室,鋼筋混凝土造,87年12月2日,十層,,
RPPNMLQKIIIGFBK18CC,3,42.08,住家用,鋼筋混凝土造,109年4月24日,十三層,,
RPPNMLQKIIIGFBK18CC,3,26.73,本共有部分之項目有緊急發電機室、消防泵浦室、防空避難室、電信機房、管委會空間、台電配電室及停車空間（室內８５輛）等七項。,鋼筋混凝土造,109年4月24日,十三層,,
RPQNMLMKIIIGFDK08CC,21,20.92,住家用,鋼筋混凝土造,91年4月17日,四層,,
RPQNMLMKIIIGFDK08CC,21,8.49,樓梯間、走廊、配電室,鋼筋混凝土造,91年4月17日,四層,,
RPPNMLQKIIIGFFK58CC,62,60.76,住家用,鋼筋混凝土造,51年1月15日,二層,,
RPPNMLQKIIIGFDK38CC,25,111.56,住家用,鋼筋混凝土造,87年11月11日,十八層,,
RPPNMLQKIIIGFDK38CC,25,13.45,樓梯間,鋼筋混凝土造,87年11月11日,十八層,,
RPPNMLQKIIIGFDK38CC,25,12.53,地下層，停車空間，屋突,鋼筋混凝土造,87年11月11日,十八層,,
RPPNMLRKIIIGFDK48CC,10,110.49,集合住宅,鋼筋混凝土造,102年10月15日,十四層,,
RPPNMLRKIIIGFDK48CC,10,41.41,共有部分,鋼筋混凝土造,102年10月15日,十四層,,
RPPNMLRKIIIGFDK48CC,10,6.68,共有部分,鋼筋混凝土造,102年10月15日,十四層,,
RPPNMLSKIIIGFEK68CC,41,218.59,住商用,鋼筋混凝土造,72年3月1日,4,,
RPPNMLSKIIIGFFK78CC,12,83.52,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年5月3日,三層,,
RPQNMLSKIIIGFFK88CC,12,83.52,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年5月3日,三層,,
RPRNMLSKIIIGFFK98CC,28,240.57,住家用,鋼筋混凝土造,84年4月20日,四層,,
