鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中寮鄉,土地,中寮段825-2地號,1659.0,,山坡地保育區,農牧用地,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,181,,0.0,0,交易土地目前無產業道路可到達,RPSNMLMJJIIGFAM08DA,0.0,0.0,0.0,無,
竹山鎮,土地,菩提段194-6地號,147.0,,,,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3557400,24200,,0.0,0,,RPPNMLMJJIIGFDM08DA,0.0,0.0,0.0,無,
竹山鎮,土地,菩提段190-3地號,248.0,,,,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1087000,4383,,0.0,0,,RPQNMLMJJIIGFDM18DA,0.0,0.0,0.0,無,
仁愛鄉,土地,春陽段653地號,131.0,,鄉村區,乙種建築用地,1121102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,6870,,0.0,0,原住民保留地,RPUNMLTJJIIGFCM56DA,0.0,0.0,0.0,無,
南投市,土地,新草尾嶺段151地號,330.55,,山坡地保育區,丙種建築用地,1121103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1123855,3400,,0.0,0,,RPRNMLNJJIIGFAM08DA,0.0,0.0,0.0,無,0001
鹿谷鄉,土地,內樹皮段105-1地號,1032.4,,山坡地保育區,農牧用地,1121102,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,2906,,0.0,0,,RPPNMLNKJIIGFDM28DA,0.0,0.0,0.0,無,0002
南投市,房地(土地+建物),南投縣南投市大庄路５９巷７８弄２０號,2640.0,,一般農業區,農牧用地,1121102,土地1建物1車位0,全,一層,透天厝,農業用,加強磚造,0941212,216.98,4,2,2,有,無,12000000,55305,,0.0,0,,RPPNMLNKJIIGFAM08EA,216.98,0.0,0.0,無,
草屯鎮,土地,新興段246地號,496.66,,鄉村區,乙種建築用地,1121106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12290120,24746,,0.0,0,未登記建物；,RPQNMLNKJIIGFBM28EA,0.0,0.0,0.0,無,
南投市,土地,西施厝坪段西施厝坪小段17-1地號,396.22,農,,,1121101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,3029,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNKJIIGFAM08DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮稻香路５之８號,2287.31,農,,,1121101,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0761030,154.29,5,3,2,有,無,10000000,64813,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPWNMLNKJIIGFBM78DA,154.29,0.0,0.0,無,
鹿谷鄉,土地,內樹皮段281地號,443.77,,森林區,林業用地,1121107,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,130000,293,,0.0,0,,RPQOMLPKJIIGFDM68DA,0.0,0.0,0.0,無,0003
南投市,土地,內轆段739-1地號,496.83,,山坡地保育區,農牧用地,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,260000,523,,0.0,0,,RPTNMLOKJIIGFAM58EA,0.0,0.0,0.0,無,
南投市,土地,樟普寮段1237地號,50.91,,山坡地保育區,丙種建築用地,1121108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,3929,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPKJIIGFAM28EA,0.0,0.0,0.0,無,
名間鄉,土地,東仁段1099地號,231.57,,鄉村區,乙種建築用地,1121106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1060000,4577,,0.0,0,未登記建物；,RPTNMLQJJIIGFAM58DA,0.0,0.0,0.0,無,
名間鄉,土地,新南段18-8地號,38.07,,特定農業區,農牧用地,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,110000,2889,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLOKJIIGFAM58DA,0.0,0.0,0.0,無,
埔里鎮,土地,忠義段793地號,1.73,住,,,1121104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,80000,46243,,0.0,0,,RPSNMLQKJIIGFCM78DA,0.0,0.0,0.0,無,
