鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮加老東路,32.08,,鄉村區,乙種建築用地,1120813,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.24,3,2,2,有,無,10240000,78531,坡道平面,52.49,1150000,,RPPNMLOKQHIGFBM78CB,幸福時光,C棟8號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮大同一街,22.54,住,,,1120813,土地2建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.77,3,2,2,有,無,10080000,85748,坡道平面,25.96,1350000,,RPQNMLPKQHIGFCM09CB,?園大樓,1棟9F號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮新生路,73.65,農,,,1120817,土地3建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,168.58,3,1,2,有,無,12200000,71046,一樓平面,13.75,1200000,,RPQNMLLLQHIGFCM88DB,洄謙城,B4棟2號,
草屯鎮,房地(土地+建物),南投縣草屯鎮加老東路,12.95,,鄉村區,乙種建築用地,1120823,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.72,2,2,2,有,無,6030000,76601,,0.0,0,,RPPNMLPLQHIGFBM98CB,幸福時光,F棟6號,
南投市,房地(土地+建物),南投縣南投市文化路707巷,103.56,住,,,1120817,土地5建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,151.06,4,2,3,有,無,12800000,84735,,0.0,0,,RPPNMLSLQHIGFAM56CB,文化一綻,A棟32號,
南投市,房地(土地+建物),南投縣南投市振興巷,44.1,住,,,1120814,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.45,2,2,2,有,無,6660000,66968,,0.0,0,,RPQNMLSLQHIGFAM66CB,知寓,B棟2號,
草屯鎮,房地(土地+建物),南投縣草屯鎮登輝路與御富路口,90.5,住,,,1120813,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,185.28,5,3,5,有,無,16680000,90026,,0.0,0,停車位：前院,RPUNMLSLQHIGFBM17CB,大名人光輝(透天),I棟2號,
埔里鎮,房地(土地+建物),南投縣埔里鎮和平東路,24.4,住,,,1120825,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.92,3,2,2,有,無,10420000,90672,,0.0,0,,RPPNMLTLQHIGFCM86CB,翔禾之森,C棟9號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮和平東路,15.19,住,,,1120826,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.27,2,2,1,有,無,7680000,84386,坡道平面,29.22,1600000,,RPQNMLTLQHIGFCM96CB,翔禾之森,G棟5號,
南投市,房地(土地+建物),南投縣南投市同源路,89.82,,工業區,丁種建築用地,1120819,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,188.13,4,2,3,有,無,10000000,53155,,0.0,0,,RPQNMLLMQHIGFAM78DB,薪享墅城,C棟18號,
南投市,房地(土地+建物),南投縣南投市振興巷,54.21,住,,,1120819,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.24,3,2,2,有,無,8360000,68390,,0.0,0,,RPPNMLLJRHIGFAM38CB,知寓,A棟2號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮加老東路,30.29,,鄉村區,乙種建築用地,1120826,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.23,3,2,2,有,無,9000000,74947,坡道平面,52.49,1150000,,RPPNMLLJRHIGFBM48CB,幸福時光,A棟2號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮加老東路,30.29,,鄉村區,乙種建築用地,1120827,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.23,3,2,2,有,無,9530000,80008,坡道平面,52.49,1150000,,RPQNMLLJRHIGFBM58CB,幸福時光,B棟9號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮加老東路,25.94,,鄉村區,乙種建築用地,1120831,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.75,2,2,2,有,無,7410000,79990,坡道平面,52.49,1150000,,RPRNMLLJRHIGFBM68CB,幸福時光,F棟10號,
