鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
草屯鎮,房地(土地+建物),南投縣草屯鎮儒林街５７號,80.9,其他,,,1120720,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0690710,161.25,6,2,3,有,無,無,22000,136,,0.0,0,,RPPNMLPKQHIGFBM98CC,,,,,,
草屯鎮,土地,碧峰段1382-1地號,114.42,,鄉村區,乙種建築用地,1120729,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,87,,0.0,0,,RPQNMLPKQHIGFBM09CC,,,,,,
南投市,房地(土地+建物),南投縣南投市彰南路三段８５-１０號９樓,23.04,住,,,1120814,土地1建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870306,115.53,3,2,2,有,有,有,13000,113,,0.0,0,含管理費,RPPNMLPLQHIGFAM98CC,,,,,,
草屯鎮,房地(土地+建物),南投縣草屯鎮正興街１８７號６樓之１,16.4,住,,,1120817,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831008,98.87,3,2,2,有,無,有,13000,131,,0.0,0,,RPPNMLPLQHIGFBM09CC,,,,,,
草屯鎮,建物,南投縣草屯鎮中正路富國巷１５號,76.54,住,,,1120826,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670105,86.16,1,0,0,有,無,有,3500,41,,0.0,0,,RPPNMLTLQHIGFBM86CC,,,,,,
南投市,房地(土地+建物),南投縣南投市工業北六路２號,1000.0,,工業區,丁種建築用地,1120808,土地1建物1車位0,一層,1,工廠,廠房,鋼骨造,1080130,165.28,0,0,0,無,無,有,100000,,,0.0,0,申報土地面積為概算範圍約1000平方公尺.建物面積亦為概算範圍約165.28平方公尺,RPPNMLLMQHIGFAM68CC,,,,,,
南投市,土地,牛運堀段134-4地號,604.95,住,,,1120830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,70000,116,,0.0,0,,RPPNMLQJRHIGFAM98CC,,,,,,
南投市,租賃房屋,南投縣南投市軍功路２９號,36.25,,山坡地保育區,丙種建築用地,1120922,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0860919,108.75,4,2,2,有,無,無,14500,133,,0.0,0,,RPQNMLPLRHIGFAM56CC,,無,,,,
草屯鎮,租賃房屋,南投縣草屯鎮民生二街４３號２樓之２,12.03,住,,,1120831,土地1建物2車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830411,79.69,2,1,1,有,有,有,13000,163,,0.0,0,,RPPNMLPLRHIGFBM56CC,,有,,,,
草屯鎮,租賃房屋,南投縣草屯鎮中山街３７７號,117.0,商,,,1120831,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0560325,206.93,8,1,3,有,無,無,15000,72,,0.0,0,,RPQNMLPLRHIGFBM66CC,,無,,,,
草屯鎮,租賃房屋,南投縣草屯鎮中正路富國巷１５號,76.54,住,,,1120915,土地1建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670105,86.16,4,0,1,有,無,無,5000,58,,0.0,0,,RPPNMLQLRHIGFBM66CC,,無,,,,
南投市,租賃房屋,南投縣南投市彰南路三段１１２７巷１弄１１號,107.76,住,,,1120918,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1040422,158.74,4,2,4,有,無,有,20000,126,,0.0,0,,RPPNMLOJIIIGFAM97CC,,無,,,,
國姓鄉,租賃房屋,南投縣國姓鄉中正路一段２７０號,70.59,,山坡地保育區,丙種建築用地,1121007,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0690515,118.45,3,2,2,有,無,無,10000,84,,0.0,0,,RPPNMLRJIIIGFCM48CC,整棟(戶)出租,無,1121010~1131009,無,熱水器,
南投市,租賃房屋+車位,南投縣南投市南崗二路３３６號４樓之２,0.0,,,,1121017,土地0建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880212,132.7,3,2,2,有,有,有,17000,128,坡道機械,0.0,0,租金總額含管理費；,RPPNMLPLIIIGFAM28CC,整棟(戶)出租,有,1121023~1131022,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
草屯鎮,土地,龍德段452地號,231.83,,一般農業區,甲種建築用地,1120908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,5000,22,,0.0,0,含增建或未登記建物；,RPQNMLNJJIIGFBM18CC,,,1121101~1141030,,,
