編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPLRHIGFAM56CC,福助段,36.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,02960000
RPPNMLQJRHIGFAM98CC,牛運堀段,604.95,都市：住,,,,01340004
RPPNMLPLQHIGFAM98CC,半山段,23.04,都市：住,,,,02540000
RPPNMLLMQHIGFAM68CC,大崗段,1000.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03220000
RPPNMLRJIIIGFCM48CC,福龜段,70.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,08090000
RPPNMLOJIIIGFAM97CC,福興段,107.76,都市：住,,,,11280092
RPPNMLPLQHIGFBM09CC,中興段,16.40,都市：住,,,,18990000
RPPNMLPLRHIGFBM56CC,中興段,12.03,都市：住,,,,17410000
RPPNMLTLQHIGFBM86CC,新富仁段,76.54,都市：住,,,,00760000
RPQNMLPKQHIGFBM09CC,碧峰段,114.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,13820001
RPPNMLPKQHIGFBM98CC,玉峰段,43.30,都市：其他:空白,,,,04770000
RPPNMLPKQHIGFBM98CC,玉峰段,37.60,都市：其他:空白,,,,04780000
RPQNMLNJJIIGFBM18CC,龍德段,231.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04520000
RPQNMLPLRHIGFBM66CC,草屯段,117.00,都市：商,,,,00830006
RPPNMLQLRHIGFBM66CC,新富仁段,76.54,都市：住,,,,00760000
RPPNMLTJJIIGFBM68CC,草屯段,74.00,都市：商,,,,07440019
RPPNMLTJJIIGFBM68CC,草屯段,17.00,都市：商,,,,07450006
RPPNMLKKJIIGFBM87CC,新屋段,63.62,都市：住,,,,06490000
