編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPJJIIGFGN78DA,儒香段,57.08,都市：其他:住宅區,1,1,全筆移轉,00930002
RPSNMLKKJIIGFDN38DA,惠來段,14.00,都市：其他:第二種住宅區,1,1,全筆移轉,14490000
RPSNMLKKJIIGFDN38DA,惠來段,79.00,都市：其他:第二種住宅區,1,1,全筆移轉,14500000
RPPNMLPKJIIGFHN98DA,永平段,82.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,2,持分移轉,01060000
RPQNMLPKJIIGFFN88DA,福德段,297.56,非都市：特定農業區 ; 非都市編定：農牧用地,90,10,持分移轉,03070000
RPQNMLPKJIIGFEN78DA,東興段,79.86,都市：其他:住宅區,1,1,全筆移轉,03850002
RPQNMLPKJIIGFEN78DA,東興段,.21,都市：其他:住宅區,27,1,持分移轉,03860023
RPSNMLQKJIIGFFN56DA,三民段,25.00,都市：其他:住宅區,15,3,持分移轉,03120000
RPSNMLQKJIIGFFN56DA,三民段,7.40,都市：其他:道路用地,15,3,持分移轉,03130000
RPQNMLSJJIIGFGN56DA,芳山段,79.37,都市：其他:商業區,3,2,持分移轉,10050000
RPQNMLSJJIIGFGN56DA,芳山段,6.12,都市：其他:道路用地,3,2,持分移轉,10050001
RPPNMLNKJIIGFEN48DA,香山段,34.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10660000
RPOOMLSJJIIGFEN88DA,埤清段,288.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00410000
RPOOMLSJJIIGFEN88DA,埤清段,82.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00420000
RPPNMLPKJIIGFGN98EA,民靖段,825.08,非都市：特定農業區 ; 非都市編定：農牧用地,2585,824,持分移轉,13450000
RPQNMLRKJIIGFEN98DA,修仁段,12.74,都市：其他:農業區,1,1,全筆移轉,01940002
RPSNMLTJJIIGFDN56DA,香山段,33.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,736560,4425,持分移轉,00720000
RPTNMLQKJIIGFHN86DA,永明段,23.63,都市：其他:住宅區,100000,2190,持分移轉,10740000
RPTNMLQKJIIGFHN86DA,永明段,.88,都市：其他:農業區,100000,2190,持分移轉,10860000
RPTNMLQKJIIGFHN86DA,永明段,1.28,都市：其他:農業區,3096,69,持分移轉,10880000
RPTNMLQKJIIGFHN86DA,永明段,.30,都市：其他:人行步道用地,100000,2190,持分移轉,11030000
RPTNMLQKJIIGFHN86DA,永明段,.26,都市：其他:住宅區,100000,2190,持分移轉,11320000
RPTNMLQKJIIGFHN86DA,永明段,84.22,都市：其他:住宅區,1,1,全筆移轉,11340000
RPSOMLQKJIIGFAN78DA,彰泰段,12.43,都市：其他:住宅區,10360,290,持分移轉,03530000
RPSOMLQKJIIGFAN78DA,彰泰段,17.42,都市：其他:住宅區,10360,290,持分移轉,03540000
RPSOMLQKJIIGFAN78DA,彰泰段,1.42,都市：其他:住宅區,10360,290,持分移轉,03550000
RPSOMLQKJIIGFAN78DA,彰泰段,1.96,都市：其他:住宅區,10360,290,持分移轉,03610000
RPSOMLQKJIIGFAN78DA,彰泰段,11.79,都市：其他:住宅區,50,1,持分移轉,03790000
RPSOMLQKJIIGFAN78DA,彰泰段,2.23,都市：其他:住宅區,10360,290,持分移轉,03800000
RPSOMLQKJIIGFAN78DA,彰泰段,1.32,都市：其他:住宅區,70,1,持分移轉,04220000
RPSOMLKLJIIGFAN28DA,牛稠子段山腳小段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01730006
RPRNMLRKJIIGFCN88DA,上林段,259.41,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04850434
RPVNMLRKJIIGFDN76DA,三條圳段十七份小段,24.21,都市：其他:第二種住宅區,10000,292,持分移轉,03890000
RPQNMLPKJIIGFGN98DA,新光段,274.27,非都市：一般農業區 ; 非都市編定：農牧用地,240,106,持分移轉,12430000
RPPNMLKLJIIGFDN18DA,新林厝段,106.77,都市：其他:住宅區,1,1,全筆移轉,04170000
RPPNMLKLJIIGFDN18DA,新林厝段,18.77,都市：其他:住宅區,42,1,持分移轉,04310000
RPQNMLTJJIIGFGN66DA,草漢段,105.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08300000
RPRNMLSJJIIGFBN78DA,大嘉段,42.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,01560003
RPRNMLSJJIIGFBN78DA,和群段,2.74,非都市：鄉村區 ; 非都市編定：交通用地,3,1,持分移轉,10450000
RPPOMLTJJIIGFGN66DA,萬興段萬興小段,9.05,非都市：特定農業區 ; 非都市編定：交通用地,49113,9262,持分移轉,01370001
RPPOMLTJJIIGFGN66DA,萬興段萬興小段,144.08,非都市：特定農業區 ; 非都市編定：甲種建築用地,49113,9262,持分移轉,01370005
RPPOMLTJJIIGFGN66DA,萬興段萬興小段,788.50,非都市：特定農業區 ; 非都市編定：農牧用地,16371,2779,持分移轉,01370006
RPPNMLKLJIIGFAN97EA,南興段,16.58,都市：其他:住宅區,286488,2508,持分移轉,09090000
RPQNMLLLJIIGFFN68EA,湄洲段,172.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,02910001
RPQNMLLLJIIGFFN68EA,湄洲段,31.26,非都市：特定農業區 ; 非都市編定：交通用地,3711,250,持分移轉,02920000
RPSNMLKLJIIGFAN18DA,西勢子段過溝子小段,2.39,都市：其他:零星工業區,3474,1188,持分移轉,02330028
RPQNMLKLJIIGFFN48DA,文昌段,83.15,都市：其他:住宅區,3,1,持分移轉,02150003
RPSNMLKLJIIGFFN68DA,新興段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地,22,10,持分移轉,11320000
RPQNMLQJJIIGFCN58DA,上林段,163.56,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04850436
RPQNMLRJJIIGFCN68DA,鹿草段,50.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1400,71,持分移轉,13760000
RPPNMLLLJIIGFFN48DA,和平段,616.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11120000
RPPNMLLLJIIGFFN48DA,和平段,554.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11130000
RPQNMLMLJIIGFFN68DA,中寮段,28.00,非都市：特定農業區 ; 非都市編定：交通用地,2,1,持分移轉,04320000
RPQNMLMLJIIGFFN68DA,中寮段,288.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,20,9,持分移轉,04330000
RPQNMLMLJIIGFFN68DA,中寮段,13.36,非都市：特定農業區 ; 非都市編定：交通用地,1437,600,持分移轉,04450000
RPPNMLLLJIIGFAN08EA,西勢子段西勢子小段,20.72,都市：其他:住宅區,25,2,持分移轉,02010001
RPSOMLMLJIIGFAN48DA,南郭段南郭小段,3.79,都市：其他:住宅區,10000,63,持分移轉,01920011
RPRNMLSJJIIGFCN88DA,永安段,13.00,都市：其他:住宅區,10000,110,持分移轉,37290000
RPQNMLLLJIIGFDN38DA,員草段,146.71,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,24,16,持分移轉,03100000
RPTNMLKLJIIGFEN68DA,文聖段,85.19,都市：其他:商業區,1,1,全筆移轉,02980000
RPPNMLMLJIIGFDN48EA,黃厝段,5.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1668,22,持分移轉,03640000
RPPNMLMLJIIGFDN48EA,黃厝段,16.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,1668,22,持分移轉,03650000
RPVNMLMLJIIGFAN68DA,北白沙坑段,386.52,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,12,3,持分移轉,05320000
RPWNMLMLJIIGFAN78DA,北白沙坑段,571.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,120,50,持分移轉,05330000
RPPNMLPKJIIGFCN48DA,福橋段,9.99,都市：其他:住宅區,10000,64,持分移轉,01830000
RPXNMLNLJIIGFAN98DA,新東興段,79.73,都市：其他:住宅區,1,1,全筆移轉,02010001
RPXNMLNLJIIGFAN98DA,新東興段,787.41,都市：其他:農業區,1,1,全筆移轉,02100001
RPWNMLKLJIIGFCN78DA,上林段,472.06,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04850256
RPXOMLQKJIIGFBN76DA,伸新段,49.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,1,持分移轉,11400000
RPSNMLOLJIIGFFN09DA,庄北段,685.72,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,02110000
RPSNMLOLJIIGFFN09DA,庄北段,127.45,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,02150000
RPPNMLKKJIIGFGN38DA,新王功段,597.67,非都市：一般農業區 ; 非都市編定：農牧用地,7500,616,持分移轉,03770000
RPRNMLRKJIIGFGN66DA,芳寶段,92.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉,02690000
RPRNMLRKJIIGFGN66DA,芳寶段,86.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉,02700000
RPRNMLNKJIIGFCN48DA,鹿安段,99.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,19901,9950,持分移轉,09970000
RPRNMLNKJIIGFCN48DA,振興段,1230.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,20070000
RPTNMLPKJIIGFFN56DA,新埤頭段,58.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,05040000
RPPNMLOLJIIGFEN68DA,文武段,71.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02760000
RPQNMLKLJIIGFAN08EA,民生段,3.80,都市：其他:道路用地,2500,216,持分移轉,07550000
RPPNMLMLJIIGFAN18EA,嘉興段,1128.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,00290000
RPVNMLRKJIIGFCN66DA,福寶段,64.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02890000
RPTNMLLLJIIGFBN48DA,中興段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03020010
RPTNMLLLJIIGFBN48DA,中興段,1.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,316,持分移轉,03020011
RPTNMLLLJIIGFBN48DA,中興段,7.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1376,持分移轉,03020012
RPRNMLNLJIIGFCN58DA,福新段,15.00,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13430000
RPRNMLNLJIIGFCN58DA,福新段,11.67,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13440000
RPRNMLNLJIIGFCN58DA,福新段,10.42,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13450000
RPRNMLNLJIIGFCN58DA,福新段,10.08,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13460000
RPRNMLNLJIIGFCN58DA,福新段,9.39,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13470000
RPRNMLNLJIIGFCN58DA,福新段,8.10,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13480000
RPRNMLNLJIIGFCN58DA,福新段,7.13,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13490000
RPRNMLNLJIIGFCN58DA,福新段,10.03,非都市：一般農業區 ; 非都市編定：養殖用地,12,1,持分移轉,13500000
RPSNMLNKJIIGFHN09DA,大溪段,90.00,都市：其他:住宅區,1,1,全筆移轉,06750000
RPUNMLNKJIIGFHN66DA,大溪段,89.00,都市：其他:住宅區,1,1,全筆移轉,06740000
RPSNMLNKJIIGFHN09DA,大溪段,39.00,都市：其他:住宅區,1,1,全筆移轉,06760001
RPSNMLNKJIIGFHN09DA,大溪段,9.00,都市：其他:道路用地,1,1,全筆移轉,09120000
RPUNMLNKJIIGFHN66DA,大溪段,5.50,都市：其他:道路用地,2,1,持分移轉,09130000
RPQNMLRLJIIGFCN88DA,崙海段,4893.82,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00210067
RPQNMLNLJIIGFEN68DA,大崙段,63.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,02660000
RPQNMLNLJIIGFEN68DA,大崙段,148.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02700000
RPRNMLKKJIIGFEN38DA,東興段,83.41,都市：其他:住宅區,1,1,全筆移轉,02030000
RPQNMLOLJIIGFEN78DA,修仁段,149.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07100000
RPRNMLRLJIIGFEN56DA,中賢段,86.95,都市：其他:住宅區,1,1,全筆移轉,18500000
RPTNMLMLJIIGFGN09DA,新王功段,30.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11580000
RPSNMLMLJIIGFGN98DA,新王功段,22.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11570000
RPQNMLOLJIIGFDN78EA,豐年段,281.58,都市：其他:第一種住宅區,1,1,全筆移轉,09320000
RPQNMLMLJIIGFDN58EA,水源段,40.98,都市：其他:農業區,2,1,持分移轉,00020001
RPSNMLLLRHIGFAN98DA,彰化段西門小段,103.00,都市：其他:商業區,1,1,全筆移轉,03760127
RPVNMLOLJIIGFAN88DA,南郭段南郭小段,32.20,都市：其他:住宅區,1000,50,持分移轉,00050124
RPPNMLOLJIIGFCN48DA,大興段,32.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05930000
SPPNMLOLJIIGFCN58DA,大興段,257.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05920007
RPPNMLPLJIIGFDN68DA,永昌段,3.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,5924,1009,持分移轉,09720000
RPPNMLPLJIIGFDN68DA,永昌段,152.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09730000
RPPNMLPLJIIGFDN68DA,永昌段,16.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,5924,1009,持分移轉,09810000
RPPNMLPLJIIGFDN68DA,永昌段,152.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09820000
RPPNMLPLJIIGFDN68DA,永昌段,27.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,5924,1009,持分移轉,09880000
RPXNMLTJJIIGFEN17DA,中央段,1.00,都市：其他:住宅區,2,1,持分移轉,06610000
RPQNMLLLJIIGFEN48DA,東興段,41.27,都市：其他:住宅區,100000,4199,持分移轉,04970003
RPPNMLKKJIIGFEN18DA,中央段,1.00,都市：其他:住宅區,2,1,持分移轉,06610000
RPPNMLRLJIIGFEN98DA,中央段,35.00,都市：其他:住宅區,2,1,持分移轉,06290000
RPTNMLNKJIIGFFN98DA,進樂段,82.29,都市：其他:住宅區,1,1,全筆移轉,04450000
RPPNMLMLJIIGFFN58DA,三豐段,1871.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10200000
RPWNMLNLJIIGFHN96DA,永明段,79.41,都市：其他:住宅區,3,1,持分移轉,08270000
RPRNMLLLJIIGFHN88DA,新興段,133.30,都市：其他:農業區,168,3,持分移轉,01490000
RPUNMLRLJIIGFFN96DA,綠筍段,2140.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10480002
RPUNMLRLJIIGFFN96DA,綠筍段,2140.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10480003
RPPOMLRLJIIGFFN56DA,溪底段,4394.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04110000
RPWNMLKLJIIGFAN58DA,芬園段,5.74,都市：其他:住宅區,10000,667,持分移轉,05490000
RPXNMLLLJIIGFAN78DA,富山段,38.46,非都市：山坡地保育區 ; 非都市編定：農牧用地,12,1,持分移轉,07420000
RPQNMLRLJIIGFAN68DA,延和段,63.00,都市：其他:住宅區,1,1,全筆移轉,09510000
RPOOMLTLJIIGFAN78DA,大埔段,17.00,都市：其他:住宅區,1,1,全筆移轉,04630000
RPSOMLTLJIIGFAN56DA,溪南段,278.10,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10150001
RPQNMLTJJIIGFHN76DA,平和段,26.52,都市：其他:商業區,69390,7957,持分移轉,02400013
RPQNMLTJJIIGFHN76DA,平和段,72.35,都市：其他:商業區,1,1,全筆移轉,02400014
RPQNMLSLJIIGFFN66DA,新生段,23.49,非都市：特定農業區 ; 非都市編定：甲種建築用地,19,1,持分移轉,06000011
RPQNMLSLJIIGFFN66DA,新生段,99.45,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06000022
RPQNMLSLJIIGFFN66DA,新生段,1.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06000023
RPPNMLLLJIIGFGN58DA,草湖北段,81.31,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01070011
RPTNMLNLJIIGFDN88DA,港西段,28.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,169801,4193,持分移轉,03790000
RPRNMLNLJIIGFDN68DA,源聖段,94.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,06000000
RPRNMLNLJIIGFDN68DA,源聖段,96.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,06010000
RPQNMLLLJIIGFGN68DA,草湖北段,77.26,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01070016
RPTOMLTLJIIGFAN66DA,延和段,95.00,都市：其他:住宅區,1,1,全筆移轉,03100112
RPTOMLTLJIIGFAN66DA,延和段,106.00,都市：其他:住宅區,1,1,全筆移轉,03110000
RPTNMLOLJIIGFHN76DA,太平東段,14.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,13,1,持分移轉,15860007
RPTNMLOLJIIGFHN76DA,太平東段,54.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15860011
RPTNMLOLJIIGFHN76DA,太平東段,60.76,非都市：特定農業區 ; 非都市編定：農牧用地,25,2,持分移轉,15870000
RPRNMLQKJIIGFCN78DA,粘厝段,82.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,01470000
RPPNMLSLJIIGFDN98DA,和平段,65.00,都市：其他:第二種住宅區,1,1,全筆移轉,07560008
RPPNMLSLJIIGFDN98DA,和平段,16.54,都市：其他:第二種住宅區,15,1,持分移轉,07560015
RPPNMLSLJIIGFDN98DA,和平段,2.00,都市：其他:第二種住宅區,15,1,持分移轉,07560027
RPPNMLSLJIIGFDN98DA,和平段,.51,都市：其他:第二種住宅區,15,1,持分移轉,07560028
RPSNMLSLJIIGFDN66DA,永北段,122.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09570009
