鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
和美鎮,房地(土地+建物),彰化縣和美鎮北辰路,101.42,,鄉村區,乙種建築用地,1120812,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.06,4,2,3,有,無,13080000,80711,,0.0,0,,RPQNMLQKQHIGFBN56CB,觀美墅NO.13,Ｃ棟10號,
二林鎮,房地(土地+建物),彰化縣二林鎮中正路,105.26,住,,,1120815,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,235.56,4,3,5,有,無,15520000,65886,,0.0,0,,RPPNMLQKQHIGFGN96CB,勝龍御花園,C棟21號,
花壇鄉,房地(土地+建物),彰化縣花壇鄉金城街,79.0,,鄉村區,乙種建築用地,1120816,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,188.05,4,3,5,有,無,12880000,68492,,0.0,0,,RPPNMLSKQHIGFAN56CB,金墩菁城,B棟B2號,
田尾鄉,房地(土地+建物)+車位,彰化縣田尾鄉福德巷,35.04,住,,,1120812,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.55,3,2,2,有,無,6970000,62483,一樓平面,13.75,0,,RPPNMLSKQHIGFFN07CB,富邑皇邸25號苑,3棟A號,
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,30.12,,一般農業區,甲種建築用地,1120819,土地2建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.4,3,2,2,有,無,10400000,85526,坡道平面,31.0,1300000,,RPPNMLKLQHIGFCN68CB,富旺艾美莊園,D棟1號,
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.99,,一般農業區,甲種建築用地,1120819,土地2建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.93,2,1,1,有,無,7150000,87405,坡道平面,31.0,1300000,,RPQNMLKLQHIGFCN78CB,富旺艾美莊園,D棟12號,
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.46,,一般農業區,甲種建築用地,1120819,土地2建物1車位2,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.11,2,1,1,有,無,8750000,94456,坡道平面,62.0,2600000,,RPRNMLKLQHIGFCN88CB,富旺艾美莊園,D棟9號,
花壇鄉,房地(土地+建物),彰化縣花壇鄉金城街,79.0,,鄉村區,乙種建築用地,1120817,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,182.17,4,3,5,有,無,12880000,70703,,0.0,0,,RPPNMLLLQHIGFAN58CB,金墩菁城,A棟A8號,
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,26.74,,鄉村區,乙種建築用地,1120811,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.83,2,2,1,有,無,9060000,94679,坡道機械,21.06,750000,,RPQNMLLLQHIGFHN76CB,心里程,E棟2號,
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,25.77,,鄉村區,乙種建築用地,1120815,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.67,2,2,1,有,無,9000000,95142,坡道機械,21.06,950000,,RPRNMLLLQHIGFHN86CB,心里程,L棟9號,
福興鄉,房地(土地+建物)+車位,彰化縣福興鄉橫圳巷,45.27,,特定農業區,甲種建築用地,1120815,土地2建物1車位1,四層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,142.1,3,2,2,有,無,8880000,61514,一樓平面,14.0,1000000,,RPPNMLMLQHIGFCN88CB,雋邦 晴,A-4F號,
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉大智路一段,36.19,住,,,1120822,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.39,2,1,2,有,無,7000000,83943,一樓平面,12.75,0,,RPPNMLMLQHIGFDN98CB,慶吉喜樂Ⅱ,B號,
田尾鄉,房地(土地+建物)+車位,彰化縣田尾鄉福德巷,35.04,住,,,1120821,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.55,3,2,2,有,無,7300000,65442,一樓平面,13.75,0,,RPPNMLMLQHIGFFN56CB,富邑皇邸25號苑,2棟A號,
二林鎮,房地(土地+建物),彰化縣二林鎮莊敬街,40.79,住,,,1120814,土地1建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.96,2,2,1,有,無,5650000,83137,,0.0,0,,RPPNMLMLQHIGFGN66CB,左岸玫瑰,B棟6號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市崙美路331巷內,118.78,農,,,1120814,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,278.17,4,3,5,有,無,25750000,92569,一樓平面,0.0,0,1.一作為停車與儲藏室使用2.土地和建物實際面積以地政機關保存登記為準,RPUNMLNLQHIGFAN66CB,美崙美奐,B6棟B6號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市崙美路331巷內,124.88,農,,,1120821,土地3建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,235.04,4,3,5,有,無,23460000,99813,一樓平面,0.0,0,1.一樓作為停車與儲藏室使用2.土地和建物實際面積以地政機關保存登記為準,RPVNMLNLQHIGFAN76CB,美崙美奐,C11棟C11號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路一段384號旁,20.81,商,,,1120818,土地13建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.31,3,2,2,有,無,19000000,103181,坡道平面,28.19,1550000,,RPWNMLNLQHIGFAN86CB,中正?華,B棟B-04F號,
員林市,房地(土地+建物)+車位,彰化縣員林市建國路38巷58弄、建國路38巷24弄,38.33,住,,,1120820,土地3建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.83,3,2,2,有,無,8750000,89666,坡道機械,7.61,750000,,RPPNMLNLQHIGFDN09CB,惠眾享幸福,E棟3號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路一段119巷及南興街交叉口,24.62,住,,,1120818,土地3建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.62,3,2,2,有,無,9800000,81865,坡道機械,19.85,650000,,RPQNMLOLQHIGFAN98CB,寶弘御璽,B2-2F棟B2號,
福興鄉,房地(土地+建物),彰化縣福興鄉員鹿路2段467巷,107.79,,鄉村區,乙種建築用地,1120815,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,177.0,4,3,3,有,無,13380000,75593,,0.0,0,,RPPNMLOLQHIGFCN09CB,永吉傳承第3期建案,B1棟1號,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉沙崙段405地號,110.83,,鄉村區,乙種建築用地,1120818,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,145.18,4,2,5,有,無,8700000,59926,,0.0,0,,RPQNMLOLQHIGFFN86CB,福星臻讚5,B1棟0號,
田尾鄉,房地(土地+建物),彰化縣田尾鄉福德段0766-0000地號,91.85,,特定農業區,甲種建築用地,1120812,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,138.37,4,2,3,有,無,9380000,67789,,0.0,0,,RPQNMLOLQHIGFFN96DB,肇天馨苑,B棟7號,
田尾鄉,房地(土地+建物),彰化縣田尾鄉福德段0766-0000地號,71.57,,特定農業區,甲種建築用地,1120816,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,134.34,4,2,3,有,無,7980000,59402,,0.0,0,,RPSNMLOLQHIGFFN17DB,肇天馨苑,A棟3號,
花壇鄉,房地(土地+建物),彰化縣花壇鄉明德街,97.3,,鄉村區,乙種建築用地,1120819,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.8,5,2,3,有,無,12000000,69444,,0.0,0,,RPPNMLPLQHIGFAN98CB,閱花壇,B棟B6號,
