編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKQHIGFGN96CB,儒芳段,105.26,都市：住,294227,10526,持分移轉,13100000
RPQNMLQKQHIGFBN56CB,福澤段,.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06290004
RPQNMLQKQHIGFBN56CB,福澤段,.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06290000
RPQNMLQKQHIGFBN56CB,福澤段,28.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06290038
RPQNMLQKQHIGFBN56CB,福澤段,71.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06290030
RPPNMLLLQHIGFAN58CB,華南段,79.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2198,79,持分移轉,04640000
RPPNMLSKQHIGFAN56CB,華南段,79.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2198,79,持分移轉,04640000
RPPNMLMLQHIGFGN66CB,儒生段,40.79,都市：住,47337,4079,持分移轉,06040000
RPPNMLMLQHIGFFN56CB,福德段,35.04,都市：住,73600,3504,持分移轉,10770000
RPPNMLSKQHIGFFN07CB,福德段,35.04,都市：住,73600,3504,持分移轉,10770000
RPPNMLMLQHIGFCN88CB,三元段,43.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3088,持分移轉,01410000
RPPNMLMLQHIGFCN88CB,三元段,1.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3088,持分移轉,01470000
RPPNMLKLQHIGFCN68CB,振興段,27.79,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,341,持分移轉,18120000
RPPNMLKLQHIGFCN68CB,振興段,2.33,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,341,持分移轉,18120001
RPQNMLKLQHIGFCN78CB,振興段,17.52,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,215,持分移轉,18120000
RPQNMLKLQHIGFCN78CB,振興段,1.47,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,215,持分移轉,18120001
RPRNMLKLQHIGFCN88CB,振興段,17.04,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,209,持分移轉,18120000
RPRNMLKLQHIGFCN88CB,振興段,1.43,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,209,持分移轉,18120001
RPUNMLNLQHIGFAN66CB,南興段,44.58,都市：農,29,1,持分移轉,06750000
RPUNMLNLQHIGFAN66CB,南興段,74.20,都市：農,1,1,全筆移轉,06750016
RPPNMLOLQHIGFCN09CB,福園段,92.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03840035
RPPNMLOLQHIGFCN09CB,福園段,15.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,125,9,持分移轉,03840007
RPQNMLOLQHIGFFN86CB,沙崙段,1.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04050001
RPQNMLOLQHIGFFN86CB,沙崙段,80.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04050002
RPQNMLOLQHIGFFN86CB,沙崙段,28.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,04050000
RPQNMLOLQHIGFFN86CB,沙崙段,.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,04050006
RPQNMLOLQHIGFFN96DB,福德段,91.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,183700,9185,持分移轉,07660000
RPSNMLOLQHIGFFN17DB,福德段,71.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,183700,7157,持分移轉,07660000
RPPNMLPLQHIGFEN76CB,崁頂段,22.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1012,持分移轉,08270000
RPPNMLPLQHIGFFN86CB,中圳段,22.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,464,持分移轉,03070000
RPPNMLQLQHIGFBN56CB,伸同段,23.71,都市：住,10000000,149993,持分移轉,04510000
RPQNMLLLQHIGFHN76CB,瓦窯北段,26.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,826,持分移轉,03340000
RPRNMLLLQHIGFHN86CB,瓦窯北段,25.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,796,持分移轉,03340000
RPPNMLNLQHIGFDN09CB,三和段,33.75,都市：住,100000,3045,持分移轉,05950001
RPPNMLNLQHIGFDN09CB,三和段,2.70,都市：住,64,1,持分移轉,05950000
RPPNMLNLQHIGFDN09CB,三和段,1.89,都市：住,64,1,持分移轉,05950003
RPPNMLMLQHIGFDN98CB,大庄段,36.19,都市：住,100000,6264,持分移轉,13110001
RPPNMLSLQHIGFAN66CB,牛稠子段下廍小段,19.80,都市：住,10000,39,持分移轉,02230002
RPQNMLPLQHIGFAN09CB,花壇段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,5869,60,持分移轉,04770020
RPQNMLSLQHIGFAN76CB,牛稠子段下廍小段,25.89,都市：住,10000,51,持分移轉,02230002
RPQNMLPLQHIGFAN09CB,花壇段,93.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,161275,9311,持分移轉,04770001
RPRNMLSLQHIGFAN86CB,牛稠子段下廍小段,20.82,都市：住,10000,41,持分移轉,02230002
RPPNMLPLQHIGFAN98CB,花壇段,13.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,5869,54,持分移轉,04770020
RPVNMLNLQHIGFAN76CB,南興段,44.58,都市：農,29,1,持分移轉,06750000
RPPNMLPLQHIGFAN98CB,花壇段,83.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,32255,1676,持分移轉,04770001
RPVNMLNLQHIGFAN76CB,南興段,62.80,都市：農,1,1,全筆移轉,06750032
