鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
員林市,房地(土地+建物),彰化縣員林市員水路二段４５０號,94.0,住,,,1120802,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,0620416,64.41,0,0,0,無,無,無,15000,233,,0.0,0,,RPPNMLOKQHIGFDN56CC,,,,,,
彰化市,建物,彰化縣彰化市成功路３０９巷１０號,0.0,商,,,1120731,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0630119,102.12,3,2,3,有,無,無,20000,196,,0.0,0,,RPPNMLPKQHIGFAN98CC,,,,,,
和美鎮,建物,彰化縣和美鎮和善路１４號,114.0,住,,,1120701,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0790524,166.98,0,0,0,無,無,無,15000,90,,0.0,0,備註:原申報書序號:C1NB11207060001撤銷重新申報:1.土地使用分區變更勾選為住宅區、2.申報代理人變更為自然人、3.變更租賃期限3年112.7.1~115.6.30改為1年112.7.1~113.6.30,RPPNMLPKQHIGFBN09CC,,,,,,
員林市,房地(土地+建物),彰化縣員林市員水路二段４５０號,94.0,住,,,1120802,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0620416,126.74,0,0,0,無,無,無,10000,79,,0.0,0,,RPPNMLPKQHIGFDN66CC,,,,,,
埔心鄉,房地(土地+建物),彰化縣埔心鄉瓦南街５６號,456.13,住,,,1120807,土地1建物1車位0,見其他登記事項,1,店面(店鋪),店鋪,鋼骨造,1100729,151.65,0,0,0,無,無,無,15000,99,,0.0,0,承租此店面的三分之一,RPPNMLPKQHIGFHN07CC,,,,,,
埔心鄉,房地(土地+建物),彰化縣埔心鄉瓦南街５６號,456.13,住,,,1120807,土地1建物1車位0,見其他登記事項,1,店面(店鋪),店鋪,鋼骨造,1100729,151.65,0,0,0,無,無,無,30000,198,,0.0,0,承租此店面三分之二,RPQNMLPKQHIGFHN17CC,,,,,,
彰化市,建物,彰化縣彰化市中正路二段６３巷２號,0.0,商,,,1120803,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0420701,90.11,1,1,1,有,無,無,9000,100,,0.0,0,房屋用途做倉庫使用。租金調漲：民國115年9月16日起租金每月調整為新台幣壹萬元整至117年9月15日止。,RPPNMLQKQHIGFAN09CC,,,,,,
彰化市,房地(土地+建物),彰化縣彰化市長順街４９號,92.0,住,,,1120728,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0610616,163.59,5,2,3,有,無,無,20000,122,,0.0,0,,RPQNMLQKQHIGFAN56CC,,,,,,
員林市,建物,彰化縣員林市林森路１號,0.0,住,,,1120810,土地0建物0車位0,六層,6,套房(1房1廳1衛),廠房、宿舍、辦公室、倉庫,鋼筋混凝土造,0791120,29.66,1,1,1,有,無,有,4700,158,,0.0,0,,RPPNMLQKQHIGFDN76CC,,,,,,
