編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSTMLRJJIIGFAO76DA,14,.03,守衛室,鋼筋混凝土造,98年6月1日,十五層,一層,持分移轉
RPSTMLRJJIIGFAO76DA,14,61.45,策略性產業辦公室,鋼筋混凝土造,98年6月1日,十五層,十二層 陽台,持分移轉
RPSTMLRJJIIGFAO76DA,14,.00,梯間、水箱、昇降機房,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPSTMLRJJIIGFAO76DA,14,10.62,梯間、水箱、昇降機房,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPSTMLRJJIIGFAO76DA,14,21.60,防空避難室兼停車空間、消防機械室、污水機房、台電配電室、電信室、開放空間、發電機室,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPSTMLRJJIIGFAO76DA,14,15.30,防空避難室兼停車空間、消防機械室、污水機房、台電配電室、電信室、開放空間、發電機室,鋼筋混凝土造,98年6月1日,十五層,,持分移轉
RPQNMLRJJIIGFAO58DA,,35.36,住家用,鋼筋混凝土造,,七層,五層 陽台,全筆移轉
RPQNMLRJJIIGFAO58DA,33,9.09,共有部分,鋼筋混凝土造,80年1月12日,七層,,持分移轉
RPVNMLTJJIIGFAO66DA,15,.03,辦公室,鋼筋混凝土造,98年3月19日,十層,地下二層,持分移轉
RPVNMLTJJIIGFAO66DA,15,5.01,防空避難室兼停車空間、水箱、機房、電信機房、樓梯間,鋼筋混凝土造,98年3月19日,十層,,持分移轉
RPXOMLNJJIIGFAO98DA,17,17.76,集合住宅,鋼筋混凝土造,95年11月15日,六層,六層 雨遮,全筆移轉
RPXOMLNJJIIGFAO98DA,17,9.02,停車空間、樓梯間等共同使用部份,鋼筋混凝土造,95年11月15日,六層,,持分移轉
RPSOMLKKJIIGFAO28DA,16,93.11,集合住宅,鋼筋混凝土造,96年12月10日,六層,二層 陽台 雨遮,全筆移轉
RPSOMLKKJIIGFAO28DA,16,5.91,消防蓄水池、受電室、機房,鋼筋混凝土造,96年12月10日,六層,,持分移轉
RPSOMLKKJIIGFAO28DA,16,7.93,停車空間、騎樓、梯廳,鋼筋混凝土造,96年12月10日,六層,,持分移轉
RPSOMLKKJIIGFAO28DA,16,16.10,水箱、梯間、機房,鋼筋混凝土造,96年12月10日,六層,,持分移轉
RPRNMLQKJIIGFAO68DA,8,167.47,停車空間、集合住宅,鋼筋混凝土造,104年11月30日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLKLJIIGFAO18EA,29,32.38,住家用,鋼筋混凝土造,83年10月23日,六層,一層 平台,持分移轉
RPWNMLKLJIIGFAO68DA,27,67.33,住家用,鋼筋混凝土造,86年1月24日,十二層,三層 陽台,持分移轉
RPOOMLKLJIIGFAO97DA,11,104.83,集合住宅,鋼筋混凝土造,101年10月15日,二十五層,二層 陽台 雨遮,全筆移轉
RPOOMLKLJIIGFAO97DA,11,50.84,共有部分,鋼筋混凝土造,101年10月15日,二十五層,,持分移轉
RPQNMLKLJIIGFAO18EA,29,17.17,共有部分,鋼筋混凝土造,83年10月23日,六層,,持分移轉
RPWNMLKLJIIGFAO68DA,27,9.74,避難室、停車空間,鋼筋混凝土造,86年1月24日,十二層,,持分移轉
RPOOMLKLJIIGFAO97DA,11,27.92,共有部分,鋼筋混凝土造,101年10月15日,二十五層,,持分移轉
