編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLLQHIGFAO68CB,民富段,25.40,都市：住,705974,9135,持分移轉,12180023
RPRNMLLLQHIGFAO88CB,民富段,25.40,都市：住,705974,9135,持分移轉,12180023
RPSNMLLLQHIGFAO98CB,民富段,25.40,都市：住,705974,9135,持分移轉,12180023
RPTNMLLLQHIGFAO09CB,民富段,25.40,都市：住,705974,9135,持分移轉,12180023
RPUNMLLLQHIGFAO56CB,民富段,25.40,都市：住,705974,9135,持分移轉,12180023
RPVNMLLLQHIGFAO66CB,中寮段,27.52,都市：住,100000,1300,持分移轉,01680000
RPWNMLLLQHIGFAO76CB,中寮段,27.52,都市：住,100000,1300,持分移轉,01680000
RPXNMLLLQHIGFAO86CB,中寮段,27.52,都市：住,100000,1300,持分移轉,01680000
RPQNMLPKQHIGFAO09CB,金雅段,32.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1666,持分移轉,00470000
RPVNMLQKQHIGFAO07CB,民富段,25.40,都市：住,705974,9135,持分移轉,12180023
RPTNMLQKQHIGFAO86CB,民富段,25.40,都市：住,705974,9135,持分移轉,12180023
RPPNMLPKQHIGFAO98CB,金雅段,32.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1667,持分移轉,00470000
RPOOMLLLQHIGFAO68CB,中寮段,27.73,都市：住,100000,1310,持分移轉,01680000
RPQNMLOKQHIGFAO98CB,竹蓮段,15.48,都市：商,100000,4539,持分移轉,16050000
RPQNMLOKQHIGFAO98CB,竹蓮段,10.30,都市：住,100000,4539,持分移轉,16090000
RPPOMLLLQHIGFAO78CB,中寮段,27.73,都市：住,100000,1310,持分移轉,01680000
RPRNMLMLQHIGFAO98CB,育賢段,32.89,都市：住,100000,980,持分移轉,00140002
RPWNMLNLQHIGFAO96CB,竹港段,22.06,都市：住,100000,886,持分移轉,07230000
RPVNMLNLQHIGFAO86CB,竹港段,22.06,都市：住,100000,886,持分移轉,07230000
RPTNMLNLQHIGFAO66CB,竹港段,20.46,都市：住,100000,822,持分移轉,07230000
RPOOMLNLQHIGFAO88CB,竹港段,22.06,都市：住,100000,886,持分移轉,07230000
RPPOMLNLQHIGFAO98CB,竹港段,14.49,都市：住,100000,582,持分移轉,07230000
RPPNMLMKQHIGFAO78DB,聚吉段,28.99,都市：住,100000,2626,持分移轉,00270007
RPPNMLMLQHIGFAO88DB,聚吉段,28.99,都市：住,100000,2626,持分移轉,00270007
RPQNMLKLQHIGFAO78DB,武陵段,32.41,都市：住,100000,1262,持分移轉,00280000
RPPNMLKLQHIGFAO68DB,武陵段,41.81,都市：住,100000,1628,持分移轉,00280000
RPVOMLNLQHIGFAO96CB,竹港段,17.92,都市：住,100000,720,持分移轉,07230000
RPROMLNLQHIGFAO56CB,竹港段,12.20,都市：住,100000,490,持分移轉,07230000
RPQOMLNLQHIGFAO09CB,竹港段,12.20,都市：住,100000,490,持分移轉,07230000
RPXOMLNLQHIGFAO17CB,復中段,.24,都市：商,100000,547,持分移轉,05590000
RPXOMLNLQHIGFAO17CB,復中段,.05,都市：住,100000,547,持分移轉,05590003
RPXOMLNLQHIGFAO17CB,復中段,.75,都市：商,100000,547,持分移轉,05600000
RPXOMLNLQHIGFAO17CB,復中段,.08,都市：商,100000,547,持分移轉,05610000
RPXOMLNLQHIGFAO17CB,復中段,.02,都市：住,100000,547,持分移轉,05610001
RPXOMLNLQHIGFAO17CB,復中段,.80,都市：商,100000,547,持分移轉,05620000
RPXOMLNLQHIGFAO17CB,復中段,2.20,都市：住,100000,547,持分移轉,05630000
RPXOMLNLQHIGFAO17CB,復中段,.38,都市：住,100000,547,持分移轉,05640000
