鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,建物,新竹市新竹市東大路二段７５號,0.0,住,,,1120802,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,,102.14,2,2,2,有,無,無,45000,441,,0.0,0,,RPPNMLLKQHIGFAO68CC,,,,,,
新竹市,建物,新竹市新竹市中山路３１９巷１８號６樓之３,0.0,住,,,1120729,土地0建物1車位0,六層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851118,45.59,1,1,1,有,有,有,8000,175,,0.0,0,,RPQNMLLKQHIGFAO78CC,,,,,,
新竹市,建物,新竹市新竹市立鵬路１１６號十九樓,0.0,商,,,1120729,土地0建物1車位1,十九層,25,住宅大樓(11層含以上有電梯),集合住宅、機電空間,鋼筋混凝土造,1031117,182.16000000000003,4,2,2,有,有,有,36000,198,坡道平面,0.0,0,車位面積無法分算。本物件共有四位承租方。,RPRNMLLKQHIGFAO88CC,,,,,,
新竹市,房地(土地+建物),新竹市新竹市民富街３０６-１號４F,25.0,住,,,1120729,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0990427,177.53,3,2,2,有,無,有,26000,146,,0.0,0,,RPSNMLLKQHIGFAO98CC,,,,,,
新竹市,建物,新竹市新竹市東大路一段５２巷１號３樓之２,0.0,住,,,1120806,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850830,130.68,3,2,2,有,有,有,15000,115,,0.0,0,,RPPNMLOKQHIGFAO98CC,,,,,,
新竹市,建物,新竹市新竹市振興一街１３９號３樓之２,0.0,住,,,1120726,土地0建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860203,26.61,1,1,1,有,有,有,7000,263,,0.0,0,,RPRNMLOKQHIGFAO56CC,,,,,,
新竹市,建物,新竹市新竹市武陵路２７１巷５７弄１３號５樓,0.0,其他,,,1120728,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820112,115.1,3,2,2,有,有,有,14000,122,,0.0,0,水電瓦斯費及每月管理費1500元由承租人另外負擔。,RPSNMLOKQHIGFAO66CC,,,,,,
新竹市,建物,新竹市新竹市建新路２６號２樓,0.0,住,,,1120802,土地0建物1車位0,二層,7,辦公商業大樓,辦公室,鋼筋混凝土造,0850517,144.76,2,2,1,有,有,無,36000,249,,0.0,0,含增建或未登記建物。；,RPPNMLPKQHIGFAO56DC,,,,,,
新竹市,土地,千甲段991-2地號,459.35,農,,,1120721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,22,,0.0,0,,RPPNMLQKQHIGFAO56CC,,,,,,
新竹市,建物,新竹市新竹市湳中街４６號４樓,0.0,住,,,1120808,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830819,108.94,3,2,2,有,有,有,14000,129,,0.0,0,,RPQNMLQKQHIGFAO66CC,,,,,,
