編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKQHIGFAO68CC,,102.14,住家用,加強磚造,,二層,,
RPQNMLLKQHIGFAO78CC,27,40.61,住家用,鋼筋混凝土造,85年11月18日,六層,,
RPQNMLLKQHIGFAO78CC,27,4.98,公共設施,鋼筋混凝土造,85年11月18日,六層,,
RPSNMLLKQHIGFAO98CC,13,119.09,集合住宅,鋼筋混凝土造,99年4月27日,五層,,
RPSNMLLKQHIGFAO98CC,13,55.34,共有部分,鋼筋混凝土造,99年4月27日,五層,,
RPSNMLLKQHIGFAO98CC,13,3.10,共有部分,鋼筋混凝土造,99年4月27日,二層,,
RPRNMLLKQHIGFAO88CC,9,108.70,集合住宅、機電空間,鋼筋混凝土造,103年11月17日,二十五層,,
RPRNMLLKQHIGFAO88CC,9,21.95,共有部分,鋼筋混凝土造,103年11月17日,二十五層,,
RPRNMLQKQHIGFAO76CC,,99.34,住家用,加強磚造,,二層,,
RPRNMLLKQHIGFAO88CC,9,51.47,共有部分,鋼筋混凝土造,103年11月17日,二十七層,,
RPRNMLLKQHIGFAO88CC,9,.03,店舖,鋼筋混凝土造,103年11月17日,二十五層,,
RPRNMLLKQHIGFAO88CC,9,.01,共有部分,鋼筋混凝土造,103年11月17日,二十五層,,
RPSNMLOKQHIGFAO66CC,31,88.82,住家用,鋼筋混凝土造,82年1月12日,六層,,
RPSNMLOKQHIGFAO66CC,31,26.28,共有部分,鋼筋混凝土造,82年1月12日,六層,,
RPPNMLOKQHIGFAO98CC,27,85.83,住家用,鋼筋混凝土造,85年8月30日,十二層,,
RPPNMLOKQHIGFAO98CC,27,44.85,共有部分,鋼筋混凝土造,85年8月30日,十二層,,
RPQNMLQKQHIGFAO66CC,29,90.95,住家用,鋼筋混凝土造,83年8月19日,七層,,
RPQNMLQKQHIGFAO66CC,29,17.99,共有部分,鋼筋混凝土造,83年8月19日,七層,,
RPRNMLOKQHIGFAO56CC,26,20.18,住家用,鋼筋混凝土造,86年2月3日,五層,,
RPRNMLOKQHIGFAO56CC,26,6.43,梯間,鋼筋混凝土造,86年2月3日,五層,,
RPQNMLRKQHIGFAO76CC,29,28.00,住商用,鋼筋混凝土造,83年12月7日,七層,,
RPQNMLRKQHIGFAO76CC,29,8.97,共有部分,鋼筋混凝土造,83年12月7日,七層,,
RPQNMLRKQHIGFAO76CC,29,11.60,共有部分,鋼筋混凝土造,83年12月7日,七層,,
RPPNMLSKQHIGFAO76CC,14,33.28,辦公室,鋼筋混凝土造,98年3月19日,十層,,
RPPNMLSKQHIGFAO76CC,14,14.76,防空避難室兼停車空間、水箱、機房、電信機房、樓梯間,鋼筋混凝土造,98年3月19日,十層,,
RPPNMLSKQHIGFAO76CC,14,4.04,樓梯間,鋼筋混凝土造,98年3月19日,十層,,
RPPNMLLLQHIGFAO78CC,32,28.25,住家用,鋼筋混凝土造,80年3月7日,六層,,
RPPNMLLLQHIGFAO78CC,32,10.16,共有部分,鋼筋混凝土造,80年3月7日,六層,,
RPPNMLMLQHIGFAO88CC,16,25.13,集合住宅,鋼筋混凝土造,96年3月5日,十一層,,
RPPNMLMLQHIGFAO88CC,16,10.28,停車空間、防空避難室、樓梯間、機械室、水箱,鋼筋混凝土造,96年3月5日,十一層,,
RPSNMLPLQHIGFAO86CC,14,257.10,停車空間、住宅,鋼筋混凝土造,98年12月10日,五層,,
RPPNMLPLQHIGFAO56CC,23,89.33,住宅,鋼筋混凝土造,89年9月30日,十二層,,
RPQNMLMLQHIGFAO98CC,3,16.52,住宅、店舖、停車空間、樓梯間,鋼筋混凝土造,109年8月12日,四層,,
RPPNMLPLQHIGFAO56CC,23,17.69,梯間、機械室、住家用,鋼筋混凝土造,89年9月30日,十二層,,
RPPNMLPLQHIGFAO56CC,23,21.93,防空避難室、停車場,鋼筋混凝土造,89年9月30日,十二層,,
RPQNMLPLQHIGFAO66CC,12,113.44,集合住宅,鋼筋混凝土造,100年10月1日,十五層,,
RPQNMLPLQHIGFAO66CC,12,54.48,共有部分,鋼筋混凝土造,100年10月1日,二十層,,
RPQNMLPLQHIGFAO66CC,12,23.40,共有部分,鋼筋混凝土造,100年10月1日,十五層,,
RPQNMLPLQHIGFAO66CC,12,.10,管理員室,鋼筋混凝土造,100年10月1日,十五層,,
RPRNMLMLQHIGFAO09CC,26,20.40,住家用,鋼筋混凝土造,86年7月7日,五層,,
RPRNMLMLQHIGFAO09CC,26,8.32,共有部分,鋼筋混凝土造,86年7月7日,五層,,
RPQNMLLLQHIGFAO88CC,29,28.00,住商用,鋼筋混凝土造,83年12月7日,七層,,
RPQNMLLLQHIGFAO88CC,29,8.97,共有部分,鋼筋混凝土造,83年12月7日,七層,,
RPQNMLLLQHIGFAO88CC,29,11.60,共有部分,鋼筋混凝土造,83年12月7日,七層,,
RPTNMLPLQHIGFAO96CC,29,17.00,住商用,鋼筋混凝土造,83年12月7日,七層,,
RPTNMLPLQHIGFAO96CC,29,8.97,共有部分,鋼筋混凝土造,83年12月7日,七層,,
RPTNMLPLQHIGFAO96CC,29,11.60,共有部分,鋼筋混凝土造,83年12月7日,七層,,
RPUNMLPLQHIGFAO07CC,29,66.90,住家用,鋼筋混凝土造,84年1月28日,五層,,
RPUNMLPLQHIGFAO07CC,29,1.65,,鋼筋混凝土造,84年1月28日,五層,,
RPSNMLQLQHIGFAO96CC,22,17.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPVNMLQLQHIGFAO27CC,22,18.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPTNMLQLQHIGFAO07CC,22,18.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPWNMLQLQHIGFAO37CC,22,17.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPPNMLSLQHIGFAO86CC,22,18.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPQNMLSLQHIGFAO96CC,22,18.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPXNMLQLQHIGFAO47CC,22,18.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPRNMLSLQHIGFAO07CC,22,18.00,店舖、住宅,鋼筋混凝土造,90年4月3日,三層,,
RPPNMLPKQHIGFAO56DC,27,93.12,辦公室,鋼筋混凝土造,85年5月17日,七層,,
RPPNMLPKQHIGFAO56DC,27,51.64,共有部分,鋼筋混凝土造,85年5月17日,七層,,
RPQNMLTLQHIGFAO07CC,17,18.19,住家用,鋼筋混凝土造,95年7月31日,五層,,
RPQNMLTLQHIGFAO07CC,17,9.18,停車空間、樓梯間等共同使用部份,鋼筋混凝土造,95年7月31日,五層,,
RPPNMLTLQHIGFAO96CC,29,183.56,住家用,鋼筋混凝土造,84年1月26日,四層,,
RPSNMLSLQHIGFAO17CC,16,137.64,集合住宅,鋼筋混凝土造,96年11月1日,二十九層,,
RPSNMLSLQHIGFAO17CC,16,68.29,管理室、中繼泵浦室、梯間、機房、防空避難室兼停車空間,鋼筋混凝土造,96年11月1日,二十九層,,
RPSNMLSLQHIGFAO17CC,16,22.43,梯間,鋼筋混凝土造,96年11月1日,二十九層,,
RPSNMLSLQHIGFAO17CC,16,.42,管理室〈防災中心〉,鋼筋混凝土造,96年11月1日,二十九層,,
