編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLKKJIIGFEP48DA,37,38.75,住家用,加強磚造,75年9月30日,二層,一層 二層 陽台 騎樓 電梯樓梯間,持分移轉
RPSNMLQKJIIGFAP98EA,44,135.00,住家用,加強磚造,69年2月15日,,一層 二層 騎樓,全筆移轉
RPSNMLSJJIIGFAP98DA,44,171.60,防空避難、騎樓、店舖停車空間、住宅、梯間,鋼筋混凝土造,68年12月30日,三層,一層 二層 三層 屋頂突出物 騎樓 地下一層,全筆移轉
RPVNMLNKJIIGFAP88DA,29,35.86,住家用,鋼筋混凝土造,83年12月25日,八層,六層 陽台 見其他登記事項,全筆移轉
RPVNMLNKJIIGFAP88DA,29,3.13,共有部份,鋼筋混凝土造,83年12月25日,八層,,持分移轉
RPVNMLNKJIIGFAP88DA,29,2.39,共有部份,鋼筋混凝土造,83年12月25日,八層,,持分移轉
RPTNMLQKJIIGFAP09EA,17,231.72,住家用,鋼筋混凝土造,95年7月7日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間,全筆移轉
RPPNMLTKJIIGFAP88DA,48,61.05,住家用,磚造,65年1月10日,一層,一層,全筆移轉
RPQNMLPKJIIGFAP68EA,25,4.23,共有部份,鋼筋混凝土造,87年12月20日,五層,,持分移轉
RPQNMLPKJIIGFAP68EA,25,3.03,共有部份,鋼筋混凝土造,87年12月20日,五層,,持分移轉
RPQNMLPKJIIGFAP68EA,25,32.13,住家用,鋼筋混凝土造,87年12月20日,五層,二層 陽台,持分移轉
RPQNMLPKJIIGFAP68EA,25,10.77,共有部份,鋼筋混凝土造,87年12月20日,五層,,持分移轉
RPPNMLNLJIIGFEP88EA,1,173.19,住家用,鋼筋混凝土造,112年3月28日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLNLJIIGFEP56DA,1,125.79,住宅、停車空間,鋼筋混凝土造,112年1月7日,三層,一層 二層 三層,全筆移轉
