鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,,,1120813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.82,3,1,2,有,無,12460000,86393,坡道平面,35.8,1400000,,RPQNMLNKQHIGFAP98CB,品風華,4FE棟3號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市萬年路141巷,22.38,,鄉村區,乙種建築用地,1120812,土地9建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.85,2,2,1,有,無,6030000,86328,一樓平面,0.0,950000,,RPQNMLOKQHIGFAP09CB,沐森II,5C號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮新生三路,109.74,住,,,1120813,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,161.5,4,2,4,有,無,10100000,62539,,0.0,0,,RPQNMLOKQHIGFBP66DB,展揚時代,D棟5號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮新生三路,95.44,住,,,1120813,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,161.5,4,2,4,有,無,9800000,60681,,0.0,0,,RPRNMLOKQHIGFBP76DB,展揚時代,D棟3號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路,18.59,住,,,1120815,土地2建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.27,2,0,2,有,無,3780000,75194,,0.0,0,,RPPNMLQKQHIGFBP76DB,一暘文心,5G號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮新興街,18.65,住,,,1120815,土地2建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,61.66,2,1,1,有,無,4300000,69737,,0.0,0,,RPWOMLRKQHIGFBP57CB,雲龍太棧第6期,4F-A1號,
崙背鄉,房地(土地+建物),雲林縣崙背鄉水尾村下街,124.29,,鄉村區,乙種建築用地,1120812,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.97,4,3,4,有,無,6830000,38594,,0.0,0,,RPPNMLRKQHIGFCP86CB,富貴邑3,C棟C2號,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮路門牌尚未申請,111.4,,鄉村區,乙種建築用地,1120812,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,184.2,5,1,5,有,無,9500000,51574,,0.0,0,,RPQNMLLLQHIGFFP76CB,山寮888社區,A棟5號,
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,135.0,,鄉村區,乙種建築用地,1120814,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,170.68,4,2,4,有,無,10380000,60816,,0.0,0,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLLLQHIGFAP88DB,荷翠二期,A棟13號,
