編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKQHIGFBP76DB,僑真段,9.29,都市：住,100000,1739,持分移轉,06380000
RPPNMLQKQHIGFBP76DB,僑真段,9.29,都市：住,100000,1739,持分移轉,06380001
RPPNMLRKQHIGFCP86CB,崩溝寮段,91.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01530074
RPPNMLRKQHIGFCP86CB,崩溝寮段,11.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,17,1,持分移轉,01530053
RPPNMLRKQHIGFCP86CB,崩溝寮段,21.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,17,1,持分移轉,01530030
RPPNMLNLQHIGFCP56CB,西螺段,114.30,都市：住,1,1,全筆移轉,08220276
RPPNMLNLQHIGFCP56CB,西螺段,26.81,都市：住,16,1,持分移轉,08220004
RPPNMLNLQHIGFBP56DB,僑真段,9.86,都市：住,100000,1845,持分移轉,06380000
RPPNMLNLQHIGFBP56DB,僑真段,9.86,都市：住,100000,1845,持分移轉,06380001
RPQNMLNLQHIGFBP66DB,僑真段,14.90,都市：住,100000,2787,持分移轉,06380000
RPQNMLNLQHIGFBP66DB,僑真段,14.90,都市：住,100000,2787,持分移轉,06380001
RPRNMLNLQHIGFBP76DB,僑真段,9.29,都市：住,100000,1739,持分移轉,06380000
RPRNMLNLQHIGFBP76DB,僑真段,9.29,都市：住,100000,1739,持分移轉,06380001
RPWOMLRKQHIGFBP57CB,明昌段,.14,都市：住,10000,17,持分移轉,10800000
RPWOMLRKQHIGFBP57CB,明昌段,18.51,都市：住,10000,414,持分移轉,10800001
RPRNMLOKQHIGFBP76DB,興國段,95.00,都市：住,1,1,全筆移轉,14610011
RPRNMLOKQHIGFBP76DB,興國段,.18,都市：住,55,1,持分移轉,14610065
