鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉延平路２７５號３樓之４,15.02,住,,,1120715,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841121,91.22,3,2,2,有,無,有,6600,72,,0.0,0,,RPPNMLLKQHIGFAP78CC,,,,,,
斗六市,建物,雲林縣斗六市樂利街５３號六樓之２１,0.0,住,,,1120718,土地0建物1車位0,六層,7,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0990223,16.560000000000002,1,0,1,有,有,有,4200,254,,0.0,0,,RPQNMLLKQHIGFAP88CC,,,,,,
斗六市,建物,雲林縣斗六市樂利街５３號五樓之３,0.0,住,,,1120718,土地0建物1車位0,五層,7,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0990223,15.440000000000001,1,0,1,有,有,有,4200,272,,0.0,0,,RPRNMLLKQHIGFAP98CC,,,,,,
斗六市,房地(土地+建物),雲林縣斗六市中華路４５２號,130.0,住,,,1120811,土地1建物1車位0,三層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0900925,294.8,1,1,1,有,無,有,4500,15,,0.0,0,,RPPNMLOKQHIGFAP09CC,,,,,,
斗六市,房地(土地+建物),雲林縣斗六市科班一路２６號,1801.0,,工業區,丁種建築用地,1120802,土地1建物1車位0,一層,1,工廠,工業用,鋼骨造,1071201,3139.0,0,0,0,無,無,無,439440,,,0.0,0,,RPRNMLOKQHIGFAP66CC,,,,,,
斗六市,建物,雲林縣斗六市樂利街５３號三樓之２７,0.0,住,,,1120721,土地0建物1車位0,三層,7,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0990223,16.299999999999997,1,0,1,有,有,有,4200,258,,0.0,0,,RPSNMLOKQHIGFAP76CC,,,,,,
斗六市,建物,雲林縣斗六市龍潭路９０號,0.0,,特定農業區,農牧用地,1120810,土地0建物0車位0,一層,3,農舍,農舍、梯間,鋼筋混凝土造,0950828,13.25,24,0,0,有,無,無,4300,,,0.0,0,,RPTNMLOKQHIGFAP86CC,,,,,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮中山路３６號,149.82,商,,,1120726,土地1建物1車位0,一層,2,店面(店鋪),店舖、樓梯間,鋼骨造,1110719,100.57,0,0,0,無,無,有,19900,198,,0.0,0,,RPPNMLOKQHIGFDP76CC,,,,,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮中山路３６號,149.82,商,,,1120726,土地1建物1車位0,全,3,透天厝,店舖、樓梯間,鋼骨造,1110719,100.57,0,0,0,無,無,無,19900,198,,0.0,0,,RPQNMLOKQHIGFDP86CC,,,,,,
斗六市,建物,雲林縣斗六市中華路４５２號,0.0,住,,,1120811,土地0建物0車位0,三層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0900925,16.53,1,1,1,有,無,有,4500,272,,0.0,0,,RPQNMLPKQHIGFAP66CC,,,,,,
斗六市,房地(土地+建物),雲林縣斗六市永昌東街９號,76.0,商,,,1120731,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0680817,125.13,3,3,2,有,無,有,18000,144,,0.0,0,,RPRNMLPKQHIGFAP76CC,,,,,,
虎尾鎮,建物,雲林縣虎尾鎮林森路一段４１６巷３５號六樓,0.0,商,,,1120803,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820407,123.91999999999999,3,2,2,有,有,有,15000,121,,0.0,0,水電、瓦斯費及網路費由承租人負擔。,RPPNMLPKQHIGFDP86CC,,,,,,
斗六市,建物,雲林縣斗六市民生路８２號,0.0,商,,,1120730,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0740725,14.94,1,0,1,有,無,有,5000,335,,0.0,0,,RPPNMLQKQHIGFAP66CC,,,,,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮中山路３８號１樓,149.82,商,,,1120726,土地1建物1車位0,一層,3,店面(店鋪),騎樓、店舖、樓梯間,鋼骨造,1110719,89.66,0,0,0,無,無,無,19900,222,,0.0,0,,RPPNMLQKQHIGFDP96CC,,,,,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮中山路３６號三樓,149.82,商,,,1120726,土地1建物1車位0,全,3,透天厝,店舖、樓梯間,鋼骨造,1110719,26.31,0,0,0,無,無,無,19900,756,,0.0,0,,RPQNMLQKQHIGFDP07CC,,,,,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮中山路３８號２樓,133.61,商,,,1120726,土地1建物1車位0,全,3,透天厝,騎樓、店舖、樓梯間,鋼骨造,1110719,100.84,0,0,0,無,無,無,19900,197,,0.0,0,,RPRNMLQKQHIGFDP17CC,,,,,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮中山路３８號３樓,133.61,商,,,1120726,土地1建物1車位0,全,3,透天厝,騎樓、店舖、樓梯間,鋼骨造,1110719,25.05,0,0,0,無,無,無,19900,794,,0.0,0,,RPSNMLQKQHIGFDP27CC,,,,,,
斗六市,建物,雲林縣斗六市樂利街５３號六樓之２２,0.0,住,,,1120731,土地0建物1車位0,六層,7,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,,RPPNMLNLQHIGFAP09CC,,,,,,
虎尾鎮,建物,雲林縣虎尾鎮五間厝６０號七樓之５,0.0,住,,,1120730,土地0建物1車位0,七層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1080409,13.510000000000002,1,0,1,有,有,有,4000,296,,0.0,0,,RPPNMLNLQHIGFDP76CC,,,,,,
