編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLOKJIIGFCQ68DA,1,157.24,住宅、樓梯間、水塔放置空間,鋼筋混凝土造,112年3月20日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
RPPNMLNKJIIGFCQ58DA,30,245.44,農舍,鋼筋混凝土加強磚造,83年1月15日,二層,一層 二層 電梯樓梯間,持分移轉
RPQOMLTJJIIGFBQ56DA,1,272.90,住家用,鋼筋混凝土造,111年12月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSNMLQKJIIGFDQ66DA,18,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPSNMLQKJIIGFDQ66DA,18,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,三層 陽台,全筆移轉
RPRNMLTKJIIGFBQ66DA,28,172.71,住家用,鋼筋混凝土造,84年11月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLLLJIIGFDQ68EA,34,116.54,住家用,鋼筋混凝土加強磚造,78年7月31日,二層,一層 二層 電梯樓梯間 夾層,全筆移轉
RPPNMLKLJIIGFBQ28DA,20,17.93,住家用,鋼筋混凝土造,92年8月21日,五層,四層 陽台,全筆移轉
RPPNMLKLJIIGFBQ28DA,20,4.79,門廳、走道、梯間,鋼筋混凝土造,92年8月21日,五層,,持分移轉
RPQNMLKKJIIGFBQ28DA,30,114.01,住商用,鋼筋混凝土造,82年8月4日,三層,一層 二層 三層,全筆移轉
RPUNMLKKJIIGFBQ68DA,9,201.40,店舖、住宅,鋼筋混凝土造,103年7月30日,二層,一層 二層 陽台,全筆移轉
RPXNMLKLJIIGFDQ66DA,43,99.08,住家用,鋼筋混凝土加強磚造,69年7月15日,二層,一層 二層,全筆移轉
RPSPMLTJJIIGFDQ07DA,26,69.21,集合住宅,鋼筋混凝土造,86年7月15日,四層,三層 陽台,全筆移轉
RPSPMLTJJIIGFDQ07DA,26,5.10,樓梯間,鋼筋混凝土造,86年7月15日,四層,,持分移轉
RPUNMLLLJIIGFCQ98DA,29,40.45,集合住宅,鋼筋混凝土造,84年5月2日,五層,二層 陽台,全筆移轉
RPUNMLLLJIIGFCQ98DA,29,9.54,共有部分,鋼筋混凝土造,84年5月2日,五層,,持分移轉
RPTNMLNLJIIGFDQ56DA,40,124.37,住家用,鋼筋混凝土加強磚造,72年9月7日,三層,一層 二層 三層,全筆移轉
RPRNMLRLJIIGFBQ56DA,41,55.30,住商用,鋼筋混凝土加強磚造,71年10月21日,二層,一層 二層 騎樓 電梯樓梯間,持分移轉
RPQNMLOLJIIGFDQ98DA,21,3.31,集合住宅,鋼筋混凝土造,92年5月5日,五層,,持分移轉
RPQNMLOLJIIGFDQ98DA,21,18.80,集合住宅,鋼筋混凝土造,92年5月5日,五層,三層 陽台,全筆移轉
RPPNMLNLJIIGFBQ68EA,17,4.20,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
