編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJJIIGFCQ09EA,好收段竹圍後小段,1310.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00320028
RPPNMLTJJIIGFCQ56EA,厝子段下厝小段,445.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06050001
RPSNMLSJJIIGFBQ56DA,大塗師段塗師小段,931.00,都市：其他:農業區,1,1,全筆移轉,04850002
RPSNMLQJJIIGFBQ98DA,海埔段海埔小段,3075.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01830000
RPTNMLMJJIIGFBQ68DA,蘇厝段,25.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,2,持分移轉,01460000
RPWNMLKKJIIGFBQ88DA,型厝段,382.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01850000
RPTNMLMJJIIGFBQ68DA,蘇厝段,1.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,2,持分移轉,01470000
RPRNMLOKJIIGFDQ09EA,下潭段光潭小段,2048.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04430000
RPRNMLOKJIIGFDQ09EA,下潭段光潭小段,2048.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04440000
RPPNMLNJJIIGFBQ38DA,六腳新段,310.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08330000
RPUNMLOKJIIGFBQ09DA,灣南段,26.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,03310000
RPOOMLOKJIIGFCQ68DA,民農段,82.58,,1,1,全筆移轉,05010002
RPQNMLNKJIIGFBQ58DA,建興段,59.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,13824,1402,持分移轉,10750000
RPQNMLTJJIIGFCQ56DA,復興段,227.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,270000,3851,持分移轉,00990000
RPPNMLTJJIIGFCQ09DA,復興段,295.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,54,1,持分移轉,00990000
RPPNMLNKJIIGFCQ58DA,大潭段北潭小段,2.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04280003
