編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLPLQHIGFDQ96CB,坡道平面,1600000,19.18,地下二樓
RPQNMLPLQHIGFDQ07CB,坡道平面,1600000,17.05,地下一樓
RPPNMLSLQHIGFCQ17CB,坡道機械,550000,8.00,一樓
RPQNMLSLQHIGFCQ27CB,坡道機械,550000,8.00,一樓
RPTNMLTLQHIGFBQ57CB,一樓平面,1000000,23.48,一樓
RPQNMLLJRHIGFBQ98CB,升降機械,500000,8.51,一樓
RPQNMLPJRHIGFDQ96CB,坡道平面,1600000,17.05,地下一樓
RPPNMLPJRHIGFDQ86CB,坡道平面,1600000,19.18,地下二樓
RPTNMLPLQHIGFDQ37CB,坡道平面,1700000,21.31,地下一樓
RPRNMLPLQHIGFDQ17CB,坡道平面,1600000,19.18,地下二樓
RPSNMLPLQHIGFDQ27CB,坡道平面,1500000,17.05,地下二樓
RPRNMLPJRHIGFDQ07CB,坡道平面,1600000,19.18,地下二樓
RPPNMLTLQHIGFDQ37CB,坡道平面,1200000,16.00,地下一樓
RPPNMLTLQHIGFDQ37CB,坡道平面,1200000,16.00,地下一樓
RPSNMLPJRHIGFDQ17CB,坡道平面,1650000,19.18,地下一樓
RPSNMLPJRHIGFDQ17CB,坡道平面,1700000,19.18,地下一樓
RPQNMLRLQHIGFDQ27CB,一樓平面,1000000,,一樓
RPUNMLPLQHIGFDQ47CB,坡道平面,1700000,19.18,地下一樓
RPUNMLPJRHIGFDQ37CB,坡道平面,1600000,19.18,地下二樓
RPTNMLPJRHIGFDQ27CB,坡道平面,1700000,19.18,地下一樓
RPWNMLPJRHIGFDQ57CB,坡道平面,1500000,17.05,地下二樓
RPQNMLQJRHIGFBQ86CB,一樓平面,1000000,23.48,一樓
RPQNMLQJRHIGFBQ86CB,升降機械,500000,8.51,一樓
RPXNMLPJRHIGFDQ67CB,坡道平面,1600000,19.18,地下二樓
RPPNMLLKRHIGFDQ56CB,坡道平面,1600000,19.18,地下二樓
RPRNMLLKRHIGFDQ76CB,坡道平面,1700000,19.18,地下一樓
RPQNMLLKRHIGFDQ66CB,坡道平面,1600000,17.05,地下一樓
RPVNMLPJRHIGFDQ47CB,坡道平面,1600000,19.18,地下二樓
RPSNMLLKRHIGFDQ86CB,坡道平面,1600000,19.18,地下二樓
RPQNMLRKRHIGFCQ17CB,坡道平面,1200000,29.27,一樓
RPPNMLLLRHIGFBQ09CB,一樓平面,0,13.75,一樓
RPPNMLLLRHIGFBQ09CB,一樓平面,0,13.75,一樓
RPWNMLNLRHIGFDQ57CB,坡道平面,1500000,17.05,地下二樓
RPTNMLNLRHIGFDQ27CB,坡道平面,1500000,17.05,地下二樓
RPOOMLNLRHIGFDQ86CB,坡道平面,1700000,19.18,地下一樓
RPQNMLNLRHIGFDQ96CB,坡道平面,1700000,19.18,地下一樓
RPSNMLNLRHIGFDQ17CB,坡道平面,1650000,21.22,地下二樓
RPXNMLNLRHIGFDQ67CB,坡道平面,1600000,19.18,地下二樓
RPPNMLNLRHIGFDQ86CB,坡道平面,1700000,19.18,地下一樓
RPRNMLNLRHIGFDQ07CB,坡道平面,1600000,17.05,地下一樓
RPVNMLNLRHIGFDQ47CB,坡道平面,1600000,19.18,地下二樓
RPPNMLSLRHIGFDQ37CB,坡道平面,1600000,19.18,地下二樓
RPQOMLNLRHIGFDQ07CB,坡道平面,1600000,19.18,地下二樓
RPSOMLNLRHIGFDQ27CB,坡道平面,1700000,21.31,地下一樓
RPQNMLSLRHIGFDQ47CB,坡道平面,1600000,19.18,地下二樓
RPTOMLNLRHIGFDQ37CB,坡道平面,1700000,19.18,地下一樓
RPQNMLNJIIIGFDQ58CB,坡道平面,1700000,19.18,地下一樓
RPPNMLMJIIIGFDQ38CB,坡道平面,1200000,31.28,地下一樓
RPPNMLNJIIIGFDQ48CB,坡道平面,1600000,19.18,地下二樓
RPSNMLNJIIIGFDQ78CB,坡道平面,1700000,19.18,地下一樓
RPRNMLNJIIIGFDQ68CB,坡道平面,1550000,19.18,地下二樓
RPUNMLNJIIIGFDQ98CB,坡道平面,1600000,19.18,地下二樓
RPTNMLNJIIIGFDQ88CB,坡道平面,1600000,19.18,地下二樓
RPPOMLNLRHIGFDQ96CB,坡道平面,1600000,19.18,地下二樓
RPWNMLNJIIIGFDQ56CB,坡道平面,1600000,19.18,地下二樓
RPPNMLPJIIIGFCQ58CB,坡道平面,1200000,29.27,二樓含以上
RPQNMLPJIIIGFCQ68CB,坡道平面,1200000,29.27,一樓
RPPNMLMKIIIGFDQ48CB,升降機械,650000,8.29,一樓
RPRNMLNKIIIGFDQ78CB,坡道平面,1700000,19.18,地下一樓
RPPNMLNKIIIGFDQ58CB,坡道平面,1600000,19.18,地下二樓
RPQNMLNKIIIGFDQ68CB,坡道平面,1600000,17.05,地下一樓
RPPNMLSKIIIGFDQ09CB,升降機械,600000,8.29,一樓
RPQNMLTKIIIGFDQ66CB,坡道平面,1600000,17.05,地下一樓
