鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新港鄉,建物,嘉義縣新港鄉大潭村大潭５５之２號,0.0,,鄉村區,乙種建築用地,1120811,土地0建物0車位0,二層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,1100202,29.54,1,0,1,有,無,有,6100,206,,0.0,0,此為分租套房，第二層分為4間，一間面積約為 29.54 平方公尺。 電費及每月水費250元由承租人負擔。,RPPNMLOLQHIGFCQ86CC,,,,,,
民雄鄉,建物,嘉義縣民雄鄉竹子腳７之４６號,216.66,,特定農業區,甲種建築用地,1120827,土地0建物1車位0,全,1,透天厝,住家用,鋼筋混凝土造,0981022,135.39,1,2,1,有,無,有,10000,74,,0.0,0,廚房旁邊房間不包含，112.9.1-113.8.31,RPSNMLSLQHIGFCQ57CC,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和興村中山路五段９６１巷２０弄１７號,68.11,住,,,1120825,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0910507,164.13,5,1,3,有,有,有,19800,121,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費、網路費及每年管理費1000元皆由承租人負擔。,RPPNMLSLQHIGFDQ37CC,,,,,,
民雄鄉,建物,嘉義縣民雄鄉建國路一段１０２０-２８５３號,0.0,,特定農業區,甲種建築用地,1120801,土地0建物1車位0,全,2,透天厝,店舖、梯間,鋼筋混凝土造,1100722,360.78,0,0,0,無,無,有,22000,61,,0.0,0,,RPPNMLTLQHIGFCQ37CC,,,,,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉建國路一段１０２０之２９９０號,94.0,,特定農業區,甲種建築用地,1120808,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1080124,166.74,3,2,3,有,無,無,18000,108,,0.0,0,,RPRNMLTLQHIGFCQ57CC,,,,,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉中和村６鄰魚寮仔６０號,76.0,農,,,1120809,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680502,124.15,3,2,2,有,無,有,10000,81,,0.0,0,,RPQNMLTLQHIGFCQ57DC,,,,,,
民雄鄉,建物,嘉義縣民雄鄉福樂村２９鄰埤角２之１８６號四樓,0.0,住,,,1120826,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0830808,132.43,3,1,2,有,有,有,8000,60,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費及每月管理費700元皆由承租人負擔。,RPPNMLKMQHIGFCQ56CC,,,,,,
中埔鄉,建物,嘉義縣中埔鄉中華路５８３號,0.0,,,,1120815,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),私設騎樓、店舖、集合住宅,鋼筋混凝土造,0851011,121.96000000000001,2,1,1,有,有,無,15000,123,,0.0,0,,RPPNMLKMQHIGFDQ66CC,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉??村下庄仔９６號,111.17,,山坡地保育區,丙種建築用地,1120825,土地1建物1車位0,全,4,透天厝,住宅、停車場、運動間,鋼筋混凝土造,0840518,229.39,4,3,3,有,有,有,13000,57,,0.0,0,嘉義縣政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費1000元皆由承租人負擔。,RPQNMLKMQHIGFDQ76CC,,,,,,
水上鄉,房地(土地+建物),嘉義縣水上鄉柳林村１０鄰柳子林１１５６號,86.97,,鄉村區,乙種建築用地,1120830,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0791117,152.36,4,1,3,有,無,有,10000,66,,0.0,0,,RPPNMLLMQHIGFDQ76CC,,,,,,
太保市,租賃房屋,嘉義縣太保市春珠里保鐵一路二段９５號四樓之６,0.0,,,,1120830,土地0建物1車位0,四層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060421,104.32,1,1,1,有,有,有,14350,138,,0.0,0,嘉義市政府包租代管計畫；管理費2650元。,RPPNMLOJRHIGFDQ86CC,整棟(戶)出租,有,1120830~1130829,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新港鄉,租賃房屋,嘉義縣新港鄉月眉村６鄰月眉潭６之２９號,0.0,,,,1120907,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700808,108.06,3,2,2,有,無,有,9000,83,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPPNMLOKRHIGFCQ86CC,整棟(戶)出租,無,1120908~1130907,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉中和村魚寮仔２７號,0.0,,,,1120915,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0670915,224.38,5,2,2,有,無,有,12000,53,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPPNMLSKRHIGFCQ27CC,整棟(戶)出租,無,1120915~1130914,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉保生街,227.0,住,,,1120912,土地1建物1車位0,全,3,透天厝,店舖、住宅、樓梯間,鋼筋混凝土造,1030505,132.27,0,0,0,無,無,無,28000,212,,0.0,0,,RPPNMLKLRHIGFCQ56CC,,無,1121101~1141030,無,,
太保市,租賃房屋+車位,嘉義縣太保市保鐵一路二段９７號５樓之７,91.94,住,,,1120821,土地1建物1車位1,五層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060421,91.94,3,2,2,有,有,有,30800,335,坡道平面,0.0,0,租金總額含管理費；其他VAT；,RPQNMLKLRHIGFDQ76CC,整棟(戶)出租,有,1120824~1121023,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
新港鄉,租賃房屋,嘉義縣新港鄉大潭村大潭５５之２號,0.0,,,,1120919,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1100202,29.54,9,1,10,有,無,無,5400,183,,0.0,0,,RPPNMLNLRHIGFCQ86CC,分租套房,無,1120920~1130219,無,冷氣,一般代管
太保市,租賃房屋+車位,嘉義縣太保市保鐵一路二段９７號９樓之１,43.23,住,,,1120830,土地1建物1車位1,九層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060421,182.26999999999998,3,2,2,有,有,有,36000,198,坡道平面,29.88,0,多人共同承租3；租金總額含管理費；,RPPNMLSLRHIGFDQ47CC,整棟(戶)出租,有,1121001~1130930,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般代管
民雄鄉,租賃房屋,嘉義縣民雄鄉?福村１０鄰?福７６號之６,0.0,,,,1120918,土地0建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0640520,59.63,3,1,1,有,無,有,10000,168,,0.0,0,此為嘉義縣社會住宅包租代管計畫,RPPNMLNJIIIGFCQ48CC,整棟(戶)出租,無,1121009~1131008,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
